,root:CRC (stage 0),root:CRC (stage I),root:CRC (stage II),root:CRC (stage III),root:CRC (stage IV),Unknown
ERR480939,0.05227232,0.29065585,0.10994455,0.27363455,0.21244314,0.06104958
ERR480719,0.035754025,0.21532816,0.124506086,0.22508964,0.36902612,0.030295968
ERR479565,0.30882105,0.3259946,0.15344696,0.075053215,0.13668409,0.0
ERR480750,0.09310881,0.1476825,0.28088626,0.029718215,0.44860414,0.0
ERR479246,0.07627366,0.5309612,0.112798765,0.122185834,0.15778053,0.0
ERR479441,0.052207354,0.46997267,0.053804252,0.21601155,0.20800415,0.0
ERR479429,0.04290082,0.07909425,0.65773565,0.045022048,0.17524718,0.0
ERR480983,0.076841615,0.51034135,0.11181234,0.13263586,0.16836888,0.0
ERR480464,0.06178228,0.45799598,0.06319925,0.22297359,0.19404888,0.0
ERR479142,0.060756087,0.12398803,0.19785845,0.29932868,0.14169937,0.17636937
ERR480608,0.07521453,0.15787014,0.18593797,0.4663085,0.1146689,0.0
ERR480662,0.036643237,0.25068462,0.10310969,0.2859413,0.26844877,0.055172384
ERR479310,0.060919162,0.46395046,0.049757197,0.2064565,0.21891665,0.0
ERR479335,0.09114309,0.15601699,0.083069645,0.10440746,0.5653628,0.0
ERR480751,0.06648861,0.13835354,0.14401898,0.0779891,0.5731498,0.0
ERR480978,0.023580467,0.15381782,0.29341277,0.10150012,0.4276888,0.0
ERR480720,0.035209626,0.20655122,0.13131523,0.21866044,0.3758944,0.032369018
ERR480915,0.05282087,0.1078529,0.6682293,0.084897205,0.086199835,0.0
ERR480937,0.05134833,0.16831699,0.17365915,0.27366233,0.17583475,0.1571784
ERR480715,0.088642806,0.15643534,0.101075865,0.09276475,0.5610813,0.0
ERR480864,0.05220729,0.108058214,0.64765495,0.08879006,0.09002778,0.013261676
ERR479350,0.16890806,0.40314707,0.051211514,0.13938811,0.23734516,0.0
ERR475585,0.11192678,0.29010057,0.32207426,0.055326436,0.22057205,0.0
ERR479030,0.08990873,0.15348975,0.08247956,0.105719656,0.56840235,0.0
ERR481022,0.08736299,0.15452042,0.1003988,0.09351907,0.5641987,0.0
ERR479548,0.052903272,0.46548197,0.054778833,0.21739055,0.2094454,0.0
ERR480955,0.04292442,0.08712425,0.65216184,0.05299017,0.16479938,0.0
ERR479179,0.14604007,0.31603307,0.15500656,0.29505217,0.0878682,0.0
ERR475513,0.036663055,0.25073338,0.10299149,0.2860829,0.2684322,0.055096984
ERR480507,0.037670523,0.26291376,0.101210564,0.28163636,0.26919305,0.04737574
ERR479357,0.032006916,0.15995388,0.15155768,0.15335543,0.5031261,0.0
ERR480561,0.07142115,0.10783318,0.5155026,0.07597321,0.15812218,0.07114774
ERR479257,0.08667377,0.1515735,0.091928445,0.09942573,0.5703986,0.0
ERR479356,0.05529881,0.16092575,0.11215476,0.13050997,0.5411107,0.0
ERR479504,0.05349523,0.11515847,0.60457,0.06906909,0.1390174,0.01868987
ERR479549,0.052736137,0.46434534,0.055344,0.2183764,0.20919812,0.0
ERR480732,0.09578257,0.1623715,0.09518097,0.09217645,0.55448854,0.0
ERR475520,0.052232347,0.47026485,0.053736463,0.21587951,0.20788671,0.0
ERR475577,0.06957203,0.3984346,0.18382704,0.045990407,0.3021759,0.0
ERR481053,0.09425801,0.16781546,0.10145079,0.08865472,0.54782104,0.0
ERR479469,0.061202317,0.11760646,0.2031711,0.3030194,0.13835886,0.17664182
ERR479507,0.040806852,0.09042786,0.6464035,0.04716842,0.17519346,0.0
ERR481054,0.08788542,0.15968582,0.08477082,0.10580577,0.56185216,0.0
ERR479553,0.15910532,0.307513,0.112145394,0.031669434,0.3895668,0.0
ERR475573,0.040980007,0.058346026,0.6704734,0.034601834,0.19559868,0.0
ERR480522,0.053010836,0.4694448,0.053711742,0.2152725,0.20856008,0.0
ERR475539,0.06957204,0.39843467,0.18382704,0.04599041,0.3021759,0.0
ERR479415,0.03695655,0.25418502,0.10243794,0.2845649,0.2693063,0.052549243
ERR479485,0.05302597,0.46799505,0.055301555,0.21567938,0.20799807,0.0
ERR480740,0.04823193,0.24847403,0.10568288,0.4194333,0.1781778,0.0
ERR480980,0.08888616,0.49960557,0.1395547,0.12695093,0.14500259,0.0
ERR479426,0.08140032,0.151694,0.21370444,0.44380865,0.109392576,0.0
ERR479419,0.05128884,0.10314226,0.67424995,0.07732506,0.093993895,0.0
ERR480830,0.05572349,0.46118912,0.0569115,0.21456955,0.21160632,0.0
ERR479505,0.041509394,0.08986897,0.6504285,0.048144393,0.17004883,0.0
ERR479526,0.086326234,0.15374321,0.10421059,0.09144966,0.5642703,0.0
ERR480949,0.06513422,0.45626682,0.061185446,0.23566046,0.1817532,0.0
ERR479562,0.29256907,0.3328017,0.15114097,0.0724664,0.1510218,0.0
ERR480963,0.0526779,0.46552017,0.05530932,0.21182163,0.21467093,0.0
ERR480934,0.077883214,0.14629333,0.111395985,0.09097005,0.5734574,0.0
ERR480621,0.05907114,0.45822152,0.060680326,0.22845875,0.19356833,0.0
ERR479440,0.059292197,0.14512286,0.18152201,0.28811324,0.15392628,0.17202342
ERR481037,0.089579135,0.15347739,0.08268952,0.10581978,0.5684342,0.0
ERR481056,0.0790995,0.18013613,0.088341996,0.11130703,0.54111534,0.0
