,root:CRC (stage 0),root:CRC (stage I),root:CRC (stage II),root:CRC (stage III),root:CRC (stage IV),Unknown
ERR479495,0.033070605,0.573306,0.051229782,0.15805764,0.18433589,0.0
ERR480981,0.035807934,0.55834055,0.062848225,0.17392497,0.16907841,0.0
ERR479444,0.030289905,0.3027889,0.4529075,0.18394879,0.030064892,0.0
ERR475579,0.04342401,0.43483225,0.09696081,0.2114405,0.05891043,0.154432
ERR480526,0.052409474,0.23117442,0.06272608,0.082795165,0.5708949,0.0
ERR479496,0.029984891,0.3260582,0.22332132,0.1131188,0.10594571,0.2015711
ERR479468,0.039395284,0.37431,0.053261396,0.43198952,0.10104392,0.0
ERR479078,0.036645055,0.35531694,0.11499733,0.16633841,0.08941257,0.23728967
ERR480976,0.048535194,0.25371712,0.0609003,0.07968152,0.55716586,0.0
ERR480642,0.029197663,0.2888793,0.13431397,0.11358246,0.1428155,0.29121113
ERR479220,0.09070833,0.23045519,0.065411076,0.06474199,0.54868335,0.0
ERR479486,0.035982106,0.5669312,0.060378794,0.17529903,0.16140892,0.0
ERR480969,0.030803204,0.28999358,0.13214985,0.11426774,0.14634442,0.2864412
ERR479237,0.07386081,0.21637739,0.072640345,0.076972775,0.56014866,0.0
ERR479545,0.035547223,0.5574579,0.06086691,0.17532605,0.17080195,0.0
ERR480961,0.03380739,0.5716294,0.053488057,0.1621033,0.17897183,0.0
ERR479445,0.03031426,0.30275625,0.4528923,0.18394898,0.030088183,0.0
ERR481014,0.032672662,0.5742527,0.049911406,0.15560837,0.18755491,0.0
ERR479180,0.03993292,0.36807847,0.054576356,0.4406565,0.096755736,0.0
ERR480480,0.05256707,0.23086062,0.06273187,0.082821965,0.5710184,0.0
ERR479145,0.04040078,0.20568657,0.12821652,0.50605816,0.11963795,0.0
ERR479356,0.05284174,0.23155026,0.062452808,0.08245554,0.57069963,0.0
ERR481052,0.0519203,0.18482897,0.16573948,0.040309068,0.55720216,0.0
ERR480744,0.031692367,0.54739046,0.05299843,0.14954722,0.21837153,0.0
ERR481031,0.031234354,0.310545,0.12724283,0.12754524,0.124047846,0.27938473
ERR481021,0.05358688,0.20913514,0.12978266,0.04871271,0.5587826,0.0
ERR480773,0.05004861,0.2945689,0.053760633,0.06988249,0.5317394,0.0
ERR480671,0.0326828,0.27995482,0.47634864,0.18366471,0.02734903,0.0
ERR479531,0.027516425,0.059234053,0.7058189,0.062480986,0.14044836,0.0045012236
ERR479530,0.028340429,0.05567676,0.71779466,0.062745094,0.13133395,0.004109144
ERR480958,0.051595435,0.26560095,0.07682223,0.076110065,0.52987134,0.0
ERR481023,0.060492013,0.1865675,0.2062769,0.05162956,0.495034,0.0
ERR481017,0.032365624,0.55381274,0.054268606,0.1532937,0.20625935,0.0
ERR479166,0.02961579,0.11589539,0.2956413,0.12801611,0.1498236,0.28100783
ERR480948,0.03274678,0.57513785,0.050027136,0.15562968,0.1864585,0.0
ERR480507,0.043121845,0.43747702,0.09611216,0.20960298,0.060917377,0.15276861
ERR480865,0.02428478,0.07215774,0.6577311,0.0636054,0.16066581,0.021555126
ERR479562,0.12713629,0.17113188,0.27630085,0.11949366,0.25040054,0.055536807
ERR480848,0.032627672,0.57420623,0.049928468,0.15547653,0.18776116,0.0
ERR480552,0.03126272,0.55677223,0.05558434,0.14288239,0.21349826,0.0
ERR480856,0.032811128,0.5750327,0.05006037,0.15591986,0.18617594,0.0
ERR479549,0.03373797,0.5661839,0.051664617,0.17103842,0.17737499,0.0
ERR479440,0.06120973,0.2109031,0.15582797,0.49338385,0.078675374,0.0
ERR481043,0.03350763,0.5643304,0.05128383,0.17106271,0.17981543,0.0
ERR480970,0.030198693,0.29165542,0.1325258,0.11522767,0.14265323,0.28773916
ERR480886,0.03269635,0.575732,0.04978465,0.1556633,0.18612371,0.0
ERR475580,0.043871343,0.42356133,0.08026922,0.31280112,0.07548255,0.064014435
ERR480946,0.034983974,0.55950916,0.062370043,0.16847424,0.17466258,0.0
ERR479285,0.03280467,0.57237273,0.051191583,0.15388691,0.18974404,0.0
ERR479432,0.029367328,0.052679986,0.730988,0.062782675,0.1237047,0.000477314
ERR479072,0.052423034,0.23100576,0.0627622,0.08285262,0.5709564,0.0
ERR480481,0.10270729,0.23736964,0.04510659,0.06260447,0.552212,0.0
ERR475509,0.032396104,0.37260607,0.059463218,0.17839992,0.35713473,0.0
ERR481042,0.034299906,0.5553908,0.052229907,0.18630254,0.17177689,0.0
ERR479475,0.030176997,0.29123476,0.13387549,0.116779804,0.13836515,0.28956783
ERR480520,0.03271679,0.57585925,0.049771886,0.15588337,0.18576877,0.0
ERR479077,0.03888473,0.3588969,0.11510545,0.18242967,0.080169946,0.22451329
ERR475527,0.03366986,0.2846423,0.13009545,0.11153036,0.15781721,0.2822448
ERR479503,0.031544857,0.055768847,0.7713405,0.11359207,0.027753754,0.0
ERR479522,0.03411672,0.562188,0.055877384,0.16753517,0.1802827,0.0
ERR480931,0.028481424,0.076597005,0.64191556,0.071182966,0.16149464,0.020328403
ERR481053,0.051396113,0.18481506,0.16946737,0.039492875,0.5548286,0.0
ERR480748,0.029359072,0.05251527,0.72923774,0.0627892,0.12433654,0.0017622113
ERR479558,0.049579777,0.21583414,0.12297748,0.061639,0.54996955,0.0
