,root:CRC (stage 0),root:CRC (stage I),root:CRC (stage II),root:CRC (stage III),root:CRC (stage IV),Unknown
ERR479550,0.2503168,0.29456243,0.13434602,0.11714434,0.20363043,0.0
ERR480935,0.078110084,0.15087749,0.24199973,0.030747198,0.4982655,0.0
ERR479484,0.11902247,0.21572901,0.29292703,0.1286877,0.24363375,0.0
ERR480926,0.10903747,0.12942763,0.33883938,0.030006643,0.39268887,0.0
ERR480612,0.20500839,0.12271982,0.47715378,0.071627334,0.12349071,0.0
ERR479461,0.1489622,0.19073643,0.17914642,0.06528613,0.4158688,0.0
ERR480611,0.14575492,0.11645666,0.5541879,0.08535664,0.09824385,0.0
ERR479180,0.1466407,0.20522569,0.3476564,0.20067225,0.09980494,0.0
ERR479074,0.0910212,0.15252666,0.2359789,0.032977253,0.48749602,0.0
ERR479507,0.07592728,0.16745444,0.5103721,0.07161261,0.17463368,0.0
ERR481054,0.18438393,0.23579897,0.09612516,0.04218732,0.44150454,0.0
ERR479518,0.1447154,0.41645658,0.20601116,0.13700876,0.0958082,0.0
ERR480579,0.16152102,0.14535181,0.115567036,0.14316915,0.434391,0.0
ERR480814,0.06659263,0.09586634,0.6022405,0.046339832,0.18896069,0.0
ERR481016,0.123812445,0.33716756,0.1035501,0.26576582,0.1697041,0.0
ERR475493,0.0879696,0.21022618,0.39760762,0.12313788,0.18105878,0.0
ERR479533,0.15998358,0.41046035,0.1725749,0.13926204,0.11771909,0.0
ERR479111,0.28064778,0.15833169,0.14974017,0.31476182,0.09651852,0.0
ERR481022,0.117135644,0.15610443,0.21834554,0.045246933,0.46316746,0.0
ERR479519,0.14736749,0.41574335,0.20003559,0.1374351,0.09941838,0.0
ERR481002,0.07169272,0.11720865,0.57625335,0.06570419,0.16914108,0.0
ERR481055,0.17093655,0.18963334,0.13623889,0.057257224,0.44593397,0.0
ERR479348,0.16214085,0.20053048,0.16852719,0.07635389,0.39244762,0.0
ERR481001,0.07263174,0.12323216,0.5774946,0.06942599,0.15721549,0.0
ERR479523,0.10266797,0.21294816,0.33375382,0.120099805,0.23053022,0.0
ERR480925,0.1077309,0.13024828,0.33527514,0.030137012,0.39660865,0.0
ERR479333,0.095366135,0.14058389,0.2878598,0.043927018,0.43226317,0.0
ERR479426,0.12123794,0.2654295,0.28331605,0.19301046,0.13700609,0.0
ERR479083,0.17121206,0.1658343,0.107317165,0.16748142,0.388155,0.0
ERR479455,0.15663563,0.41221336,0.18067399,0.13845016,0.11202685,0.0
ERR479452,0.15726675,0.4119741,0.17963335,0.13839272,0.11273307,0.0
ERR479317,0.07085166,0.11138018,0.58968,0.060560595,0.16752756,0.0
ERR479556,0.18439685,0.17600869,0.2321548,0.049533967,0.35790572,0.0
ERR479486,0.1136593,0.21197657,0.2999898,0.11833028,0.25604412,0.0
ERR479543,0.10138173,0.2124143,0.3370773,0.11869697,0.23042977,0.0
ERR479066,0.07399765,0.11051534,0.61512583,0.06905557,0.1313056,0.0
ERR480939,0.15398993,0.21992218,0.24034308,0.1679511,0.2177937,0.0
ERR479352,0.14276172,0.4213297,0.22931913,0.12632473,0.080264695,0.0
ERR479478,0.08697778,0.10783868,0.6286766,0.104474135,0.07203289,0.0
ERR481033,0.08745171,0.10638617,0.6311731,0.10462551,0.07036351,0.0
ERR480528,0.07150172,0.1546468,0.23963071,0.029689595,0.50453115,0.0
ERR480742,0.120331995,0.19828412,0.26342696,0.094765946,0.32319102,0.0
ERR480938,0.16125329,0.21954414,0.23013964,0.17398252,0.21508041,0.0
ERR479368,0.11951481,0.11452492,0.5523241,0.14573781,0.067898296,0.0
ERR479174,0.10934443,0.16475517,0.2168389,0.038175434,0.47088608,0.0
ERR480636,0.12436129,0.11754669,0.5365591,0.15295069,0.06858217,0.0
ERR480525,0.071659446,0.15415916,0.2402134,0.02968907,0.50427896,0.0
ERR481044,0.09363654,0.20851193,0.35974467,0.10975735,0.22834946,0.0
ERR481024,0.06920741,0.082477674,0.6425107,0.049496304,0.15630783,0.0
ERR479331,0.104822874,0.16173165,0.2599873,0.055614065,0.41784415,0.0
ERR479415,0.07950615,0.18555139,0.23785774,0.4243016,0.07278311,0.0
ERR479071,0.09148447,0.15320985,0.23437154,0.03285029,0.48808387,0.0
ERR480965,0.19253267,0.15450162,0.2770063,0.22603144,0.14992806,0.0
ERR480695,0.09774778,0.23527363,0.14295024,0.33634305,0.1876853,0.0
ERR475592,0.20382862,0.26051223,0.0668871,0.10083732,0.36793473,0.0
ERR479148,0.26164538,0.38520017,0.10293722,0.0807551,0.16946219,0.0
ERR479072,0.10043163,0.16014002,0.22145504,0.033855963,0.48411733,0.0
ERR479435,0.07182828,0.06533519,0.67023945,0.0443823,0.14821471,0.0
ERR475532,0.1204116,0.33835882,0.09130869,0.27790937,0.17201146,0.0
ERR479514,0.106234945,0.16681643,0.20890929,0.032841455,0.48519787,0.0
ERR479040,0.08065406,0.14236432,0.26422593,0.03153568,0.48122,0.0
ERR480990,0.0841603,0.20129886,0.40012914,0.096490294,0.21792138,0.0
ERR479332,0.10377294,0.16041386,0.257538,0.052289817,0.42598537,0.0
ERR480987,0.07551347,0.14731763,0.24569638,0.030103356,0.5013692,0.0
