,root:Diseases,root:Health,root:Infections,Unknown
SRR6474251,0.49647716,0.4860501,0.017472718,0.0
ERR719203,0.020194411,0.9611342,0.012992829,0.0056785345
SRR6264896,0.019248754,0.96308815,0.012747288,0.0049158335
SRR5866347,0.8187263,0.13983227,0.041441422,0.0
SRR5813405,0.021134883,0.957271,0.014018118,0.0075760484
SRR6264938,0.019318312,0.96281356,0.012834489,0.005033672
SRR5757992,0.08202463,0.476272,0.44170344,0.0
SRR5429070,0.20106302,0.16566347,0.6332735,0.0
SRR5757823,0.11727313,0.18709467,0.6956322,0.0
ERR719104,0.029293776,0.95374465,0.012129426,0.0048321486
ERR209574,0.8575802,0.08283241,0.05958745,0.0
SRR7507327,0.021727145,0.95572674,0.01426971,0.008276403
SRR6724422,0.8684612,0.07120104,0.060337707,0.0
SRR6281237,0.019330412,0.9628941,0.012782782,0.0049927235
SRR7507462,0.019251019,0.96307445,0.012753308,0.0049212575
ERR719820,0.01951307,0.96179914,0.013168395,0.00551939
SRR5650024,0.059067756,0.9219254,0.013687342,0.005319476
SRR5648774,0.019693047,0.9622767,0.012794167,0.005236149
SRR7507650,0.019248873,0.96308804,0.012747288,0.0049158335
SRR6928787,0.019666523,0.96131957,0.0132730305,0.005740881
SRR6265446,0.019248754,0.96308815,0.012747288,0.0049158335
ERR720164,0.019317657,0.9630028,0.012747288,0.0049322844
SRR5802314,0.019397438,0.9625154,0.012910873,0.005176306
SRR5610106,0.02057606,0.9571659,0.014743596,0.007514477
SRR5761698,0.019323617,0.9627304,0.012864828,0.0050811768
SRR5579092,0.019248039,0.9627643,0.012886673,0.0051009655
SRR5866365,0.08777539,0.8998529,0.012371794,0.0
SRR6264710,0.47558683,0.12781578,0.39659733,0.0
SRR5203046,0.019251794,0.9630845,0.012747198,0.0049165487
SRR5758152,0.11727353,0.1860437,0.6966828,0.0
SRR5578987,0.018648475,0.9615924,0.013416529,0.0063426495
ERR209802,0.86460024,0.07467845,0.060721364,0.0
SRR5649008,0.019248873,0.9630878,0.012747437,0.0049159527
SRR5796722,0.019931525,0.9594691,0.013964474,0.006634891
SRR5866275,0.15785179,0.83313453,0.009013669,0.0
SRR5218386,0.021139562,0.95765543,0.014295548,0.0069094896
SRR5578933,0.03553909,0.9113691,0.023192853,0.029899001
SRR5203195,0.019252568,0.9630767,0.0127492845,0.0049214363
SRR6264249,0.019248754,0.96308815,0.012747288,0.0049158335
SRR5983281,0.20908725,0.7621422,0.02877059,0.0
ERR011119,0.020143569,0.96213037,0.012648106,0.005077958
SRR5648785,0.019248754,0.96308815,0.012747288,0.0049158335
SRR5648927,0.019248962,0.9630873,0.012747556,0.004916191
SRR5803767,0.019565344,0.96236503,0.012864977,0.0052046776
ERR209116,0.023210764,0.93835926,0.02136752,0.017062426
SRR5377207,0.020118594,0.9602069,0.013445258,0.006229222
SRR6928743,0.019248754,0.9630878,0.012747377,0.004916072
ERR209824,0.035116643,0.95037067,0.01204595,0.0024666786
SRR3400443,0.35825288,0.084800154,0.556947,0.0
SRR2918731,0.8684692,0.07119529,0.060335573,0.0
SRR5602160,0.019278169,0.96297336,0.012781143,0.004967332
ERR719931,0.020392418,0.95959616,0.013522357,0.0064890385
SRR5761708,0.019248754,0.96308815,0.012747288,0.0049158335
SRR5649095,0.020866722,0.9566792,0.0144844055,0.007969618
SRR5580568,0.019283712,0.9624998,0.012968123,0.005248368
SRR5580550,0.019411981,0.9626718,0.012828797,0.0050873756
SRR1766059,0.0192492,0.96308625,0.012747645,0.0049169064
SRR5866489,0.024853349,0.95020425,0.01472345,0.010218978
SRR7507495,0.024026066,0.95572966,0.013855308,0.0063889027
SRR5802279,0.0192523,0.96306497,0.012757182,0.004925549
ERR209546,0.8142406,0.1431226,0.042636912,0.0
DRR067938,0.11727755,0.18602791,0.69669455,0.0
SRR6264068,0.4968132,0.4905495,0.012637364,0.0
ERR719727,0.13647579,0.84508246,0.01844175,0.0
SRR5202888,0.01925221,0.9630778,0.012748897,0.0049211383
SRR5758025,0.11727755,0.18602791,0.69669455,0.0
SRR5577144,0.8684692,0.07119537,0.060335547,0.0
ERR719569,0.019489199,0.96216905,0.013005972,0.005335808
SRR6182550,0.019267887,0.9630269,0.012763083,0.004942119
SRR6357160,0.019248784,0.96308815,0.012747288,0.004915774
SRR5218313,0.8667232,0.073011525,0.060265273,0.0
SRR5078919,0.019248754,0.96308815,0.012747288,0.0049158335
ERR525813,0.019250304,0.96308684,0.012747109,0.004915774
SRR7507474,0.019257188,0.9630637,0.01275295,0.004926145
SRR6724376,0.75473464,0.21456853,0.030696878,0.0
SRR6265241,0.01924342,0.963079,0.012751818,0.0049257874
SRR5983323,0.21555056,0.7755564,0.008893056,0.0
SRR5610101,0.019248754,0.96308815,0.012747288,0.0049158335
SRR5203404,0.019272715,0.9629377,0.012795746,0.004993856
ERR209447,0.18627857,0.7896989,0.024022479,0.0
SRR5629123,0.048133463,0.86771226,0.047531486,0.036622763
SRR1693254,0.8357276,0.11224413,0.052028343,0.0
ERR525790,0.05138418,0.7536582,0.085143626,0.10981399
SRR5548968,0.8684675,0.07119624,0.060336173,0.0
SRR5602351,0.019679487,0.9618577,0.013012797,0.0054500103
