,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases,root:Diseases:Digestive System Diseases:Liver Diseases:Liver Cirrhosis,root:Diseases:Hemic and Lymphatic Diseases:Hematologic Diseases:Hematologic Neoplasms,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections:Gram-Positive Bacterial Infections,Unknown
SRR6474251,0.5754385,0.046500772,0.0077875257,0.01801166,0.35226154
ERR719203,0.038324744,0.020795912,0.006356925,0.0069840252,0.9275384
SRR6264896,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
SRR5866347,0.74694216,0.03285438,0.022856057,0.05393696,0.14341044
SRR5813405,0.038480222,0.020717591,0.006312847,0.0068088174,0.9276805
SRR6264938,0.037457198,0.020766735,0.00628528,0.0068210363,0.92866975
SRR5757992,0.13115227,0.016730458,0.053273737,0.4312238,0.36761975
SRR5429070,0.035341293,0.09619507,0.27280217,0.5096823,0.08597916
SRR5757823,0.19720264,0.026975445,0.06560518,0.7102167,0.0
ERR719104,0.042354345,0.020670414,0.00618577,0.0070269406,0.92376256
ERR209574,0.7434609,0.032978654,0.022564888,0.0533036,0.14769197
SRR7507327,0.03624046,0.022114605,0.0069162846,0.0073099136,0.9274187
SRR6724422,0.11283064,0.5517221,0.18304184,0.06293017,0.089475214
SRR6281237,0.03806135,0.020429015,0.0061570406,0.0066408217,0.9287118
SRR7507462,0.026192546,0.025424898,0.008493155,0.011187047,0.92870235
ERR719820,0.037765145,0.020754397,0.0063361228,0.006868273,0.92827606
SRR5650024,0.049265295,0.020901918,0.0062597096,0.0077396333,0.9158335
SRR5648774,0.037926078,0.020595431,0.0062454343,0.006661594,0.92857146
SRR7507650,0.010896891,0.042014778,0.017831981,0.036964744,0.8922916
SRR6928787,0.03783098,0.020650178,0.006267339,0.0066946745,0.9285568
SRR6265446,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
ERR720164,0.038026214,0.020424873,0.006156713,0.0066380203,0.9287542
SRR5802314,0.037998646,0.020462245,0.006175518,0.0066429973,0.9287206
SRR5610106,0.041516572,0.020211041,0.006248772,0.0074317753,0.92459184
SRR5761698,0.03801179,0.020439774,0.006164402,0.0066385567,0.9287455
SRR5579092,0.038015217,0.020432502,0.006160617,0.006637633,0.92875403
SRR5866365,0.071122885,0.022621095,0.0061805546,0.008529007,0.8915465
SRR6264710,0.30308068,0.012724608,0.028460562,0.18058613,0.47514802
SRR5203046,0.03801948,0.020424455,0.006156355,0.006636709,0.92876303
SRR5758152,0.1972091,0.026982859,0.065611914,0.71019614,0.0
SRR5578987,0.037987858,0.020489275,0.006190419,0.006644726,0.9286877
ERR209802,0.74927324,0.032569468,0.023414522,0.055254996,0.1394878
SRR5649008,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
SRR5796722,0.07108143,0.017706096,0.006131977,0.012222141,0.8928584
SRR5866275,0.08216488,0.023140013,0.006189406,0.009070247,0.8794354
SRR5218386,0.038345814,0.021725327,0.006637484,0.0067806244,0.92651075
SRR5578933,0.08617908,0.018152803,0.0084992945,0.022489637,0.8646792
SRR5203195,0.03801912,0.02042514,0.0061567724,0.0066367686,0.9287622
SRR6264249,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
SRR5983281,0.23410213,0.015268445,0.0054961145,0.031073004,0.7140603
ERR011119,0.03798926,0.02051264,0.006197244,0.006652117,0.9286487
SRR5648785,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
SRR5648927,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
SRR5803767,0.037850797,0.020749092,0.0063286126,0.006678343,0.9283931
ERR209116,0.062509686,0.018363476,0.0062224865,0.011196226,0.9017081
SRR5377207,0.03790164,0.020661116,0.0062776804,0.006683469,0.9284761
SRR6928743,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
ERR209824,0.04267901,0.02103135,0.006176591,0.0068564415,0.92325664
SRR3400443,0.13637494,0.049422916,0.18578798,0.62841415,0.0
SRR2918731,0.75211895,0.032242537,0.023957878,0.056580096,0.1351006
SRR5602160,0.03800413,0.02045396,0.0061720014,0.0066404045,0.92872953
ERR719931,0.037757784,0.020905674,0.0063982904,0.006744832,0.92819345
SRR5761708,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
SRR5649095,0.039070368,0.020602047,0.006282866,0.0068529546,0.92719173
SRR5580568,0.037976056,0.020510167,0.0062015057,0.0066477954,0.92866445
SRR5580550,0.037929833,0.02057308,0.006227553,0.0066758096,0.92859375
SRR1766059,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
SRR5866489,0.042562634,0.021555066,0.006452918,0.006950587,0.9224788
SRR7507495,0.037506312,0.02108413,0.006469488,0.006805688,0.9281344
SRR5802279,0.03801921,0.020424545,0.0061564147,0.006636739,0.9287631
ERR209546,0.7119212,0.036789298,0.017049909,0.04000634,0.19423324
DRR067938,0.19720557,0.026959246,0.06554864,0.71028656,0.0
SRR6264068,0.5684087,0.037305325,0.011793852,0.02691114,0.35558093
ERR719727,0.14501199,0.016883105,0.006681502,0.02157998,0.8098434
SRR5202888,0.03801912,0.020425051,0.006156683,0.006636739,0.92876244
SRR5758025,0.19720557,0.026959246,0.06554864,0.71028656,0.0
SRR5577144,0.75211895,0.032242537,0.023957878,0.056580096,0.1351006
ERR719569,0.037864,0.02063781,0.0062617064,0.006687492,0.928549
SRR6182550,0.037979364,0.020444006,0.006165415,0.006646991,0.9287642
SRR6357160,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
SRR5218313,0.7510226,0.032369494,0.023721844,0.056015074,0.13687104
SRR5078919,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
ERR525813,0.038019896,0.020424634,0.0061562955,0.0066366494,0.92876256
SRR7507474,0.038016558,0.020427734,0.0061579645,0.006637484,0.9287603
SRR6724376,0.12791058,0.327586,0.04743111,0.042734444,0.4543379
SRR6265241,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
SRR5983323,0.28696987,0.023903191,0.0060501695,0.0206711,0.66240567
SRR5610101,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
SRR5203404,0.038016498,0.020430326,0.006159365,0.006637424,0.92875636
ERR209447,0.18689874,0.020917535,0.006058246,0.017876863,0.7682486
SRR5629123,0.19159442,0.014388144,0.005651504,0.029185534,0.7591804
SRR1693254,0.73058224,0.033703893,0.021398634,0.050406963,0.16390824
ERR525790,0.17371029,0.013971776,0.005449176,0.02809894,0.77876985
SRR5548968,0.7521194,0.032244235,0.023959309,0.05658266,0.1350944
SRR5602351,0.037838936,0.020570666,0.006227553,0.0067082644,0.92865455
SRR5078823,0.038012326,0.020429015,0.006158501,0.006638646,0.9287615
SRR5648923,0.038359433,0.0205625,0.0062401593,0.006769389,0.9280685
SRR1687041,0.7409082,0.033368796,0.021982163,0.051765084,0.15197575
SRR5399292,0.038019,0.02042535,0.0061567724,0.006636828,0.9287621
SRR5548520,0.7521193,0.032243967,0.023958981,0.056582153,0.1350956
SRR5818477,0.043280303,0.022622466,0.0064437687,0.006570667,0.9210828
SRR5399195,0.017766982,0.05942732,0.2878384,0.14764845,0.48731887
SRR5947812,0.69207644,0.032102972,0.01930368,0.047520816,0.20899612
SRR7507717,0.03356418,0.026308715,0.008708239,0.008875489,0.9225434
SRR5429352,0.020281583,0.065832704,0.6246191,0.13772771,0.15153885
SRR5399205,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
SRR5757780,0.19720557,0.026959246,0.06554864,0.71028656,0.0
ERR719544,0.04279822,0.020019144,0.0061936677,0.0075263977,0.92346257
SRR5078728,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
SRR6357131,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
SRR6264088,0.037783682,0.02089715,0.00639835,0.006806612,0.9281142
SRR5580474,0.037992537,0.020482242,0.006186396,0.0066443384,0.9286945
SRR5983349,0.74082494,0.032779336,0.023790747,0.053574115,0.14903092
ERR209901,0.037710577,0.022192389,0.0069363415,0.007409781,0.9257509
ERR719264,0.037902683,0.02065146,0.0062732697,0.0066774786,0.9284951
SRR6424505,0.19720557,0.026959246,0.06554864,0.71028656,0.0
SRR5203217,0.03796482,0.020542622,0.006217569,0.006652504,0.9286225
ERR209816,0.73323125,0.032484114,0.022020638,0.05288863,0.15937537
SRR5758043,0.038019568,0.020424396,0.0061562955,0.006636739,0.92876303
SRR1693228,0.75227165,0.032905728,0.024515748,0.05758354,0.13272333
SRR5399187,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
ERR209625,0.75160706,0.03231454,0.02393639,0.05649978,0.13564223
SRR6264798,0.03801948,0.020424455,0.0061562955,0.006636739,0.92876303
SRR6928774,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
SRR5579064,0.037993193,0.02045688,0.0061711967,0.006647408,0.9287313
SRR7507335,0.038008958,0.020431072,0.0061594546,0.006639421,0.9287611
SRR6928750,0.0380193,0.020424783,0.0061564147,0.006636709,0.9287628
SRR5648871,0.03801921,0.020424992,0.0061566234,0.0066367686,0.92876244
SRR064872,0.40345863,0.009672821,0.019507706,0.106307,0.46105385
ERR525706,0.0380145,0.020433575,0.0061611235,0.0066380203,0.9287528
SRR5866321,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
SRR5763465,0.03801948,0.020424366,0.0061562955,0.006636679,0.92876315
SRR1693218,0.5410457,0.034086406,0.011709094,0.028606057,0.38455272
SRR7507591,0.029270858,0.07687265,0.025033414,0.028157681,0.8406654
SRR6263976,0.037941635,0.020566791,0.0062181056,0.0066917837,0.9285817
SRR1693350,0.49416623,0.039567947,0.009590924,0.019993067,0.4366818
SRR6331166,0.038019,0.02042541,0.006156832,0.0066367984,0.92876196
ERR719730,0.12892663,0.017537564,0.0065514445,0.018942505,0.82804185
SRR5431399,0.03801796,0.020427406,0.006157875,0.006637037,0.9287597
SRR053019,0.7476121,0.031830817,0.023926824,0.057165623,0.13946462
ERR209709,0.04198408,0.021596432,0.0062683225,0.0067169964,0.92343414
SRR5610051,0.038019538,0.020424515,0.006156355,0.006636739,0.92876285
SRR5548601,0.7501787,0.03247416,0.023596466,0.05569005,0.13806063
ERR719754,0.037881702,0.020673752,0.006285399,0.0066755414,0.9284836
ERR011143,0.038005263,0.020451933,0.0061708093,0.006640464,0.92873156
SRR6265143,0.02448535,0.02709794,0.049175978,0.111373335,0.7878674
ERR720213,0.042033613,0.020885795,0.006251782,0.007038355,0.92379045
ERR719575,0.039608568,0.020651042,0.0063512623,0.0073041916,0.92608494
SRR5079123,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
SRR5934960,0.037878454,0.020617127,0.006243229,0.0067332685,0.92852795
SRR6424655,0.19720557,0.026959246,0.06554864,0.71028656,0.0
SRR5813189,0.038004518,0.0204539,0.0061717927,0.0066405535,0.92872924
SRR7507622,0.025165498,0.027305007,0.009432793,0.012181491,0.92591524
SRR1687065,0.75077045,0.03284809,0.024326324,0.05697608,0.13507903
SRR5803614,0.037100315,0.0217506,0.006816894,0.0071602464,0.92717195
SRR5549076,0.7521222,0.032252908,0.023966491,0.056595653,0.1350627
SRR5866547,0.037996233,0.020474523,0.006177902,0.006655991,0.9286953
ERR719905,0.038003623,0.020454705,0.0061724186,0.0066403747,0.9287289
SRR5203403,0.03801921,0.020424932,0.006156534,0.0066367686,0.92876256
ERR525841,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
SRR5610071,0.038145542,0.020448864,0.0061695874,0.006663978,0.92857206
SRR6182446,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
SRR7423288,0.015284687,0.043569118,0.017393023,0.029205233,0.89454794
SRR5629121,0.72972226,0.031533748,0.02223438,0.054418236,0.16209137
SRR6182354,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
SRR5079071,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
ERR011350,0.038156718,0.02041182,0.0061556697,0.006657988,0.92861784
ERR209152,0.037964404,0.020543665,0.006217718,0.0066541433,0.9286201
SRR5757771,0.19720557,0.026959246,0.06554864,0.71028656,0.0
SRR5548755,0.48746017,0.06092778,0.06083551,0.22587857,0.16489792
SRR5761761,0.039723337,0.020840228,0.006549239,0.0077570975,0.9251301
ERR719135,0.03798759,0.020486832,0.0061893165,0.0066444576,0.9286918
SRR5202882,0.038018942,0.020425528,0.006156862,0.006636858,0.92876184
ERR209358,0.053691864,0.021085143,0.0061469376,0.007862091,0.911214
SRR6474280,0.7458655,0.03290969,0.022773385,0.05372882,0.14472258
SRR6264521,0.03894168,0.020558298,0.006252855,0.007025063,0.92722213
SRR6185241,0.56599116,0.045623332,0.007972658,0.018146724,0.36226618
SRR7507341,0.7521863,0.03246963,0.024148494,0.05692014,0.13427544
SRR5711561,0.030017316,0.030364305,0.009357154,0.010892987,0.91936827
SRR5549008,0.75211895,0.032242715,0.023958027,0.056580454,0.13509989
SRR064903,0.75031734,0.03199759,0.023926318,0.056815356,0.13694346
SRR5548429,0.6801558,0.041072875,0.013004273,0.030243665,0.23552334
SRR5078591,0.7521372,0.032300055,0.02400583,0.056666583,0.13489032
SRR5761766,0.03801948,0.020424396,0.0061563253,0.006636679,0.92876315
