,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases,root:Diseases:Digestive System Diseases:Liver Diseases,root:Diseases:Hemic and Lymphatic Diseases:Hematologic Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections,Unknown
SRR6474251,0.27239347,0.004083127,0.0014024079,0.0033295453,0.7187915
ERR719203,0.039281845,0.00071132183,0.0006713867,0.007475555,0.9518599
SRR6264896,0.0076245964,0.00081318617,0.00075286627,0.0027098954,0.98809946
SRR5866347,0.8843374,0.0018311143,0.00043675303,0.014248282,0.099146485
SRR5813405,0.014560908,0.0010098517,0.000687927,0.0034850538,0.98025626
SRR6264938,0.011584163,0.002155155,0.0020111203,0.004778266,0.9794713
SRR5757992,0.024956256,0.00040596724,0.0071980953,0.11355236,0.8538873
SRR5429070,0.038387954,0.00029489398,0.18290842,0.47189826,0.30651045
SRR5757823,0.018500715,0.00031083822,0.029919982,0.9371196,0.014148831
ERR719104,0.0101389885,0.0010301769,0.00078743696,0.0030084252,0.98503494
ERR209574,0.8433757,0.0068430007,0.0006905198,0.009287655,0.13980317
SRR7507327,0.03464508,0.0033532977,0.0012138486,0.0029428005,0.957845
SRR6724422,0.029691754,0.9052822,0.053552557,0.011473374,0.0
SRR6281237,0.04420504,0.0005964637,0.00039610267,0.0068957508,0.9479066
SRR7507462,0.008575022,0.0045095384,0.003038168,0.002652049,0.98122525
ERR719820,0.023638606,0.00071656704,0.0007596314,0.006011784,0.9688734
SRR5650024,0.21034572,0.01546073,0.0015448332,0.0037631392,0.7688856
SRR5648774,0.008005053,0.0009908974,0.0008777976,0.002853632,0.9872726
SRR7507650,0.0065999627,0.011292785,0.06603107,0.008292049,0.9077841
SRR6928787,0.013053715,0.0010894239,0.0009265542,0.003912717,0.9810176
SRR6265446,0.0073161423,0.00070005655,0.00075268745,0.0027655363,0.98846555
ERR720164,0.0174101,0.00077044964,0.00059345365,0.0045545995,0.9766714
SRR5802314,0.032029063,0.0022001565,0.001029104,0.0026364923,0.96210515
SRR5610106,0.009832948,0.0011167228,0.0011989474,0.004463583,0.9833878
SRR5761698,0.09081146,0.00044444203,0.0002938509,0.0103394985,0.89811075
SRR5579092,0.0071439743,0.00080245733,0.0010024309,0.0031508803,0.98790026
SRR5866365,0.024460137,0.0005200207,0.00037401915,0.0053727627,0.9692731
