,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases,root:Diseases:Digestive System Diseases:Liver Diseases,root:Diseases:Hemic and Lymphatic Diseases:Hematologic Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections,Unknown
SRR5650076,0.8106376,0.022634774,0.018030196,0.086357504,0.06234002
SRR6265329,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR1687067,0.77624077,0.022996098,0.017694384,0.07619017,0.10687858
SRR6264562,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5813185,0.07186365,0.02463755,0.011887342,0.012028754,0.8795827
SRR5202972,0.14406723,0.013584435,0.019580573,0.040181816,0.782586
SRR5649070,0.026582062,0.015109032,0.021740586,0.007241547,0.9293268
SRR7507531,0.039966404,0.033139497,0.032919854,0.0059812665,0.887993
SRR6265219,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5202933,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5091485,0.027361333,0.014984965,0.021283418,0.00728485,0.92908543
ERR720197,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
ERR209427,0.02582717,0.014647067,0.02132541,0.007241279,0.9309591
SRR5078601,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5813274,0.02583149,0.014652729,0.021331936,0.0072416067,0.93094224
ERR719000,0.025840133,0.014660865,0.021336645,0.0072399974,0.9309224
ERR209880,0.8147184,0.02294749,0.017736107,0.08401707,0.06058097
SRR5629106,0.025851667,0.014672041,0.02134496,0.0072385967,0.9308927
ERR526014,0.025830597,0.014647782,0.021325767,0.0072413087,0.9309546
SRR5399367,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR1763557,0.81432104,0.02282226,0.017825544,0.08502379,0.060007334
SRR6474259,0.073239386,0.024131387,0.012473971,0.012109011,0.8780463
SRR6264858,0.08144897,0.011344433,0.03178823,0.031610638,0.8438077
SRR6264264,0.025857717,0.01467973,0.02135247,0.0072384477,0.9308716
SRR5934944,0.036170125,0.017393589,0.019451708,0.008331716,0.9186529
SRR5429315,0.028808922,0.12718517,0.5816386,0.21291035,0.049457014
ERR321249,0.17059281,0.019034952,0.013827324,0.03246799,0.76407695
SRR6182332,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5343106,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5079117,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
ERR1823594,0.026597023,0.014777303,0.021081746,0.0073832273,0.9301607
ERR719559,0.025838763,0.014660358,0.021338165,0.007240832,0.9309219
SRR5802258,0.025830448,0.014645636,0.021327943,0.0072422326,0.93095374
SRR5648786,0.025852323,0.014678538,0.021362692,0.007243842,0.9308626
ERR209095,0.02582717,0.014647067,0.02132538,0.0072412193,0.93095917
SRR5802268,0.3825852,0.028317064,0.015244186,0.022494406,0.5513592
SRR7507497,0.02631554,0.014885157,0.021456629,0.0072170794,0.9301256
SRR1009071,0.57494134,0.0515258,0.037670434,0.06789416,0.2679683
SRR5078860,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR6265085,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
ERR720148,0.025912553,0.014673591,0.021333158,0.0072356462,0.930845
SRR5761732,0.025829554,0.014649779,0.021327645,0.0072411,0.93095195
SRR5078588,0.5394553,0.026157767,0.0160321,0.03613946,0.38221538
SRR5650145,0.7314381,0.024719775,0.017026633,0.059365034,0.16745043
SRR6265034,0.026649356,0.014813393,0.022752702,0.00759241,0.92819214
SRR5983426,0.16096523,0.016434878,0.015541971,0.037364155,0.76969373
ERR525691,0.02582711,0.014647007,0.02132541,0.0072412193,0.9309592
SRR1927149,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5549036,0.816329,0.022888929,0.017736554,0.08462715,0.058418393
SRR5757970,0.16740847,0.02582243,0.08735606,0.62260634,0.096806705
ERR209314,0.026260048,0.014736086,0.021411598,0.007240474,0.9303518
SRR5580493,0.19380993,0.015241653,0.017248064,0.044054896,0.7296455
SRR5813332,0.0258331,0.014653385,0.021330386,0.007240534,0.9309426
SRR5813178,0.026296109,0.014784783,0.021271706,0.007230073,0.9304173
ERR209182,0.02605322,0.014759898,0.021419644,0.0072346926,0.9305326
SRR6182292,0.025827438,0.014647365,0.021325648,0.0072412193,0.93095833
ERR719498,0.034461647,0.017666727,0.01922965,0.007855922,0.920786
SRR5757899,0.16143943,0.03132233,0.13035084,0.67688745,0.0
ERR209088,0.02582714,0.014647007,0.02132541,0.0072412193,0.9309592
SRR5761737,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR6331061,0.02583605,0.014660478,0.021345556,0.0072443783,0.93091357
ERR720095,0.026314706,0.015144676,0.021711707,0.007190436,0.9296385
SRR5399246,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
SRR5079127,0.02582711,0.014646947,0.02132532,0.0072412193,0.9309594
