,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic diseases,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections:Gram-Positive Bacterial Infections:Clostridium Infections,Unknown
SRR5650076,0.033599198,0.33235425,0.014976889,0.6190697
SRR6265329,0.00630033,0.026257038,0.011600584,0.955842
SRR1687067,0.16256696,0.036773294,0.008430392,0.79222935
SRR6264562,0.0118739605,0.026309073,0.009717405,0.95209956
SRR5813185,0.025577605,0.13749596,0.013841271,0.8230852
SRR5202972,0.0049393177,0.075713396,0.83556247,0.08378482
SRR5649070,0.043518722,0.047095507,0.011417508,0.8979683
SRR7507531,0.0064433813,0.02628544,0.011538357,0.9557328
SRR6265219,0.006456405,0.026347637,0.011600316,0.9555956
SRR5202933,0.017239481,0.026657075,0.00896737,0.94713604
SRR5091485,0.07304421,0.05782625,0.009462029,0.85966754
ERR720197,0.008019686,0.027001977,0.011461496,0.95351684
ERR209427,0.004306555,0.056337237,0.041096807,0.8982594
SRR5078601,0.0062757432,0.026257128,0.011613518,0.9558536
SRR5813274,0.004143834,0.6324233,0.010600537,0.35283232
ERR719000,0.016748637,0.027861208,0.009885043,0.94550514
ERR209880,0.01620105,0.56878155,0.005187154,0.4098302
SRR5629106,0.07243928,0.04090631,0.008841366,0.87781304
ERR526014,0.008535206,0.04616925,0.012604535,0.932691
SRR5399367,0.0070010424,0.026562303,0.011521667,0.954915
SRR1763557,0.44221783,0.049767762,0.010942757,0.49707162
SRR6474259,0.026155889,0.081432045,0.010740876,0.8816712
SRR6264858,0.011750221,0.12842089,0.42687368,0.4329552
SRR6264264,0.0095748305,0.029009193,0.013866395,0.9475496
SRR5934944,0.12227973,0.3904777,0.009315133,0.47792745
SRR5429315,0.009605736,0.040896982,0.01454708,0.93495023
ERR321249,0.011520356,0.13301045,0.15443367,0.7010355
SRR6182332,0.010934085,0.026352823,0.009982556,0.95273054
SRR5343106,0.023043096,0.028336585,0.009336054,0.93928427
SRR5079117,0.018079996,0.026711881,0.0088382065,0.9463699
ERR1823594,0.0112499595,0.4128064,0.0028850734,0.5730586
ERR719559,0.00887391,0.03403437,0.01912126,0.93797046
SRR5802258,0.006283015,0.026262611,0.011613578,0.9558408
SRR5648786,0.0118070245,0.029066592,0.011005908,0.9481205
ERR209095,0.0065843165,0.029032946,0.011834204,0.9525485
SRR5802268,0.0066820085,0.032611102,0.01045844,0.9502485
SRR7507497,0.030962646,0.037623852,0.008364379,0.9230491
SRR1009071,0.08977328,0.7774139,0.13281281,0.0
SRR5078860,0.00627771,0.026258826,0.011614054,0.9558494
SRR6265085,0.0028710067,0.120089054,0.1431449,0.73389506
ERR720148,0.013472348,0.03556606,0.009553015,0.9414086
SRR5761732,0.0053592324,0.074432224,0.059450537,0.860758
SRR5078588,0.045233816,0.40846026,0.03199169,0.51431423
SRR5650145,0.022413373,0.5066659,0.003419757,0.46750098
SRR6265034,0.05544257,0.030254692,0.00822866,0.90607405
SRR5983426,0.017335594,0.12268153,0.11770955,0.74227333
ERR525691,0.0062968135,0.026272446,0.01161617,0.9558146
SRR1927149,0.013569742,0.026711285,0.009645462,0.9500735
SRR5549036,0.003968805,0.7722019,0.13255176,0.09127748
SRR5757970,0.011012644,0.18215084,0.56759286,0.23924363
ERR209314,0.014861524,0.30708367,0.0048769712,0.67317784
SRR5580493,0.016215295,0.09349546,0.095033824,0.7952554
SRR5813332,0.009148061,0.027144194,0.011157453,0.9525503
SRR5813178,0.00604555,0.5331274,0.00818646,0.45264053
ERR209182,0.017506182,0.1373792,0.008259326,0.8368553
SRR6182292,0.0074925125,0.028745592,0.010895371,0.95286655
ERR719498,0.012014538,0.05194834,0.018308163,0.91772896
SRR5757899,0.004945129,0.07563111,0.8352741,0.08414966
ERR209088,0.015625894,0.027516335,0.0098391175,0.9470186
SRR5761737,0.0062770247,0.026257962,0.011613637,0.9558514
SRR6331061,0.0054838955,0.03587705,0.023247778,0.9353913
ERR720095,0.010813147,0.03178847,0.014439732,0.94295865
SRR5399246,0.010806769,0.027180433,0.010664344,0.9513484
SRR5079127,0.006275147,0.02641353,0.011584371,0.955727
SRR5650170,0.011983901,0.7854469,0.035190225,0.16737902
ERR209217,0.0077551305,0.031568587,0.012485445,0.9481908
SRR5601927,0.03851831,0.27822107,0.058210045,0.62505054
SRR6330878,0.008221269,0.02763009,0.01174584,0.95240283
SRR5578945,0.0059456527,0.4397749,0.002878189,0.55140126
SRR5651446,0.03283575,0.34126788,0.0075496733,0.6183467
SRR6724436,0.035595417,0.46399656,0.028758228,0.47164977
SRR5396522,0.009630948,0.069695026,0.07960743,0.8410666
SRR5648881,0.08419457,0.2511829,0.28617376,0.37844872
SRR6474222,0.015342802,0.030059308,0.009318501,0.94527936
SRR5365467,0.005191654,0.062344372,0.06379303,0.86867094
SRR6724452,0.005604923,0.0459885,0.043228596,0.90517795
SRR5761676,0.006234944,0.03881377,0.009833604,0.9451177
SRR5813438,0.0062668324,0.11362055,0.019374281,0.86073834
SRR1765944,0.03763649,0.038919866,0.010014027,0.9134296
SRR5761748,0.0047602654,0.06328586,0.18082428,0.7511296
SRR7464960,0.0049393177,0.075713396,0.83556247,0.08378482
SRR5651440,0.0123845935,0.029002279,0.011890233,0.94672287
SRR6265458,0.016887993,0.02992177,0.011256218,0.941934
SRR6724583,0.0068415105,0.026711524,0.011735022,0.9547119
SRR7507569,0.11674613,0.044481367,0.0072768033,0.8314957
SRR6474269,0.019448638,0.35435382,0.009265035,0.6169325
ERR719075,0.013629317,0.029269516,0.010809988,0.9462912
SRR7507396,0.02605474,0.43524736,0.002867043,0.53583086
SRR5343099,0.02330345,0.026954144,0.008406013,0.9413364
ERR011271,0.0059038103,0.063352436,0.031778067,0.8989657
ERR719671,0.009073645,0.026647985,0.010737747,0.9535406
SRR5802350,0.006201476,0.38473618,0.0031716228,0.60589075
SRR5602035,0.02914384,0.17088589,0.049298584,0.7506717
ERR1809133,0.012193531,0.037588954,0.02113396,0.9290836
ERR525889,0.005501598,0.07176113,0.015384257,0.90735304
SRR5020881,0.09505263,0.044722915,0.010058939,0.8501655
SRR5203283,0.041282088,0.031044364,0.0095896125,0.9180839
SRR5813354,0.0062757432,0.026257664,0.011613786,0.9558528
SRR6474243,0.036067873,0.274975,0.015039682,0.6739174
SRR5761720,0.0062764585,0.026257098,0.011613011,0.95585346
SRR6928813,0.01915145,0.028252691,0.009699732,0.9428961
SRR2142208,0.026907504,0.5809613,0.23861024,0.15352094
SRR5399194,0.0063188374,0.02629143,0.011621594,0.9557681
SRR5803624,0.114245325,0.03414613,0.009307176,0.84230137
SRR5947870,0.049697846,0.6028476,0.00927037,0.33818418
ERR719031,0.008470207,0.14873683,0.066278845,0.7765141
SRR5813179,0.010029286,0.46517986,0.0045001507,0.52029073
ERR720017,0.0118153095,0.03053239,0.010626614,0.94702566
SRR5650162,0.0065667033,0.4642167,0.0040642917,0.5251523
SRR6251516,0.0059372485,0.06412524,0.019434154,0.9105034
SRR6265039,0.0061407983,0.02753976,0.012570947,0.95374846
SRR5548643,0.16879934,0.68116397,0.010369629,0.13966703
ERR719864,0.022590429,0.029700607,0.009264022,0.938445
SRR7690042,0.2742358,0.052799612,0.02929449,0.6436701
SRR5548651,0.0087941885,0.32469493,0.09482181,0.57168907
SRR5020876,0.05534032,0.030539036,0.008509159,0.9056115
SRR5758129,0.016612142,0.31846416,0.07638565,0.58853805
ERR719178,0.020457894,0.05769235,0.019425005,0.90242475
ERR011150,0.008952379,0.027705073,0.011493802,0.95184875
SRR5866359,0.008196294,0.0383389,0.014525622,0.9389392
SRR5602036,0.013652861,0.027105361,0.009851217,0.94939053
ERR719029,0.007708937,0.13373184,0.063120216,0.795439
SRR5429072,0.019258171,0.40598655,0.020691305,0.554064
SRR5761712,0.020508468,0.15112156,0.013065934,0.81530404
SRR6265293,0.030848682,0.089018434,0.031169444,0.84896344
SRR6724380,0.078220576,0.028885365,0.0067552626,0.8861388
SRR5758125,0.00493896,0.075721025,0.8355173,0.08382273
SRR6474301,0.045524955,0.042420715,0.008259445,0.9037949
SRR5580410,0.013817042,0.05076611,0.03140834,0.9040085
SRR5495956,0.022668928,0.34288153,0.18128115,0.4531684
SRR5202884,0.007773757,0.029899657,0.012548715,0.94977784
SRR6264071,0.0072112083,0.026669621,0.011520386,0.9545988
ERR634981,0.0058285296,0.04090959,0.02138254,0.93187934
SRR5758111,0.0059123635,0.10202739,0.4235317,0.4685285
SRR5903360,0.014182568,0.028861195,0.010146409,0.9468098
SRR2175767,0.014417678,0.04569632,0.011702716,0.9281833
SRR5947858,0.03108725,0.36090922,0.14959916,0.45840436
SRR5761746,0.018543094,0.028335065,0.009651631,0.94347024
SRR5549005,0.07248819,0.48304424,0.008421332,0.43604624
SRR5803758,0.016649902,0.03564751,0.010997504,0.9367051
ERR719606,0.02406028,0.031066746,0.0105445385,0.93432844
SRR6265233,0.016955465,0.04644549,0.015842348,0.9207567
SRR5711562,0.13520074,0.033789217,0.0073809624,0.8236291
ERR209319,0.047061086,0.15583178,0.009716541,0.7873906
ERR526084,0.005886674,0.44076663,0.0030069053,0.5503398
SRR961843,0.014196932,0.029471964,0.009972513,0.94635856
SRR5343028,0.021147907,0.026901424,0.0086116195,0.94333905
SRR6264844,0.0037251115,0.07770908,0.077570856,0.84099495
SRR5548524,0.0040152073,0.6415511,0.012454301,0.34197938
ERR209362,0.011456162,0.032593608,0.011517048,0.9444332
ERR525801,0.01495868,0.293678,0.033007503,0.65835583
SRR2142193,0.0071083307,0.35744512,0.003305018,0.63214153
SRR5648864,0.008381575,0.039817423,0.032565653,0.91923535
