,root:Diseases:Digestive System Diseases,root:Diseases:Hemic and Lymphatic Diseases,root:Infections:Bacterial Infections and Mycoses,Unknown
SRR5079185,0.02400437,0.00042274594,0.015966356,0.9596065
ERR719961,0.027496397,0.00046610832,0.015325516,0.956712
SRR5602141,0.027379394,0.0004926324,0.014487565,0.9576404
SRR5758078,0.47387892,0.007201642,0.03108874,0.4878307
SRR5396543,0.2713188,0.0026006997,0.016564608,0.7095159
SRR6264428,0.56107104,0.007831156,0.0078049004,0.42329288
SRR5757789,0.8505568,0.028900355,0.03159213,0.08895075
SRR1693210,0.8712138,0.028940976,0.027844995,0.072000265
ERR719991,0.025794059,0.0004517734,0.015632808,0.95812136
SRR6901831,0.64066356,0.008390427,0.001758784,0.34918725
SRR5602124,0.02454561,0.00043040514,0.01590386,0.95912015
ERR011301,0.040988773,0.000918895,0.030989975,0.9271023
SRR5429314,0.1376616,0.64682454,0.1849187,0.030595124
SRR5803702,0.024109483,0.0004246533,0.015911251,0.9595546
SRR7464883,0.024687827,0.00043219328,0.015936524,0.9589435
SRR5343112,0.024006039,0.00042280555,0.015965015,0.9596062
SRR5548968,0.8707786,0.0292525,0.027956009,0.0720129
SRR6724585,0.02546224,0.00044035912,0.015756845,0.9583405
SRR6264690,0.106441945,0.00159958,0.039355516,0.85260296
SRR5649114,0.02400437,0.00042274594,0.015966356,0.9596065
ERR719063,0.029365718,0.00061425567,0.017549336,0.95247066
ERR525890,0.341686,0.0053375065,0.04831153,0.6046649
SRR1687172,0.7853202,0.017921984,0.040877253,0.15588057
SRR6424577,0.012189239,0.100114435,0.44087878,0.44681752
ERR011175,0.024814993,0.00043335557,0.015736371,0.95901525
ERR719042,0.028962791,0.00061130524,0.017531574,0.95289433
SRR5983467,0.82421434,0.020370483,0.01943934,0.13597584
ERR209516,0.03245911,0.00054723024,0.016048133,0.9509455
SRR1763694,0.21121821,0.0031181872,0.007896006,0.7777676
ERR695626,0.8588852,0.025978655,0.030233562,0.084902585
SRR7507319,0.024114609,0.00042513013,0.015879184,0.9595811
SRR6264781,0.024592608,0.0004324317,0.01568234,0.95929265
SRR5649098,0.024030209,0.0004233122,0.015948057,0.9595984
ERR209775,0.026566416,0.00046861172,0.015248686,0.9577163
SRR5602041,0.02400437,0.00042280555,0.015966326,0.9596065
