,root:Diseases:Digestive System Diseases,root:Diseases:Hemic and Lymphatic Diseases,root:Infections:Bacterial Infections and Mycoses,Unknown
SRR5429226,0.15175924,0.6487272,0.19951357,0.0
SRR5548347,0.75053644,0.053772897,0.009334475,0.18635619
SRR5078789,0.04171738,0.009412825,0.008660704,0.9402091
SRR5637777,0.04171738,0.009412825,0.008660704,0.9402091
SRR051715,0.8184484,0.07725632,0.009323508,0.094971776
SRR961790,0.042066574,0.009438008,0.008661598,0.9398338
SRR5549011,0.820163,0.07759616,0.009324789,0.09291601
ERR525995,0.23330954,0.012685031,0.008786857,0.7452186
SRR5343194,0.058077395,0.010295659,0.0087097585,0.9229172
SRR5761712,0.8158067,0.077326864,0.009638041,0.09722841
SRR6724520,0.8201624,0.07759902,0.009325862,0.092912674
SRR6331198,0.04172656,0.009413511,0.0086607635,0.94019914
SRR7507646,0.04182428,0.009417474,0.008664012,0.94009423
SRR6182532,0.04172039,0.009412974,0.008660853,0.9402058
SRR5757906,0.031694826,0.17363954,0.79466563,0.0
SRR6265561,0.041718423,0.009412944,0.008661181,0.9402075
SRR5202839,0.04171738,0.009412825,0.008660704,0.9402091
SRR1766081,0.04173711,0.009413689,0.008661032,0.94018817
SRR5202912,0.8155837,0.07803187,0.0097922385,0.09659219
SRR5758090,0.027219545,0.15265359,0.82012683,0.0
SRR1008768,0.8198961,0.07822308,0.009477556,0.09240323
SRR6264714,0.042595536,0.009645373,0.011579007,0.9361801
SRR5580452,0.041718364,0.009412885,0.0086607635,0.94020796
SRR5648997,0.041718125,0.009412885,0.008660704,0.9402083
SRR6182360,0.46307802,0.036890954,0.009079576,0.49095142
SRR5548686,0.8195652,0.07915673,0.0097028315,0.091575265
SRR1765993,0.051442027,0.009893566,0.008695692,0.9299687
ERR209579,0.81689185,0.07690856,0.009323537,0.096876085
ERR209481,0.045499086,0.009619325,0.008671582,0.93621004
SRR5983392,0.36050645,0.025369257,0.008982211,0.6051421
SRR5758025,0.0272195,0.15265353,0.8201269,0.0
SRR5648773,0.041748315,0.009414226,0.008664131,0.9401733
SRR5983278,0.37440953,0.025934637,0.008978516,0.5906773
SRR6724436,0.82016385,0.077597976,0.009326071,0.09291208
SRR6724560,0.82015043,0.07759383,0.009325087,0.092930615
ERR719740,0.10569021,0.012607634,0.00911805,0.8725841
ERR505100,0.7872441,0.06656349,0.009487927,0.1367045
SRR5548426,0.10149711,0.011125326,0.008727491,0.87865007
SRR5202936,0.04171738,0.009412825,0.008660704,0.9402091
ERR720068,0.041730672,0.009413421,0.008660853,0.9401951
SRR5649116,0.04171738,0.009412825,0.008660704,0.9402091
ERR525972,0.092687845,0.011907309,0.008752614,0.88665223
SRR5649083,0.045198888,0.009662539,0.009091407,0.9360472
SRR5078708,0.04171738,0.009412825,0.008660704,0.9402091
SRR6182381,0.04188907,0.0094201565,0.008664906,0.94002587
ERR695632,0.042251706,0.009440005,0.008681238,0.93962705
SRR7507337,0.04171738,0.009412825,0.008660704,0.9402091
SRR5548693,0.8099582,0.07568908,0.009316772,0.1050359
SRR051686,0.8150512,0.07666263,0.009320468,0.098965645
SRR5343090,0.04171738,0.009412825,0.008660704,0.9402091
ERR719243,0.04295492,0.009498864,0.008663803,0.9388824
SRR5548032,0.82016325,0.07759693,0.009325087,0.09291476
SRR6424580,0.02835198,0.15812816,0.8135199,0.0
SRR5429353,0.15559155,0.65464824,0.1451725,0.04458773
ERR719216,0.043412596,0.009521633,0.008868158,0.9381976
SRR6265091,0.035986453,0.049802363,0.3483578,0.56585336
ERR209223,0.043744534,0.009534836,0.008845478,0.93787515
ERR209474,0.041902065,0.009421706,0.008675575,0.94000065
SRR6876227,0.20919767,0.018889368,0.008885264,0.76302767
SRR5648946,0.041870475,0.009419799,0.008674026,0.9400357
SRR5548411,0.8201631,0.077596426,0.009324819,0.092915654
SRR6185220,0.041717857,0.009412885,0.008660704,0.94020855
ERR321078,0.041841596,0.009418845,0.008672595,0.94006693
SRR7507318,0.04173839,0.00941366,0.008660853,0.9401871
ERR719217,0.042970687,0.009490609,0.008795112,0.9387436
ERR720195,0.04171738,0.009412825,0.008660704,0.9402091
SRR6265651,0.04171762,0.0094129145,0.008660704,0.9402088
SRR961835,0.036079317,0.14171657,0.7662902,0.055913925
SRR5637774,0.04171738,0.009412825,0.008660704,0.9402091
SRR5813186,0.043303788,0.009496033,0.008685261,0.93851495
ERR719255,0.042635977,0.009460926,0.008670896,0.93923223
SRR6928744,0.04171738,0.009412825,0.008660704,0.9402091
SRR6265426,0.04171738,0.009412825,0.008660704,0.9402091
ERR209479,0.09099281,0.01163283,0.008742154,0.8886322
SRR6331145,0.04808253,0.011247635,0.07413784,0.86653197
SRR5813259,0.042395413,0.009449691,0.00869602,0.93945885
SRR6182467,0.043028325,0.00959748,0.010215193,0.937159
SRR5602234,0.05379668,0.047745436,0.250081,0.6483769
SRR5803696,0.041731954,0.009413421,0.008660823,0.9401938
SRR5399530,0.04171738,0.009412825,0.008660704,0.9402091
SRR5649073,0.0417192,0.009412944,0.008660704,0.9402071
SRR6264189,0.03253758,0.14181983,0.7748121,0.050830483
SRR5203248,0.04171747,0.0094129145,0.008660704,0.9402089
SRR6182431,0.04171738,0.009412825,0.008660704,0.9402091
SRR5651464,0.04171738,0.009412825,0.008660704,0.9402091
SRR5609991,0.041800797,0.00941667,0.008669347,0.9401132
SRR6357161,0.04171738,0.009412825,0.008660704,0.9402091
SRR5428889,0.15434435,0.6585668,0.18708886,0.0
SRR5079029,0.04171738,0.009412825,0.008660704,0.9402091
SRR5078832,0.04171738,0.009412825,0.008660704,0.9402091
SRR5761664,0.09652573,0.011647731,0.008736819,0.8830897
SRR5548733,0.820163,0.07759616,0.009324789,0.09291601
SRR1766010,0.041727006,0.009413332,0.008662254,0.9401974
SRR5602264,0.041719705,0.009412944,0.0086607635,0.9402066
ERR719855,0.04173222,0.009413451,0.008660942,0.9401934
SRR6264354,0.04171738,0.009412825,0.008660704,0.9402091
SRR6424694,0.027298782,0.15303966,0.81966156,0.0
SRR5947824,0.71495783,0.0540497,0.009245068,0.2217474
ERR719866,0.041734964,0.00941354,0.008660972,0.94019055
ERR526019,0.04171905,0.009412944,0.008660704,0.9402073
ERR321443,0.08330768,0.011628002,0.009521097,0.8955432
SRR5578987,0.041737497,0.009413749,0.008663267,0.9401855
SRR6265150,0.04171738,0.009412825,0.008660704,0.9402091
SRR5079119,0.041887313,0.009421021,0.008673847,0.9400178
ERR209172,0.041966528,0.009424001,0.008671343,0.9399381
SRR6901799,0.041738242,0.009413928,0.008660734,0.9401871
SRR2914210,0.04171738,0.009412825,0.008660704,0.9402091
SRR5431392,0.041718453,0.009412885,0.008660853,0.94020784
SRR5649169,0.04171738,0.009412825,0.008660704,0.9402091
SRR5577153,0.8125084,0.08353916,0.010258257,0.09369415
SRR5866418,0.041726083,0.009413213,0.008660853,0.94019985
