,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic diseases,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections:Gram-Positive Bacterial Infections:Clostridium Infections,Unknown
SRR5429226,0.022350818,0.08460462,0.045522094,0.8475225
SRR5548347,0.06859335,0.73066986,0.03900957,0.16172719
SRR5078789,0.032181203,0.028715342,0.007712513,0.93139094
SRR5637777,0.032181203,0.028715342,0.007712513,0.93139094
SRR051715,0.13741782,0.18731257,0.01040712,0.6648625
SRR961790,0.032301784,0.030293852,0.007827014,0.92957735
SRR5549011,0.07903531,0.75962514,0.040131122,0.12120843
ERR525995,0.02615273,0.058002353,0.011868924,0.90397596
SRR5343194,0.039665103,0.04196456,0.008510351,0.90986
SRR5761712,0.09269637,0.7673373,0.044614643,0.095351696
SRR6724520,0.032186627,0.028743416,0.007715374,0.9313546
SRR6331198,0.032180637,0.028717905,0.00771299,0.9313885
SRR7507646,0.032628775,0.0291363,0.007861406,0.93037355
SRR6182532,0.032203823,0.028731465,0.0077207386,0.931344
SRR5757906,0.10245946,0.13312691,0.7644136,0.0
SRR6265561,0.03225884,0.02877003,0.007719457,0.93125165
SRR5202839,0.032181293,0.028715372,0.0077126026,0.93139076
SRR1766081,0.03221613,0.028779745,0.0077325106,0.9312716
SRR5202912,0.08943188,0.72159356,0.03761825,0.15135634
SRR5758090,0.10244853,0.13315034,0.76440114,0.0
SRR1008768,0.103659034,0.7943557,0.050164253,0.051820993
SRR6264714,0.033938646,0.029644072,0.008974791,0.9274425
SRR5580452,0.032215744,0.028737694,0.0077277124,0.9313189
SRR5648997,0.03258714,0.029007733,0.007733166,0.93067193
SRR6182360,0.03217414,0.031232059,0.00789848,0.9286953
SRR5548686,0.12095544,0.8125872,0.057250828,0.009206533
SRR1765993,0.046016783,0.040849566,0.008428514,0.90470517
ERR209579,0.0774169,0.7522482,0.039589196,0.13074565
ERR209481,0.031900346,0.03252253,0.008240104,0.92733705
SRR5983392,0.03212017,0.37134004,0.024452567,0.5720872
SRR5758025,0.10242611,0.1331496,0.7644243,0.0
SRR5648773,0.033658892,0.029729456,0.007982284,0.9286294
SRR5983278,0.023860604,0.40929297,0.02832064,0.5385258
SRR6724436,0.03218183,0.028891146,0.007731527,0.9311955
SRR6724560,0.0322555,0.028887153,0.0077233613,0.931134
ERR719740,0.030577302,0.09619719,0.013534695,0.8596908
ERR505100,0.071306586,0.7222869,0.03976673,0.1666398
SRR5548426,0.030806273,0.03890884,0.009063393,0.9212215
SRR5202936,0.03218144,0.028715521,0.007712692,0.93139035
ERR720068,0.032221615,0.028769195,0.007724732,0.9312844
SRR5649116,0.032194436,0.028724283,0.0077145994,0.9313667
ERR525972,0.05277303,0.13077256,0.012184203,0.8042702
SRR5649083,0.036029845,0.033013374,0.008367211,0.92258954
SRR5078708,0.032181203,0.028715342,0.007712513,0.93139094
SRR6182381,0.032592297,0.029197156,0.007824868,0.9303857
ERR695632,0.032280892,0.030082911,0.007966429,0.92966974
SRR7507337,0.032322317,0.028793126,0.007771045,0.9311135
SRR5548693,0.08019787,0.7507388,0.03877598,0.13028735
SRR051686,0.116494715,0.083857805,0.010172963,0.7894745
SRR5343090,0.032181323,0.028715491,0.007712513,0.93139064
ERR719243,0.029399276,0.039935708,0.009416014,0.92124903
SRR5548032,0.08178544,0.7641847,0.04126054,0.112769306
SRR6424580,0.10132188,0.1331369,0.76554126,0.0
SRR5429353,0.032181293,0.028715432,0.007712573,0.9313907
ERR719216,0.03232795,0.030811787,0.008219659,0.9286406
SRR6265091,0.036026806,0.10655904,0.33181095,0.5256032
ERR209223,0.03261736,0.030582935,0.008205891,0.9285938
ERR209474,0.032220185,0.029225528,0.007847458,0.93070686
SRR6876227,0.03235951,0.029605657,0.0077949166,0.9302399
