,root:Diseases,root:Health,root:Infections,Unknown
SRR5429226,0.9132324,0.038453177,0.04831447,0.0
SRR5548347,0.04409957,0.93231064,0.013785213,0.009804606
SRR5078789,0.019167066,0.9747705,0.0060624634,0.0
SRR5637777,0.019150233,0.97479236,0.006057387,0.0
SRR051715,0.76034147,0.23477966,0.0048788614,0.0
SRR961790,0.07455829,0.9106319,0.010365516,0.0044443607
SRR5549011,0.9348763,0.04056364,0.024560025,0.0
ERR525995,0.8861028,0.08880761,0.020686895,0.0044027567
SRR5343194,0.85878986,0.13521656,0.005993568,0.0
SRR5761712,0.03212622,0.96215755,0.005716233,0.0
SRR6724520,0.9276381,0.03876374,0.03359816,0.0
SRR6331198,0.03961253,0.87828445,0.062040627,0.020062387
SRR7507646,0.019540444,0.9743597,0.006099842,0.0
SRR6182532,0.019425463,0.9745333,0.006041204,0.0
SRR5757906,0.06497181,0.16411065,0.7709176,0.0
SRR6265561,0.019151358,0.974791,0.0060576233,0.0
SRR5202839,0.019149823,0.9747929,0.00605733,0.0
SRR1766081,0.03358149,0.9574173,0.009001248,0.0
SRR5202912,0.87490475,0.118364565,0.006730695,0.0
SRR5758090,0.071887486,0.14763299,0.78047955,0.0
SRR1008768,0.9262463,0.041971352,0.031782426,0.0
SRR6264714,0.013477206,0.9205326,0.057785213,0.008204997
SRR5580452,0.019299397,0.9745625,0.006138055,0.0
SRR5648997,0.019266238,0.97468,0.006053731,0.0
SRR6182360,0.019292668,0.97462076,0.006086567,0.0
SRR5548686,0.6489526,0.1642226,0.07157594,0.11524886
SRR1765993,0.036931604,0.9566519,0.0062399805,0.00017642975
ERR209579,0.25862986,0.7101401,0.008472443,0.02275759
ERR209481,0.1182037,0.84454215,0.016297132,0.020956993
SRR5983392,0.8822964,0.10789238,0.009811224,0.0
SRR5758025,0.019024141,0.974754,0.0062218066,0.0
SRR5648773,0.019425867,0.97434914,0.006225031,0.0
SRR5983278,0.028088724,0.9635336,0.008377631,0.0
SRR6724436,0.9272049,0.039874364,0.032920703,0.0
SRR6724560,0.7970888,0.19909343,0.0038178135,0.0
ERR719740,0.057907015,0.911507,0.017263442,0.013322592
ERR505100,0.46739504,0.5302372,0.002367847,0.0
SRR5548426,0.12300067,0.2997776,0.5772218,0.0
SRR5202936,0.019174917,0.97475576,0.0060693184,0.0
ERR720068,0.019220753,0.9746703,0.006108934,0.0
SRR5649116,0.019152347,0.9747911,0.0060566156,0.0
ERR525972,0.3601019,0.4197796,0.05719936,0.16291916
SRR5649083,0.039120585,0.95181066,0.008441955,0.00062680244
SRR5078708,0.019152602,0.97478956,0.00605786,0.0
SRR6182381,0.02157745,0.9715617,0.006860885,0.0
ERR695632,0.024747869,0.9691157,0.006136498,0.0
SRR7507337,0.01944041,0.9745266,0.006032983,0.0
SRR5548693,0.5615383,0.18364102,0.12662673,0.12819397
