,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic diseases:Irritable Bowel Syndrome,"root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases:Colitis, Ulcerative",root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases:Crohn Disease,Unknown
ERR209762,0.024389237,0.077649355,0.02732575,0.8706356
SRR961737,0.037745863,0.020674527,0.009817898,0.93176174
ERR209132,0.03661409,0.023278505,0.010802656,0.9293047
SRR5495972,0.15999201,0.20792764,0.026101649,0.6059787
SRR5648888,0.037749797,0.020674288,0.009811461,0.9317645
SRR5866284,0.040010303,0.021899879,0.009984523,0.9281053
SRR5399234,0.037736863,0.02067262,0.009808004,0.9317825
SRR5399237,0.037736863,0.02067256,0.009808004,0.9317826
SRR5983412,0.040894985,0.27685022,0.1617881,0.5204667
ERR209412,0.03895518,0.021256268,0.0102927685,0.9294958
SRR5079174,0.037736982,0.02067262,0.009808004,0.93178236
ERR525914,0.037736863,0.02067256,0.009808004,0.9317826
SRR1999154,0.037736863,0.02067256,0.009808004,0.9317826
SRR5079166,0.037736863,0.02067256,0.009808004,0.9317826
SRR6182360,0.03774154,0.020673275,0.009808511,0.93177664
SRR6251482,0.14455119,0.06254363,0.012561709,0.7803435
SRR5078869,0.058211565,0.6070883,0.14397687,0.19072324
SRR5803659,0.03774497,0.02067256,0.009818643,0.9317638
SRR6265396,0.03773713,0.02067262,0.0098080635,0.9317822
SRR5078585,0.037736297,0.020673454,0.009808242,0.931782
SRR5548739,0.031335056,0.29733443,0.037073046,0.63425744
SRR6264793,0.03774035,0.02067256,0.009812504,0.9317746
SRR6683695,0.03791231,0.020695746,0.01005891,0.93133307
SRR5648933,0.037711233,0.020709306,0.009821713,0.93175775
SRR6182413,0.03774172,0.02067262,0.009814382,0.9317713
SRR6724522,0.22499701,0.106215745,0.013799399,0.6549878
SRR1693225,0.22247627,0.10684967,0.013887078,0.656787
SRR6901784,0.037791878,0.020679593,0.00981155,0.931717
ERR209405,0.038131505,0.020820051,0.010040522,0.9310079
ERR209349,0.033783257,0.106078625,0.12181273,0.73832536
ERR209492,0.03507164,0.028039902,0.013531864,0.9233566
SRR5802255,0.03786245,0.020690024,0.009815186,0.93163234
ERR718998,0.037841797,0.02069351,0.00984931,0.93161535
SRR7507688,0.037848473,0.020693928,0.009869993,0.9315876
SRR6724500,0.03835547,0.02080214,0.010020435,0.93082196
SRR5602015,0.037736952,0.02067262,0.009808093,0.93178236
SRR1765912,0.1380082,0.046087265,0.012306839,0.8035977
SRR5648952,0.03860402,0.021041244,0.011368483,0.92898625
ERR321575,0.03834492,0.02090165,0.010397434,0.930356
SRR6265066,0.037736863,0.02067256,0.009808004,0.9317826
