,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases,root:Diseases:Digestive System Diseases:Liver Diseases:Liver Cirrhosis,root:Diseases:Hemic and Lymphatic Diseases:Hematologic Diseases:Hematologic Neoplasms,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections:Gram-Positive Bacterial Infections,Unknown
ERR209762,0.037788153,0.0024901628,0.00082316995,0.006020516,0.952878
SRR961737,0.015391767,0.0023680627,0.0011378527,0.015863836,0.96523845
ERR209132,0.024601072,0.002034396,0.0011640787,0.012876511,0.95932394
SRR5495972,0.23036125,0.011387289,0.038668156,0.22787422,0.4917091
SRR5648888,0.030647099,0.0014878213,0.0005656481,0.005683869,0.96161556
SRR5866284,0.032252073,0.001614064,0.00066804886,0.0067067742,0.95875907
SRR5399234,0.014881939,0.002253443,0.001067251,0.017110735,0.96468663
SRR5399237,0.05436635,0.009715706,0.09839311,0.7160256,0.12149924
SRR5983412,0.74950075,0.0033718646,0.005536288,0.046495557,0.19509554
ERR209412,0.029551804,0.0021285117,0.0016614199,0.017688692,0.9489696
SRR5079174,0.029375881,0.0016289949,0.000713855,0.008470267,0.959811
ERR525914,0.021043003,0.0017410517,0.00074982643,0.009649068,0.966817
SRR1999154,0.012735546,0.0025024414,0.0012229383,0.021427602,0.9621115
SRR5079166,0.013983339,0.0023519993,0.0011275113,0.018833876,0.9637033
SRR6182360,0.054056823,0.0010766983,0.0008934736,0.01240772,0.9315653
SRR6251482,0.7289897,0.0039180815,0.0025430322,0.017021865,0.24752736
SRR5078869,0.103458256,0.001134783,0.004531026,0.08295533,0.8079206
SRR5803659,0.02505219,0.0015375912,0.0006336272,0.007309228,0.96546733
SRR6265396,0.012369484,0.002571553,0.0012665391,0.022396982,0.96139544
SRR5078585,0.037139297,0.0011526644,0.00042960048,0.003860265,0.9574182
SRR5548739,0.09302986,0.2489886,0.0284276,0.022025675,0.60752827
SRR6264793,0.01371637,0.0023712814,0.0011374056,0.019009054,0.96376586
SRR6683695,0.15343499,0.004225135,0.024163485,0.30615935,0.512017
SRR5648933,0.055364013,0.0016420484,0.00044697523,0.0028879046,0.93965906
SRR6182413,0.024496943,0.0015593767,0.00064733624,0.007559955,0.9657364
SRR6724522,0.093045324,0.24903229,0.02844724,0.022046775,0.6074284
SRR1693225,0.8574148,0.004327297,0.0032266974,0.022108614,0.11292261
SRR6901784,0.030074686,0.0015088618,0.00094500184,0.004916519,0.96255493
ERR209405,0.032190055,0.0017861426,0.0008275509,0.009086102,0.9561101
ERR209349,0.5940957,0.004621446,0.00317806,0.018962324,0.37914246
ERR209492,0.027924538,0.002049923,0.0010446012,0.010970324,0.9580106
SRR5802255,0.025137931,0.0019436777,0.000834465,0.009825766,0.96225816
ERR718998,0.017381787,0.0023791492,0.0015651286,0.01295054,0.9657234
SRR7507688,0.14598176,0.004744202,0.0005544722,0.0015318692,0.8471877
SRR6724500,0.2188513,0.7438951,0.017122434,0.020131161,0.0
SRR5602015,0.013835311,0.002357185,0.0011312962,0.018819451,0.96385676
SRR1765912,0.016462326,0.0025847852,0.0012469292,0.017681241,0.9620247
SRR5648952,0.014462858,0.0038183331,0.008201957,0.07759744,0.89591944
ERR321575,0.015214831,0.0023635328,0.0013438165,0.016612053,0.96446574
SRR6265066,0.036171913,0.0011725724,0.0004402697,0.0040249527,0.9581903
SRR5802230,0.016859293,0.002043873,0.0009312928,0.013733119,0.96643245
ERR720086,0.014138818,0.003166765,0.0048511922,0.023121178,0.95472205
ERR209693,0.43015844,0.010853916,0.000988692,0.0025221705,0.5554768
SRR3400426,0.9362031,0.002642125,0.004068166,0.04153028,0.015556335
ERR720147,0.050354123,0.0026903749,0.0010637641,0.007687241,0.9382045
SRR5079011,0.03420371,0.001221776,0.00046539307,0.004409164,0.9597
ERR719643,0.024273723,0.001873076,0.0010505319,0.008818001,0.96398467
SRR6264544,0.023923635,0.0016077459,0.0006760061,0.007887989,0.9659046
SRR5648965,0.01909101,0.0018679798,0.00082439184,0.011270523,0.9669461
SRR5202948,0.013760358,0.0024002492,0.0011493564,0.019094378,0.9635956
ERR719821,0.019915223,0.0037327409,0.005272478,0.055938095,0.91514146
SRR6265456,0.1117208,0.004116535,0.00080287457,0.003606379,0.8797534
SRR5757816,0.043304622,0.00702855,0.07686457,0.59119594,0.28160632
ERR209465,0.013576299,0.0025060475,0.0014348626,0.018820345,0.96366245
SRR5601964,0.01303944,0.0032945573,0.002892822,0.036043495,0.9447297
SRR5602016,0.5745486,0.010778785,0.0017509758,0.0077792406,0.40514243
SRR5761756,0.024409086,0.0019300878,0.0010449588,0.009305924,0.96330994
ERR1637219,0.8154699,0.014255834,0.02067092,0.14960334,0.0
ERR526023,0.26165834,0.007294357,0.0005328655,0.0008676648,0.7296468
SRR5429096,0.23440188,0.0055603683,0.56232554,0.07555744,0.12215471
SRR5757991,0.06186247,0.009835362,0.07508731,0.5308942,0.32232064
SRR5580504,0.041704416,0.0042532384,0.011270016,0.13468778,0.80808455
SRR5580641,0.012701064,0.0026041865,0.0013873875,0.020990849,0.9623165
SRR6182428,0.4788273,0.0031723976,0.0032288432,0.024075031,0.49069643
SRR5091537,0.47613737,0.0013946295,0.0026501417,0.052818805,0.46699905
SRR5218366,0.07843608,0.0006658733,0.0010181665,0.012438089,0.9074418
ERR209323,0.07571322,0.002188325,0.0006698072,0.006028831,0.9153998
SRR5078767,0.037073195,0.0011515617,0.00042966008,0.0038664043,0.9574792
SRR7423252,0.864815,0.0032304525,0.004619509,0.039397538,0.087937534
SRR7507450,0.8718723,0.0034944415,0.0046480596,0.03400761,0.085977614
SRR5983472,0.7754595,0.0014210939,0.0035419762,0.049878985,0.16969848
SRR5758174,0.012322664,0.0025603473,0.0012607276,0.022484183,0.9613721
