,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic diseases:Irritable Bowel Syndrome,"root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases:Colitis, Ulcerative",root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases:Crohn Disease,Unknown
ERR209762,0.0053313375,0.017684639,0.0049940348,0.97199
SRR961737,0.0055542886,0.010014772,0.0045966804,0.97983426
ERR209132,0.011848092,0.027200669,0.011629909,0.9493213
SRR5495972,0.043336123,0.023961842,0.03983441,0.8928676
SRR5648888,0.005760908,0.009201199,0.004598677,0.9804392
SRR5866284,0.012472659,0.013457626,0.009895593,0.96417415
SRR5399234,0.0082683265,0.0082576275,0.006211072,0.977263
SRR5399237,0.0050866306,0.90720177,0.03167671,0.056034863
SRR5983412,0.09425154,0.35395777,0.12608811,0.42570257
ERR209412,0.008970082,0.015424043,0.009016126,0.96658975
SRR5079174,0.0023100376,0.10263425,0.027583063,0.86747265
ERR525914,0.0056670904,0.008896083,0.0044118166,0.981025
SRR1999154,0.0056673586,0.00889495,0.004411429,0.9810263
SRR5079166,0.005659461,0.008926511,0.0044240057,0.98099005
SRR6182360,0.006124854,0.010120422,0.005116433,0.9786383
SRR6251482,0.47799522,0.04068145,0.2476753,0.23364806
SRR5078869,0.0066356957,0.6632171,0.022381067,0.30776608
SRR5803659,0.0056661367,0.008900851,0.0044133365,0.9810197
SRR6265396,0.0056608915,0.008929342,0.004422754,0.980987
SRR5078585,0.005660981,0.008921951,0.004421711,0.98099536
SRR5548739,0.0056673586,0.00889495,0.004411429,0.9810263
SRR6264793,0.0056610405,0.008940488,0.00443241,0.9809661
SRR6683695,0.0052625835,0.056665927,0.012039006,0.9260325
SRR5648933,0.0052043796,0.011128008,0.0052506626,0.9784169
SRR6182413,0.005664617,0.008906782,0.004416287,0.98101234
SRR6724522,0.0056673586,0.00889495,0.004411429,0.9810263
SRR1693225,0.60813576,0.044850938,0.3470133,0.0
SRR6901784,0.005673945,0.00897488,0.0044539273,0.98089725
ERR209405,0.038669705,0.019886523,0.027836144,0.9136076
ERR209349,0.05417508,0.113811046,0.0742313,0.7577826
ERR209492,0.02540186,0.021353155,0.020647079,0.9325979
SRR5802255,0.009166449,0.0090532005,0.00670743,0.9750729
ERR718998,0.005979955,0.009163588,0.004739225,0.9801172
SRR7507688,0.0060168803,0.009250224,0.004904419,0.9798285
SRR6724500,0.0077154934,0.014767289,0.0069696605,0.97054756
SRR5602015,0.0056759417,0.008893013,0.004418224,0.9810128
SRR1765912,0.012376457,0.009304106,0.008100629,0.9702188
SRR5648952,0.007324189,0.03648585,0.011414647,0.94477534
ERR321575,0.023694426,0.011536598,0.015521109,0.94924784
SRR6265066,0.005667299,0.008895099,0.004411489,0.9810261
SRR5802230,0.0056702793,0.008894533,0.0044139326,0.9810213
ERR720086,0.00768739,0.009577572,0.0059754252,0.9767596
ERR209693,0.014836252,0.06294471,0.024182856,0.8980362
SRR3400426,0.0056673586,0.00889495,0.004411429,0.9810263
ERR720147,0.022023141,0.017681181,0.016553104,0.9437426
SRR5079011,0.005636841,0.009019911,0.0044606924,0.9808825
ERR719643,0.013161123,0.009440988,0.009571731,0.9678261
SRR6264544,0.0071338713,0.009347618,0.005733907,0.97778463
SRR5648965,0.0056661963,0.008900017,0.0044133067,0.98102045
SRR5202948,0.005670041,0.008911282,0.004422307,0.9809964
ERR719821,0.009431124,0.022658557,0.010605276,0.9573051
SRR6265456,0.0061986446,0.00933966,0.0049577355,0.979504
SRR5757816,0.018717825,0.04026416,0.023878425,0.9171396
ERR209465,0.006256193,0.014640927,0.0060380697,0.9730648
SRR5601964,0.01583752,0.013366401,0.012092799,0.9587033
SRR5602016,0.0057640076,0.008915007,0.0044969916,0.980824
SRR5761756,0.035142124,0.011738867,0.01979044,0.93332857
ERR1637219,0.28380114,0.019824922,0.16316971,0.5332042
ERR526023,0.0022593737,0.11442071,0.028250635,0.8550693
SRR5429096,0.0059125125,0.009052366,0.004627794,0.98040736
SRR5757991,0.015859097,0.026910573,0.017792374,0.939438
SRR5580504,0.030056566,0.044178993,0.03324288,0.89252156
SRR5580641,0.008413166,0.00992915,0.00652346,0.97513425
SRR6182428,0.0077890456,0.017332613,0.008220971,0.9666574
SRR5091537,0.026472807,0.16188097,0.036422074,0.77522415
SRR5218366,0.0022328198,0.4978763,0.031778306,0.4681126
ERR209323,0.0059770346,0.15133634,0.006472379,0.83621424
SRR5078767,0.005666882,0.008897483,0.0044123232,0.9810233
SRR7423252,0.0515306,0.03982708,0.036094934,0.8725474
SRR7507450,0.0631457,0.11875844,0.081908226,0.73618764
SRR5983472,0.0028900802,0.070314884,0.01800409,0.90879095
SRR5758174,0.0056886375,0.008885294,0.0044266284,0.98099947
SRR5650061,0.058400452,0.10070771,0.086535215,0.7543566
SRR5903353,0.013497204,0.013634592,0.010186821,0.9626814
SRR5602062,0.009182304,0.01355055,0.007814348,0.9694528
SRR5580419,0.028878301,0.022106618,0.022545964,0.9264691
SRR1763600,0.27589935,0.06646639,0.17225313,0.48538113
ERR525882,0.005620569,0.009122908,0.0044912696,0.9807652
SRR5947832,0.016223937,0.03137684,0.019518495,0.93288076
ERR719722,0.03617844,0.02785799,0.032104462,0.90385914
SRR7690157,0.0054942966,0.010877252,0.0047016144,0.97892684
SRR6264100,0.0061288774,0.009650558,0.0050580204,0.9791626
SRR5078581,0.006095469,0.018764883,0.007900238,0.9672394
SRR5079151,0.005656302,0.008939385,0.004429072,0.9809753
SRR6474243,0.05699879,0.06894371,0.06541473,0.80864275
SRR1999202,0.006233901,0.008716673,0.004812032,0.98023736
ERR719996,0.012033552,0.013168931,0.00966844,0.9651291
SRR5580652,0.013529718,0.05767533,0.022544593,0.90625036
SRR6265001,0.005380392,0.010175645,0.004906237,0.9795377
SRR7464971,0.003139913,0.041686684,0.014689505,0.9404839
SRR6182450,0.019638121,0.011430651,0.013325661,0.95560557
SRR5813434,0.0048912764,0.019448638,0.0058983862,0.9697617
SRR5429198,0.008670241,0.0084989965,0.0065561235,0.9762746
SRR5803631,0.005654663,0.008946866,0.0044317245,0.98096675
ERR634980,0.004953891,0.028506815,0.007587701,0.9589516
SRR5757800,0.038947493,0.056123137,0.058755428,0.84617394
SRR6264057,0.0056248307,0.009072095,0.004480779,0.9808223
SRR5343126,0.005666852,0.008898109,0.0044128597,0.9810222
