,root:Engineered,root:Environmental,root:Host-associated,Unknown
ERR308962,0.0070017427,0.008023592,0.9849746,0.0
ERR308648,0.0070016864,0.008023359,0.984975,0.0
ERR309433,0.007001745,0.00802327,0.984975,0.0
ERR309477,0.0070017446,0.008023446,0.98497486,0.0
ERR309563,0.0070017437,0.008023504,0.98497474,0.0
ERR308877,0.007001772,0.008023857,0.9849744,0.0
ERR309606,0.0070018293,0.008024032,0.98497415,0.0
ERR309500,0.007001745,0.008023329,0.984975,0.0
ERR309078,0.007001745,0.008023299,0.984975,0.0
ERR308761,0.0070017427,0.008023592,0.9849746,0.0
ERR308328,0.007001772,0.008023798,0.98497444,0.0
ERR309089,0.0070023346,0.00802922,0.9849685,0.0
ERR308324,0.007001802,0.008023769,0.9849745,0.0
ERR309284,0.0070017437,0.008023534,0.98497474,0.0
ERR309382,0.007001745,0.008023329,0.984975,0.0
ERR308270,0.0070016864,0.008023359,0.984975,0.0
ERR308927,0.007001772,0.008023886,0.9849744,0.0
ERR309802,0.007001745,0.008023329,0.984975,0.0
ERR308396,0.0070023057,0.008028808,0.98496884,0.0
ERR309632,0.0070017446,0.008023358,0.98497486,0.0
ERR308905,0.007001972,0.008024969,0.984973,0.0
ERR309317,0.007001745,0.008023329,0.984975,0.0
ERR309739,0.0070018033,0.008023535,0.98497474,0.0
ERR308406,0.0070017446,0.008023387,0.98497486,0.0
ERR309138,0.007001799,0.008024326,0.9849739,0.0
ERR309027,0.007001799,0.008024326,0.98497385,0.0
ERR309585,0.007001972,0.008025028,0.984973,0.0
ERR308590,0.0070016864,0.008023359,0.984975,0.0
ERR308338,0.007001802,0.00802368,0.9849745,0.0
ERR308395,0.0070016864,0.008023359,0.984975,0.0
ERR309771,0.007001772,0.008023709,0.9849745,0.0
ERR309110,0.007001745,0.008023329,0.984975,0.0
ERR309299,0.0070016864,0.008023359,0.984975,0.0
ERR308516,0.007001745,0.00802327,0.984975,0.0
ERR309101,0.007001745,0.008023329,0.984975,0.0
ERR308370,0.007001745,0.008023329,0.984975,0.0
ERR308528,0.007001687,0.0080233,0.9849751,0.0
ERR308287,0.0070018293,0.008024061,0.98497415,0.0
ERR309253,0.007001745,0.008023329,0.984975,0.0
ERR308669,0.007001745,0.008023329,0.984975,0.0
ERR308363,0.0070017446,0.008023417,0.9849748,0.0
ERR308504,0.007001687,0.0080233,0.9849751,0.0
ERR309833,0.007001745,0.008023329,0.984975,0.0
ERR309759,0.007001773,0.008023622,0.9849746,0.0
ERR309144,0.0070018293,0.008024032,0.98497415,0.0
ERR309167,0.007001745,0.008023299,0.984975,0.0
ERR309612,0.0070018866,0.008024354,0.9849738,0.0
ERR309774,0.007001715,0.008023505,0.98497474,0.0
ERR1599546,0.007001773,0.008023504,0.98497474,0.0
ERR1598740,0.007001745,0.008023329,0.984975,0.0
ERR1599203,0.0070018605,0.00802368,0.9849745,0.0
ERR1598735,0.007001687,0.0080233,0.9849751,0.0
ERR1598178,0.007001745,0.008023329,0.984975,0.0
ERR1598105,0.007001774,0.008023446,0.9849748,0.0
ERR1599291,0.0070017157,0.008023388,0.9849749,0.0
ERR1599096,0.007001745,0.008023329,0.984975,0.0
ERR1599617,0.007001745,0.00802327,0.984975,0.0
ERR1599604,0.007001745,0.008023329,0.984975,0.0
ERR1599097,0.007001745,0.00802327,0.984975,0.0
ERR1599031,0.007001745,0.00802327,0.984975,0.0
ERR1598470,0.007001745,0.008023329,0.984975,0.0
ERR1598074,0.007001745,0.008023329,0.984975,0.0
ERR1598513,0.007001745,0.008023329,0.984975,0.0
ERR1599277,0.0070018596,0.008023856,0.9849743,0.0
ERR1599553,0.007001745,0.008023329,0.984975,0.0
ERR1599342,0.007001745,0.008023329,0.984975,0.0
ERR1598259,0.007001745,0.008023329,0.984975,0.0
ERR1599356,0.007001745,0.008023329,0.984975,0.0
ERR1598406,0.007001745,0.008023329,0.984975,0.0
ERR1598280,0.007001745,0.008023329,0.984975,0.0
