,root:Engineered,root:Environmental,root:Host-associated,Unknown
ERR308962,0.00010229086,0.00027891982,0.9996187,0.0
ERR308648,0.00010226424,0.00027880067,0.99961895,0.0
ERR309433,0.000102178186,0.0002782942,0.99961954,0.0
ERR309477,0.00010221054,0.000278473,0.9996193,0.0
ERR309563,0.00010223167,0.00027862188,0.99961907,0.0
ERR308877,0.00010223889,0.0002786815,0.99961907,0.0
ERR309606,0.0001021847,0.00027835378,0.9996194,0.0
ERR309500,0.00010217848,0.0002783538,0.9996194,0.0
ERR309078,0.000102375045,0.00027945606,0.9996181,0.0
ERR308761,0.00010227622,0.00027889002,0.9996188,0.0
ERR308328,0.00010222174,0.00027859214,0.9996192,0.0
ERR309089,0.00010282519,0.0002819883,0.99961513,0.0
ERR308324,0.00010218278,0.00027835384,0.9996195,0.0
ERR309284,0.00010235749,0.0002793071,0.9996183,0.0
ERR309382,0.00010218774,0.00027841338,0.9996194,0.0
ERR308270,0.000102188715,0.0002783836,0.9996194,0.0
ERR308927,0.000103539394,0.00028550366,0.9996109,0.0
ERR309802,0.00010216991,0.00027817505,0.99961966,0.0
ERR308396,0.0001022079,0.00027847296,0.9996193,0.0
ERR309632,0.000102245125,0.00027877087,0.99961895,0.0
ERR308905,0.00010224622,0.00027859214,0.9996191,0.0
ERR309317,0.00010224827,0.0002786517,0.9996191,0.0
ERR309739,0.00010217438,0.0002782942,0.9996195,0.0
ERR308406,0.00010222008,0.00027850273,0.99961925,0.0
ERR309138,0.00010220176,0.00027841335,0.9996193,0.0
ERR309027,0.00010218715,0.000278324,0.9996194,0.0
ERR309585,0.00010337446,0.00028490784,0.99961174,0.0
ERR308590,0.0001021852,0.0002783836,0.9996194,0.0
ERR308338,0.00010237895,0.00027945606,0.9996181,0.0
ERR308395,0.0001025108,0.00028011145,0.99961734,0.0
ERR309771,0.000102315535,0.00027912835,0.9996186,0.0
ERR309110,0.0001022307,0.00027862188,0.99961907,0.0
ERR309299,0.000102321595,0.0002790092,0.9996186,0.0
ERR308516,0.00010218238,0.0002783538,0.9996194,0.0
ERR309101,0.00010217089,0.00027823466,0.9996196,0.0
ERR308370,0.00010216835,0.0002782942,0.99961954,0.0
ERR308528,0.00010262031,0.00028079664,0.9996165,0.0
ERR308287,0.00010218044,0.00027829423,0.99961954,0.0
ERR309253,0.00010216835,0.0002782942,0.99961954,0.0
ERR308669,0.000102191916,0.00027838355,0.99961936,0.0
ERR308363,0.000102192906,0.0002783836,0.9996194,0.0
ERR308504,0.00010227614,0.00027883047,0.9996189,0.0
ERR309833,0.000102168546,0.000278324,0.9996195,0.0
ERR309759,0.000102321086,0.00027906877,0.9996186,0.0
ERR309144,0.00010217732,0.00027823466,0.99961954,0.0
ERR309167,0.00010238637,0.00027951563,0.9996181,0.0
ERR309612,0.000102257225,0.0002787411,0.999619,0.0
ERR309774,0.000102282764,0.00027894962,0.9996187,0.0
ERR1599546,0.00010216864,0.0002782942,0.99961954,0.0
ERR1598740,0.00010216875,0.00027823466,0.9996196,0.0
ERR1599203,0.00010216836,0.00027823466,0.9996196,0.0
ERR1598735,0.00010216962,0.00027823466,0.9996196,0.0
ERR1598178,0.00010216835,0.00027823463,0.99961954,0.0
ERR1598105,0.00010216884,0.000278324,0.99961954,0.0
ERR1599291,0.000102170496,0.00027829423,0.99961954,0.0
ERR1599096,0.00010216835,0.0002782942,0.99961954,0.0
ERR1599617,0.00010216835,0.00027823463,0.99961954,0.0
ERR1599604,0.00010216835,0.0002782942,0.99961954,0.0
ERR1599097,0.000102168546,0.000278324,0.99961954,0.0
ERR1599031,0.0001022232,0.00027856234,0.99961925,0.0
ERR1598470,0.00010216835,0.00027823463,0.99961954,0.0
ERR1598074,0.00010217633,0.0002782942,0.99961954,0.0
ERR1598513,0.00010217779,0.0002782942,0.99961954,0.0
ERR1599277,0.00010216845,0.00027823466,0.9996196,0.0
ERR1599553,0.00010216835,0.0002782942,0.99961954,0.0
ERR1599342,0.000102184924,0.00027835384,0.9996195,0.0
ERR1598259,0.00010216913,0.00027823463,0.99961954,0.0
ERR1599356,0.00010216835,0.0002782942,0.99961954,0.0
ERR1598406,0.00010216913,0.0002782942,0.9996195,0.0
ERR1598280,0.00010216835,0.0002782942,0.99961954,0.0
ERR1598447,0.000102168546,0.00027823463,0.99961954,0.0
ERR1599169,0.00010217244,0.0002782942,0.99961954,0.0
ERR1598384,0.00010216835,0.00027823463,0.99961954,0.0
ERR1599370,0.00010217166,0.0002782942,0.99961954,0.0
ERR1598492,0.000102168546,0.00027823463,0.99961954,0.0
ERR1598694,0.000102170394,0.0002782942,0.99961954,0.0
ERR1598769,0.000102197286,0.0002783836,0.9996194,0.0
ERR1599076,0.00010220644,0.00027853253,0.9996192,0.0
ERR1599632,0.00010216942,0.0002782942,0.99961954,0.0
ERR1599095,0.00010216835,0.0002782942,0.99961954,0.0
ERR1598993,0.0001021703,0.0002782942,0.99961954,0.0
ERR1598602,0.00010217227,0.00027817508,0.99961966,0.0
ERR1598730,0.00010216835,0.0002782942,0.99961954,0.0
ERR1599039,0.00010216836,0.00027823466,0.9996196,0.0
ERR1598745,0.00010216835,0.0002782942,0.9996195,0.0
ERR1598211,0.00010216835,0.0002782942,0.99961954,0.0
ERR1599397,0.00010216835,0.0002782942,0.99961954,0.0
ERR1599225,0.00010216835,0.0002782942,0.99961954,0.0
ERR1598361,0.00010216835,0.0002782942,0.99961954,0.0
ERR1598226,0.00010216952,0.00027823463,0.99961954,0.0
ERR1598896,0.00010216835,0.0002782942,0.99961954,0.0
ERR1598396,0.00010216864,0.0002782942,0.99961954,0.0
ERR1598362,0.000102168546,0.000278324,0.9996195,0.0
ERR1599145,0.000102181686,0.00027835378,0.9996194,0.0
ERR1598101,0.00010216874,0.0002782942,0.99961954,0.0
ERR1599129,0.00010216836,0.00027823466,0.9996196,0.0
ERR1598525,0.00010217518,0.00027823466,0.9996196,0.0
ERR1598748,0.00010216913,0.0002782942,0.9996195,0.0
ERR1599122,0.00010216835,0.0002782942,0.99961954,0.0
ERR1598860,0.00010217614,0.00027823463,0.99961954,0.0
ERR1599611,0.00010216835,0.0002782942,0.99961954,0.0
ERR1598712,0.0001021737,0.00027835378,0.9996194,0.0
ERR1599015,0.00010216835,0.0002782942,0.99961954,0.0
ERR1598626,0.00010216875,0.00027817505,0.9996196,0.0
ERR1598324,0.00010216835,0.0002782942,0.99961954,0.0
ERR1599353,0.000102168546,0.000278324,0.9996195,0.0
ERR1599106,0.00010216913,0.0002782942,0.9996195,0.0
ERR1599143,0.00010216893,0.00027823463,0.99961954,0.0
ERR1599450,0.00010218686,0.0002783836,0.9996194,0.0
ERR1598454,0.00010217147,0.00027823466,0.9996196,0.0
ERR1598559,0.00010216855,0.00027823466,0.9996196,0.0
ERR1598589,0.000102187056,0.000278324,0.9996194,0.0
ERR1599574,0.00010216835,0.0002782942,0.9996195,0.0
ERR1598175,0.00010218666,0.0002783836,0.9996194,0.0
ERR1599334,0.00010216835,0.0002782942,0.99961954,0.0
ERR1598767,0.00010220088,0.00027844316,0.9996193,0.0
ERR1598699,0.000102168444,0.00027823463,0.99961954,0.0
ERR1598297,0.00010216835,0.0002782942,0.99961954,0.0
ERR1599418,0.00010217596,0.00027823466,0.99961954,0.0
ERR1598122,0.00010218035,0.00027829423,0.99961954,0.0
ERR1599575,0.00010216835,0.0002782942,0.99961954,0.0
ERR1599014,0.00010216835,0.0002782942,0.99961954,0.0
ERR1598128,0.00010216835,0.0002782942,0.99961954,0.0
ERR1599049,0.0001021784,0.00027826446,0.99961954,0.0
ERR1599396,0.000102168546,0.000278324,0.9996195,0.0
ERR1598407,0.00010216874,0.0002782942,0.99961954,0.0
ERR1598209,0.00010216875,0.00027817505,0.99961966,0.0
ERR1598753,0.00010216836,0.00027823466,0.9996196,0.0
ERR1598171,0.00010218238,0.000278324,0.9996194,0.0
ERR1599535,0.00010216893,0.00027823463,0.99961954,0.0
ERR1598157,0.00010217458,0.00027823463,0.99961954,0.0
ERR1598620,0.00010216981,0.000278324,0.99961954,0.0
ERR1598527,0.00010216835,0.0002782942,0.99961954,0.0
ERR1598956,0.00010216835,0.0002782942,0.99961954,0.0
