,root:Engineered:Food_production:Dairy_products,root:Environmental:Aquatic:Thermal_springs,root:Environmental:Terrestrial:Deep_subsurface,root:Environmental:Terrestrial:Soil,root:Host-associated:Birds:Digestive_system,root:Host-associated:Human:Digestive_system,root:Host-associated:Human:Reproductive_system,root:Host-associated:Human:Respiratory_system,root:Host-associated:Human:Skin,root:Host-associated:Mammals:Digestive_system,root:Host-associated:Mammals:Gastrointestinal_tract,root:Host-associated:Plants:Root,Unknown
ERR308962,1.6255375e-06,0.0005617939,0.00020112985,1.0487574e-06,8.18626e-05,0.00055548165,0.00028223684,0.00026478872,6.8029396e-05,0.9975449,0.00032719702,0.000109978675,0.0
ERR308648,1.6371592e-06,0.0005625931,0.00020273599,1.050291e-06,8.261726e-05,0.0005594072,0.0002772621,0.0002654713,6.8122434e-05,0.9975445,0.00032484205,0.00010972631,0.0
ERR309433,1.5683003e-06,0.0005548146,0.00020092787,1.0362284e-06,8.1097955e-05,0.0005599063,0.000275457,0.00026265334,6.8284746e-05,0.9975611,0.00032220516,0.00011079703,0.0
ERR309477,3.117268e-06,1.1716983e-05,6.2316503e-06,1.4548093e-06,6.393639e-06,0.54749656,0.00075909495,0.001311779,3.551451e-05,0.26449603,0.0016845167,3.8732534e-05,0.18414879
ERR309563,1.6191927e-06,0.00056087424,0.00020104172,1.0468511e-06,8.1786304e-05,0.0005567355,0.0002806902,0.00026425434,6.7972855e-05,0.997548,0.00032603776,0.00010997073,0.0
ERR308877,1.610625e-06,0.0005599841,0.00020056644,1.0454921e-06,8.155979e-05,0.0005556965,0.00028090022,0.00026395806,6.798335e-05,0.99755055,0.00032603956,0.000110030305,0.0
ERR309606,1.5680084e-06,0.00055472576,0.00020086848,1.035989e-06,8.1083635e-05,0.00055972807,0.00027536787,0.00026253445,6.827575e-05,0.9975619,0.00032217565,0.000110787616,0.0
ERR309500,1.5678742e-06,0.0005547854,0.00020086853,1.0361188e-06,8.1087834e-05,0.00055972824,0.00027539773,0.00026259405,6.829075e-05,0.9975617,0.0003221162,0.00011076884,0.0
ERR309078,1.572623e-06,0.00055543793,0.0002011058,1.0371252e-06,8.1214996e-05,0.0005601127,0.00027572399,0.00026309903,6.831127e-05,0.9975589,0.0003225911,0.00011082179,0.0
ERR308761,2.1852884e-06,0.0006199749,0.0002030167,1.1396901e-06,8.8878005e-05,0.0005490381,0.00033902598,0.00028547362,6.6091874e-05,0.99737537,0.0003640905,0.00010580192,0.0
ERR308328,1.7904624e-06,0.00058065815,0.00020010273,1.0813064e-06,8.378039e-05,0.0005457049,0.0003010026,0.00026991987,6.687286e-05,0.9975017,0.000340124,0.00010732172,0.0
ERR309089,3.5788087e-06,0.0006981486,0.00019606134,1.3956078e-06,0.000120578734,0.00056919694,0.00050976546,0.00033069728,7.9056124e-05,0.99685574,0.0005270562,0.000108742825,0.0
ERR308324,1.568362e-06,0.0005548147,0.00020089814,1.0360833e-06,8.109534e-05,0.0005597575,0.00027542727,0.00026259385,6.827864e-05,0.99756145,0.0003222648,0.000110800436,0.0
ERR309284,3.8394337e-06,0.00073661265,0.00024491278,1.3707663e-06,0.00011900785,0.0005605444,0.00030971112,0.0003379451,6.501216e-05,0.99715394,0.0003754615,9.154606e-05,0.0
ERR309382,1.5681028e-06,0.0005547258,0.00020086851,1.0359882e-06,8.108187e-05,0.00055963884,0.00027533813,0.00026256425,6.827251e-05,0.99756205,0.00032211613,0.000110774105,0.0
ERR308270,1.595633e-06,0.0005579019,0.0002017582,1.0416336e-06,8.171223e-05,0.0005598969,0.00027592876,0.00026378038,6.822078e-05,0.99755466,0.00032306323,0.00011039627,0.0
ERR308927,2.267437e-06,0.0006225629,0.0001995535,1.19157e-06,8.8266424e-05,0.00050784345,0.00037615717,0.00029138263,6.430584e-05,0.9973507,0.00039392768,0.000101900856,0.0
ERR309802,1.5679368e-06,0.0005547258,0.00020092806,1.0359527e-06,8.10777e-05,0.0005596984,0.00027533813,0.00026256425,6.827264e-05,0.99756193,0.00032211613,0.00011077537,0.0
ERR308396,1.6006647e-06,0.0005578453,0.00020071711,1.0436994e-06,8.157895e-05,0.0005566543,0.00028003924,0.0002631267,6.816294e-05,0.9975549,0.00032437505,0.00010994926,0.0
ERR309632,1.568984e-06,0.00055487413,0.0002008981,1.0361898e-06,8.110638e-05,0.00055978715,0.00027536764,0.00026265334,6.827602e-05,0.99756145,0.00032223493,0.00011077822,0.0
ERR308905,1.7655974e-06,0.00057768024,0.0002023057,1.0757028e-06,8.396251e-05,0.00055130164,0.00029567297,0.0002693241,6.7488356e-05,0.99750435,0.00033675935,0.00010841697,0.0
ERR309317,1.5682486e-06,0.0005547851,0.00020086841,1.0360421e-06,8.108756e-05,0.0005597279,0.00027542733,0.00026262368,6.827534e-05,0.9975616,0.00032223508,0.00011078652,0.0
ERR309739,1.5756716e-06,0.0005554984,0.00020107636,1.0375227e-06,8.119802e-05,0.0005597861,0.0002753671,0.00026324834,6.827459e-05,0.99756,0.00032223432,0.00011069712,0.0
ERR308406,1.6305078e-06,0.0005618531,0.00020166565,1.0488587e-06,8.218075e-05,0.0005576548,0.00027902095,0.00026475874,6.799082e-05,0.997547,0.00032544008,0.000109739514,0.0
ERR309138,1.8372098e-06,0.0005790284,0.0002049181,1.0620611e-06,8.647755e-05,0.0005778077,0.00028836797,0.00026815303,6.730807e-05,0.9974778,0.0003360919,0.0001111042,0.0
ERR309027,1.7994846e-06,0.0005770035,0.00020662563,1.0778137e-06,8.4851235e-05,0.00056286127,0.00027730706,0.00027977824,6.798108e-05,0.99750656,0.00032565865,0.00010850869,0.0
ERR309585,4.4260102e-07,0.00016236305,3.0028763e-05,6.935413e-06,4.5509776e-05,0.007000923,0.0018938482,0.0008366406,0.00018769503,0.96990883,5.3155145e-05,2.1562959e-05,0.019852042
ERR308590,1.7067838e-06,0.00055381586,0.0001894688,9.97926e-07,8.162542e-05,0.0006138754,0.000292496,0.0002570618,6.564699e-05,0.99748874,0.00033614857,0.00011839606,0.0
ERR308338,1.6940763e-06,0.0005691263,0.00020311688,1.0621225e-06,8.340107e-05,0.0005563235,0.00028276182,0.00026763673,6.7904504e-05,0.99752915,0.00032888143,0.00010899856,0.0
ERR308395,2.1287137e-06,0.00061263214,0.00020382373,1.1480298e-06,8.916308e-05,0.0005296381,0.00031956297,0.00028315632,6.5761225e-05,0.9974317,0.00035906554,0.00010220746,0.0
ERR309771,1.5733426e-06,0.0005554681,0.00020101662,1.0371399e-06,8.119601e-05,0.0005596367,0.00027563484,0.00026286102,6.8271336e-05,0.99756014,0.00032247222,0.00011073123,0.0
