,root:Host-associated:Birds:Digestive_system:Ceca,root:Host-associated:Human:Digestive_system:Large_intestine,root:Host-associated:Human:Digestive_system:Oral,root:Host-associated:Human:Reproductive_system:Female,root:Host-associated:Human:Reproductive_system:Vagina,root:Host-associated:Human:Respiratory_system:Nasopharyngeal,root:Host-associated:Mammals:Digestive_system:Fecal,root:Host-associated:Mammals:Digestive_system:Stomach,Unknown
ERR308851,0.026980327,0.046133988,0.0020272867,0.013001219,0.06715271,0.0028649415,0.7877959,0.054043602,0.0
ERR308648,0.027392741,0.044956654,0.0020017326,0.012418386,0.06836144,0.0028432992,0.7866159,0.055409823,0.0
ERR309242,0.027258009,0.04536297,0.002005049,0.012249838,0.06776191,0.0028660188,0.78703064,0.055465613,0.0
ERR309755,0.027410049,0.044914134,0.002000619,0.012441799,0.06858904,0.002834268,0.7865486,0.055261526,0.0
ERR308430,0.027339699,0.045094665,0.002003961,0.012402855,0.06821908,0.0028468065,0.7867232,0.055369813,0.0
ERR308406,0.027266774,0.045250665,0.0020126272,0.012602811,0.0680352,0.0028475556,0.78678817,0.05519622,0.0
ERR309001,0.027284991,0.045419604,0.0020002373,0.012348302,0.06814763,0.0028530287,0.7870112,0.054934893,0.0
ERR308287,0.027572548,0.046144202,0.0019538002,0.01241481,0.06935663,0.0029623234,0.7869438,0.05265197,0.0
ERR309522,0.027300622,0.04557725,0.0019935449,0.012397203,0.068301395,0.002845608,0.78732103,0.054263372,0.0
ERR309302,0.027332148,0.045163643,0.0020026944,0.012302919,0.06801087,0.0028582453,0.7868477,0.055481754,0.0
ERR309666,0.02732988,0.04515993,0.0020023342,0.012306108,0.06808966,0.0028553265,0.78686017,0.055396684,0.0
ERR308687,0.027355416,0.045086488,0.0020029459,0.012376294,0.06829944,0.0028465893,0.786729,0.055303793,0.0
ERR309022,0.027496167,0.045338158,0.001973562,0.012457013,0.06915589,0.0028091264,0.78749174,0.05327834,0.0
ERR309425,0.0016035438,0.97241354,0.0055550635,0.0032242239,0.0011063218,0.000121891804,0.0014385283,0.0013411343,0.013195753
ERR309626,0.027264122,0.045308232,0.0020037305,0.012298126,0.06787984,0.0028582592,0.78693575,0.05545193,0.0
ERR308365,0.027005909,0.04607989,0.0020160805,0.012299191,0.06709808,0.0028789197,0.7873952,0.055226672,0.0
ERR308620,0.027520167,0.044636045,0.001996347,0.012474574,0.06898276,0.0028254273,0.78633404,0.055230666,0.0
ERR309670,0.0273504,0.045264207,0.0020005712,0.012616414,0.06848197,0.0028328341,0.7870383,0.054415286,0.0
ERR308982,0.027224747,0.045417618,0.0020048479,0.012325322,0.06784422,0.0028565521,0.7869938,0.055332918,0.0
ERR308464,0.02738586,0.045018535,0.002000363,0.012331868,0.06824392,0.002851212,0.78672963,0.05543856,0.0
ERR308396,0.02711129,0.04593154,0.0020067953,0.012433007,0.06764604,0.0028592385,0.78749084,0.054521237,0.0
ERR309268,0.027357414,0.04505475,0.0020020069,0.012368349,0.06821272,0.0028479984,0.78671527,0.05544162,0.0
ERR308296,0.027381117,0.045013305,0.0020004588,0.012347094,0.068318136,0.0028476673,0.786728,0.055364158,0.0
ERR309541,0.0273997,0.044946052,0.0020038756,0.012486872,0.068517886,0.0028382668,0.78655577,0.05525158,0.0
ERR309061,0.027399179,0.04495458,0.0020019216,0.01241678,0.06838298,0.0028441772,0.7866152,0.05538512,0.0
ERR309367,0.0016035438,0.97241354,0.0055550635,0.0032242835,0.0011063218,0.00012189192,0.0014385283,0.0013411939,0.013195634
ERR308857,0.027389111,0.044960644,0.001998818,0.012355377,0.06835024,0.0028435516,0.78667706,0.055425167,0.0
ERR309331,0.027108409,0.046975125,0.0019794675,0.012738855,0.06808337,0.0028317333,0.7894261,0.050856985,0.0
ERR309817,0.027184274,0.0455595,0.0020073492,0.0122758355,0.06782028,0.0028571782,0.7869924,0.05530319,0.0
ERR309135,0.027392734,0.04495749,0.0019993996,0.012364686,0.068352915,0.0028434424,0.7866507,0.055438574,0.0
ERR309029,0.027444959,0.04485005,0.0019987084,0.01239394,0.06855245,0.0028404172,0.7865516,0.0553678,0.0
ERR309795,0.028902575,0.04963318,0.0016248829,0.01323878,0.0768918,0.0035472508,0.7885448,0.03761679,0.0
ERR309198,0.027322063,0.04511566,0.0020075494,0.012553217,0.068197854,0.0028444014,0.7867455,0.05521381,0.0
ERR309253,0.0016036034,0.9724136,0.0055550635,0.0032242239,0.0011063218,0.00012189192,0.0014385283,0.0013411641,0.013195634
ERR308643,0.027450288,0.044841707,0.0019993794,0.012410681,0.06856308,0.0028401911,0.7865173,0.05537739,0.0
ERR309742,0.027546221,0.044561643,0.0019956296,0.012496673,0.0690996,0.0028215898,0.78625524,0.05522331,0.0
ERR309323,0.027269388,0.045401543,0.0020072067,0.01223524,0.06749836,0.0028765884,0.78692037,0.05579133,0.0
ERR309298,0.04319707,0.028115997,0.0020653591,0.018620878,0.068582095,0.0032080535,0.71066207,0.12554851,0.0
ERR309349,0.027310895,0.045047127,0.0020024262,0.012463634,0.06805099,0.0028434887,0.7867669,0.055514563,0.0
ERR309373,0.027488245,0.0447189,0.0019972522,0.012443879,0.068824895,0.0028307596,0.7864269,0.055269267,0.0
ERR308496,0.02725351,0.045366313,0.0020049466,0.0124529805,0.068033345,0.0028475297,0.7869923,0.055049013,0.0
ERR1598458,0.0016036034,0.9724132,0.005555123,0.0032242239,0.0011063218,0.00012189261,0.0014385283,0.0013411641,0.013195932
ERR1598797,0.001603663,0.9724133,0.005555123,0.0032242239,0.0011063516,0.00012189226,0.0014385283,0.0013411641,0.013195753
ERR1599539,0.0016036034,0.97241366,0.0055550635,0.0032242239,0.0011063218,0.000121891804,0.0014385283,0.0013411939,0.013195515
ERR1598681,0.001603961,0.9724097,0.0055552423,0.0032243729,0.00110659,0.000121894474,0.0014386177,0.0013414919,0.013198078
ERR1598244,0.0016036034,0.9724136,0.0055550635,0.0032242239,0.0011063218,0.00012189192,0.0014385283,0.0013411641,0.013195634
ERR1599515,0.0016057193,0.97237533,0.0055557787,0.0032290816,0.0011081398,0.000121841826,0.0014402568,0.0013422966,0.013221562
ERR1599036,0.001603663,0.9724126,0.0055551827,0.0032242239,0.0011063814,0.00012189261,0.0014385283,0.0013411641,0.013196349
ERR1599289,0.0016037524,0.9724121,0.005555153,0.0032242239,0.0011063814,0.00012189366,0.0014385283,0.0013411939,0.013196766
