,root:Engineered:Food_production:Dairy_products,root:Environmental:Aquatic:Thermal_springs,root:Environmental:Terrestrial:Deep_subsurface,root:Environmental:Terrestrial:Soil,root:Host-associated:Birds:Digestive_system,root:Host-associated:Human:Digestive_system,root:Host-associated:Human:Reproductive_system,root:Host-associated:Human:Respiratory_system,root:Host-associated:Human:Skin,root:Host-associated:Mammals:Digestive_system,root:Host-associated:Mammals:Gastrointestinal_tract,root:Host-associated:Plants:Root,Unknown
ERR309477,0.0006563727,0.0017701456,0.0025002828,0.0003261316,0.0023518074,0.0020917242,0.0005157615,2.9720375e-05,0.0065699653,0.97789353,0.004653798,0.0006407919,0.0
ERR309611,0.0006615932,0.0019116014,0.0025876348,0.00033168434,0.0024141138,0.0023238026,0.00053186674,3.1180858e-05,0.0061545214,0.9776649,0.0047392775,0.0006478038,0.0
ERR309166,0.00065599935,0.0017663045,0.0024933002,0.0003250575,0.0023435897,0.0020831712,0.0005160173,2.9722765e-05,0.006554109,0.977961,0.0046357284,0.0006358921,0.0
ERR308284,0.00065594044,0.0017663051,0.0024932122,0.0003250872,0.0023435906,0.0020831127,0.00051607663,2.972255e-05,0.0065540224,0.9779613,0.0046357303,0.0006359219,0.0
ERR308925,0.0006559107,0.0017663046,0.0024932413,0.0003250871,0.0023436493,0.0020831714,0.00051604694,2.9722629e-05,0.006554051,0.9779612,0.0046356996,0.00063589215,0.0
ERR308348,0.00065599923,0.0017663634,0.0024933293,0.00032508702,0.0023435894,0.0020831414,0.0005160764,2.9723104e-05,0.0065543153,0.97796077,0.004635669,0.00063592155,0.0
ERR308691,0.0006559403,0.0017663048,0.002493212,0.00032508714,0.0023435904,0.0020831125,0.00051610614,2.9722547e-05,0.0065541104,0.97796124,0.0046356115,0.0006358922,0.0
ERR308752,0.00065599824,0.0017663903,0.0024933552,0.00032505696,0.002343645,0.002083345,0.000516046,2.9723426e-05,0.0065542166,0.9779602,0.004636046,0.0006360093,0.0
ERR308789,0.0006560199,0.0017667237,0.0024939165,0.00032520088,0.002344208,0.002083941,0.0005160989,2.9724031e-05,0.0065561775,0.97795427,0.004637232,0.0006364156,0.0
ERR308673,0.0006560564,0.0017664466,0.0024934104,0.0003251156,0.0023437005,0.0020834603,0.00051613396,2.9724484e-05,0.00655533,0.977958,0.0046365713,0.00063597877,0.0
