,root:Host-associated:Human:Digestive_system:Large_intestine:Fecal,root:Host-associated:Human:Digestive_system:Oral:Saliva,root:Host-associated:Human:Respiratory_system:Nasopharyngeal:Pharynx,root:Host-associated:Mammals:Digestive_system:Stomach:Rumen,Unknown
ERR309477,0.01492998,0.0013622344,0.0050976276,0.0051973164,0.9734129
ERR309611,0.022105932,0.0020636916,0.0042893887,0.0039173663,0.9676236
ERR309166,0.014993072,0.0013557374,0.005078912,0.0051734746,0.9733988
ERR308284,0.014995128,0.0013555586,0.005080253,0.0051725507,0.97339654
ERR308925,0.015026063,0.001349926,0.0052800477,0.0051474273,0.9731965
ERR308348,0.014991134,0.001355797,0.0050843954,0.0051737726,0.9733949
ERR308691,0.015007943,0.0013535023,0.0051428378,0.005163431,0.9733323
ERR308752,0.014951259,0.0013574064,0.0051899254,0.0051819086,0.97331953
ERR308789,0.014965355,0.0013580024,0.0050882995,0.0051834583,0.9734049
ERR308673,0.01499328,0.0013549626,0.0051319003,0.0051697195,0.97335017
ERR309115,0.01492703,0.0013602972,0.0051333904,0.005194932,0.9733844
ERR309302,0.015006155,0.0013538301,0.0051312447,0.0051648915,0.97334385
ERR308343,0.014989734,0.0013558865,0.0050882995,0.005174011,0.97339207
ERR308708,0.01499325,0.0013557076,0.005080372,0.005173266,0.9733974
ERR309107,0.014995486,0.0013555288,0.005083859,0.0051721632,0.97339296
ERR308758,0.015126407,0.0013327599,0.0059113503,0.005071193,0.97255826
ERR309713,0.014931738,0.0013592541,0.0051927865,0.0051893294,0.9733269
ERR308566,0.014995456,0.001355499,0.0050795376,0.0051724613,0.973397
ERR309751,0.014938176,0.0013592839,0.0051428676,0.0051900446,0.9733696
ERR308669,0.014995515,0.0013556182,0.0050781965,0.0051725805,0.9733981
ERR308593,0.014995247,0.0013555586,0.005078256,0.00517267,0.97339827
ERR308515,0.014992267,0.001355797,0.0050794184,0.0051736534,0.97339886
ERR309817,0.014986634,0.0013565123,0.0050807893,0.005175948,0.9734001
ERR309080,0.014847219,0.0013673902,0.0051437616,0.005225569,0.9734161
ERR309486,0.014989585,0.0013559163,0.0050910115,0.0051739216,0.97338957
ERR309129,0.0150052905,0.0013606846,0.005080968,0.0051724315,0.9733806
ERR309084,0.014985204,0.0013563037,0.005084425,0.0051760674,0.973398
ERR309503,0.015543908,0.0014260113,0.0050111413,0.005048573,0.97297037
ERR308818,0.016531557,0.001534611,0.00488773,0.0048318505,0.9722142
ERR308935,0.0149953365,0.0013555586,0.005079776,0.005172521,0.9733968
ERR309783,0.014989585,0.0013568699,0.0050804317,0.0051751435,0.973398
ERR308911,0.014927268,0.0013611913,0.00512293,0.005196035,0.9733926
ERR308908,0.014917403,0.0013589561,0.005278498,0.005189121,0.973256
ERR309746,0.014995098,0.0013555586,0.005078703,0.00517267,0.973398
ERR309700,0.01499185,0.001355797,0.0050804317,0.005173713,0.9733982
ERR309073,0.014997572,0.0013552308,0.005087793,0.0051710904,0.9733883
ERR309303,0.01481542,0.0013731718,0.0051324368,0.0052407086,0.97343826
ERR308999,0.9712821,0.00780952,0.00018715858,0.008894056,0.011827111
ERR309432,0.014981538,0.0013563931,0.005098343,0.005176544,0.9733872
ERR309048,0.014951199,0.0013591349,0.005090505,0.005188763,0.97341037
ERR308781,0.014993161,0.0013557076,0.0050810277,0.0051732957,0.9733968
ERR309207,0.68587434,0.0031089485,0.00041034818,0.007605225,0.30300117
ERR309314,0.014992386,0.001355797,0.0050798953,0.005173683,0.9733982
ERR309536,0.015041441,0.0013483167,0.0053016543,0.005140245,0.9731684
ERR308397,0.014988065,0.0013561249,0.005083859,0.0051750243,0.9733969
ERR308575,0.014962554,0.0013584197,0.0050942004,0.0051843226,0.9734005
ERR308590,0.015010148,0.0013532639,0.0051490963,0.0051621497,0.9733254
ERR308354,0.015011579,0.001352936,0.0051600635,0.005160928,0.9733145
ERR308942,0.014946282,0.0013605654,0.005097151,0.0051909387,0.97340506
ERR308790,0.014929742,0.0013603866,0.0051124096,0.005195439,0.973402
ERR308326,0.014976174,0.0013569891,0.0050901175,0.005179107,0.9733976
ERR308449,0.014998227,0.001360625,0.0050815046,0.0051746666,0.973385
ERR308629,0.01649338,0.0015026033,0.0048710406,0.0048148334,0.9723182
ERR309798,0.014909118,0.0013601482,0.0052731633,0.0051929355,0.97326463
