,root:Host-associated:Birds:Digestive_system:Ceca,root:Host-associated:Human:Digestive_system:Large_intestine,root:Host-associated:Human:Digestive_system:Oral,root:Host-associated:Human:Reproductive_system:Female,root:Host-associated:Human:Reproductive_system:Vagina,root:Host-associated:Human:Respiratory_system:Nasopharyngeal,root:Host-associated:Mammals:Digestive_system:Fecal,root:Host-associated:Mammals:Digestive_system:Stomach,Unknown
ERR309477,0.0040584505,0.005986333,0.00021338463,0.0016425848,0.0005428791,0.00017130375,0.97625446,3.0622137e-05,0.011099935
ERR309611,0.0033818781,0.0041033328,0.00021451712,0.0013687909,0.0005798638,0.00017777085,0.9833108,3.5118297e-05,0.006827891
ERR309166,0.0033606887,0.00470224,0.00021010637,0.0013936162,0.0005248785,0.00017338991,0.98055387,3.466245e-05,0.009046555
ERR308284,0.0032356977,0.003898561,0.00021490455,0.0012868345,0.0005606413,0.00017535686,0.98486435,3.649845e-05,0.0057271123
ERR308925,0.002676934,0.0033446252,0.0002297461,0.0013804436,0.0006404817,0.00017932057,0.9787891,3.9140323e-05,0.012720227
ERR308348,0.0033051372,0.0038685203,0.0002168715,0.0012867451,0.0005584061,0.00017750263,0.9846846,3.5895675e-05,0.0058663487
ERR308691,0.0032927692,0.0039007962,0.00021755695,0.0012760162,0.0005836487,0.0001757145,0.9849485,3.6371694e-05,0.005568564
ERR308752,0.003258884,0.0037808716,0.00022095442,0.0012919605,0.00060787797,0.00017887354,0.98383725,3.616734e-05,0.006787181
ERR308789,0.0033136308,0.003922999,0.0002167821,0.0012948513,0.0005864203,0.00017917156,0.9836322,3.575798e-05,0.0068181753
ERR308673,0.0032291412,0.0038086772,0.00022304058,0.0012756288,0.0006455481,0.00017508864,0.98439217,3.6967373e-05,0.006213784
ERR309115,0.0031798184,0.0037742257,0.00022169948,0.0012935996,0.0006277561,0.00017592311,0.9839762,3.719483e-05,0.006713629
ERR309302,0.0032551289,0.0038875937,0.00021639466,0.0012846887,0.0005760491,0.00017568469,0.9847739,3.6459558e-05,0.0057941675
ERR308343,0.0033143759,0.0039342344,0.00021675229,0.0012815297,0.00057274103,0.00017598271,0.9848447,3.6167272e-05,0.005623579
ERR308708,0.0033296645,0.0040727854,0.00021791458,0.0013351738,0.0005745292,0.00017490983,0.98431253,3.7463393e-05,0.0059449673
