,root:Host-associated:Human:Digestive_system:Large_intestine:Fecal,root:Host-associated:Human:Digestive_system:Oral:Saliva,root:Host-associated:Human:Respiratory_system:Nasopharyngeal:Pharynx,root:Host-associated:Mammals:Digestive_system:Stomach:Rumen,Unknown
ERR309477,0.019760907,0.00012159121,0.00019329786,9.643369e-06,0.97991455
ERR309611,0.00066256523,6.095587e-05,0.00020727515,9.135126e-05,0.99897784
ERR309166,0.0009024441,6.51186e-05,0.00018376112,4.633768e-05,0.99880236
ERR308284,0.00046479702,5.2147865e-05,0.00014770031,7.141499e-05,0.99926394
ERR308925,0.0066435635,0.00019174814,0.00028076768,3.0201312e-05,0.9928537
ERR308348,0.00048673153,5.2565636e-05,0.0001539886,7.303872e-05,0.99923366
ERR308691,0.00056910515,5.0536455e-05,0.00018051267,0.000106972104,0.9990929
ERR308752,0.0013056993,0.00056543946,0.00033548474,7.957426e-05,0.9977138
ERR308789,0.0032708943,9.7716096e-05,0.0002219975,2.5180629e-05,0.9963842
ERR308673,0.0010733306,0.00014525652,0.00036266446,6.320094e-05,0.99835557
ERR309115,0.0010666251,0.00012561679,0.0003668368,9.67377e-05,0.9983442
ERR309302,0.0010586381,0.00015306473,0.00035730004,5.1248597e-05,0.99837977
ERR308343,0.00055652857,5.2583888e-05,0.00017496943,9.039348e-05,0.99912554
ERR308708,0.0006284416,6.6244065e-05,0.00019419193,5.9431954e-05,0.9990517
ERR309107,0.0007125735,7.776347e-05,0.00022286177,5.5650733e-05,0.99893117
ERR308758,0.0016736984,0.00029671192,0.00029486418,7.186975e-05,0.99766284
ERR309713,0.000662446,6.4761625e-05,0.00020766258,7.766276e-05,0.9989875
ERR308566,0.009444535,0.00027406216,0.00040328503,6.871784e-07,0.9898774
ERR309751,0.0018208027,0.00010525873,0.00025755167,2.2998438e-05,0.9977934
ERR308669,0.0006676316,7.0552895e-05,0.00021538138,6.739547e-05,0.99897903
ERR308593,0.0025055408,6.6345536e-05,0.00015255809,3.7807524e-05,0.99723774
ERR308515,0.000585109,5.944516e-05,0.00018170476,6.951812e-05,0.9991042
ERR309817,0.0007947087,9.4028146e-05,0.00025850534,5.2296877e-05,0.99880046
ERR309080,0.0010502338,8.0479396e-05,0.00024423003,6.5617125e-05,0.9985594
