,root:Host-associated:Human:Digestive_system:Large_intestine:Fecal,root:Host-associated:Human:Digestive_system:Oral:Saliva,root:Host-associated:Human:Respiratory_system:Nasopharyngeal:Pharynx,root:Host-associated:Mammals:Digestive_system:Stomach:Rumen,Unknown
ERR308962,0.019934595,0.002747953,0.004313737,0.0090866685,0.963917
ERR308648,0.019941479,0.0027307868,0.0042898655,0.00909403,0.96394384
ERR309433,0.01993221,0.002727598,0.0042854846,0.009102374,0.9639523
ERR309477,0.020494252,0.0028717816,0.0042929053,0.008849353,0.9634917
ERR309563,0.019939542,0.002732098,0.0042916834,0.0090943575,0.9639423
ERR308877,0.01989451,0.0027732253,0.00434947,0.009095639,0.96388716
ERR309606,0.019856364,0.0028045177,0.004393786,0.009099454,0.96384585
ERR309500,0.019949168,0.002716124,0.0042693615,0.009099215,0.96396613
ERR309078,0.019921929,0.0027397573,0.004302472,0.009100676,0.96393514
ERR308761,0.019861668,0.00279364,0.004378587,0.009103358,0.9638628
ERR308328,0.019926816,0.0027580857,0.004327923,0.009084761,0.9639024
ERR309089,0.19708622,0.028813064,0.0011971593,0.0017919242,0.7711116
ERR308324,0.020146191,0.0028563738,0.0043863356,0.008956343,0.96365476
ERR309284,0.0199292,0.002742052,0.0043057203,0.009094298,0.9639287
ERR309382,0.019952834,0.0027073026,0.0042570233,0.00910306,0.9639798
ERR308270,0.019935995,0.0027419925,0.0043054223,0.009089887,0.9639267
ERR308927,0.019941926,0.0027465522,0.0043112636,0.009083301,0.96391696
ERR309802,0.019952834,0.0027073026,0.0042569637,0.009103,0.9639799
ERR308396,0.019828707,0.0028629303,0.0044752657,0.009080619,0.9637525
ERR309632,0.019900888,0.0027501583,0.0043172836,0.0091073215,0.96392435
ERR308905,0.019907534,0.0027863681,0.0043678284,0.009078115,0.96386015
ERR309317,0.019932568,0.0027381182,0.0043000877,0.009094775,0.9639344
ERR309739,0.019941956,0.0027380288,0.0042999983,0.009088606,0.96393144
ERR308406,0.019938856,0.002744317,0.00430876,0.009086281,0.9639218
ERR309138,0.019923061,0.0027741194,0.004350275,0.009076208,0.96387637
ERR309027,0.019929647,0.0027746558,0.0043506324,0.009071946,0.96387315
ERR309585,0.02261135,0.0032336414,0.0040956736,0.008149952,0.9619094
ERR308590,0.019931048,0.0027329326,0.0042929947,0.009099424,0.9639436
ERR308338,0.01993674,0.0027411878,0.00430429,0.009089917,0.96392787
ERR308395,0.01993081,0.0027391016,0.0043016076,0.009095252,0.9639332
ERR309771,0.019929618,0.0027598143,0.004330337,0.009081721,0.96389854
ERR309110,0.019945592,0.0027220845,0.0042777658,0.0090973675,0.9639572
ERR309299,0.01994136,0.0027502775,0.004316747,0.009080678,0.96391094
ERR308516,0.3266784,0.018332183,0.0009329617,0.0034959614,0.6505605
ERR309101,0.019951403,0.0027118325,0.0042633414,0.009100765,0.9639727
ERR308370,0.96660936,0.0063913167,0.0005611479,0.01709944,0.009338796
ERR308528,0.01993832,0.0027469099,0.0043123364,0.00908494,0.9639175
ERR308287,0.019929677,0.0027707815,0.004345238,0.00907442,0.9638799
ERR309253,0.96660936,0.0063913167,0.0005611479,0.01709944,0.009338796
ERR308669,0.020193607,0.0027690232,0.004258722,0.008993179,0.96378547
ERR308363,0.019913852,0.0027590692,0.004329562,0.009092599,0.9639049
ERR308504,0.01993984,0.0027444065,0.0043088496,0.009085625,0.9639213
ERR309833,0.019952208,0.0027091801,0.004259646,0.009102136,0.96397686
ERR309759,0.019922584,0.0027557015,0.004324794,0.009089172,0.9639077
ERR309144,0.019856423,0.0028000772,0.0043875575,0.009102434,0.9638535
ERR309167,0.019910127,0.0027469993,0.0043126047,0.009103537,0.96392673
ERR309612,0.019923598,0.0027748644,0.0043512583,0.009075433,0.9638748
ERR309774,0.019943774,0.0027309656,0.0042901635,0.009092331,0.96394277
ERR1599546,0.96661127,0.0063931346,0.00056123734,0.01710257,0.009331822
