,root:Engineered:Food_production,root:Environmental:Aquatic,root:Environmental:Terrestrial,root:Host-associated:Birds,root:Host-associated:Fish,root:Host-associated:Human,root:Host-associated:Mammals,root:Host-associated:Plants,Unknown
ERR308962,0.00011192332,0.0005337069,0.00013733507,0.0007728522,0.00032311855,0.0018739448,0.99618185,6.524645e-05,0.0
ERR308648,0.00011093931,0.0005296377,0.00013653372,0.0007720036,0.0003174074,0.0018790137,0.9961902,6.428664e-05,0.0
ERR309433,0.00011085967,0.0005294893,0.0001364743,0.0007719448,0.00031710992,0.0018793431,0.9961905,6.4224994e-05,0.0
ERR309477,0.000109540044,0.0004253083,0.000103103244,0.00074640417,0.000441719,0.0029497573,0.995151,7.322468e-05,0.0
ERR309563,0.00011086775,0.00052940013,0.00013644456,0.00077197485,0.00031705046,0.0018794033,0.9961906,6.4219756e-05,0.0
ERR308877,0.00011092642,0.00052963773,0.00013656351,0.0007720335,0.0003173181,0.001879133,0.9961901,6.426679e-05,0.0
ERR309606,0.00011085947,0.0005294298,0.00013647431,0.0007719747,0.00031710995,0.0018792837,0.9961906,6.4225125e-05,0.0
ERR309500,0.00011085949,0.0005294001,0.00013647432,0.0007719748,0.00031705044,0.0018792839,0.9961907,6.4225074e-05,0.0
ERR309078,0.000110893474,0.0005295189,0.0001365338,0.0007720339,0.00031722893,0.0018791935,0.99619037,6.425175e-05,0.0
ERR308761,0.00011109591,0.0005303504,0.00013668211,0.0007721199,0.0003184187,0.0018779943,0.9961889,6.4472995e-05,0.0
ERR308328,0.000110802706,0.0005292516,0.00013638509,0.00077170733,0.000317408,0.0018822333,0.99618787,6.4301355e-05,0.0
ERR309089,0.000112255606,0.000535556,0.00013677,0.000774494,0.00032246514,0.0018953352,0.99615794,6.527144e-05,0.0
ERR308324,0.000110867084,0.00052948936,0.00013641475,0.00077194493,0.00031710995,0.0018792241,0.9961907,6.423291e-05,0.0
ERR309284,0.0001109409,0.00052925106,0.00013650407,0.00077212346,0.00031719924,0.0018800577,0.99618965,6.421183e-05,0.0
ERR309382,0.00011085979,0.0005294298,0.00013647431,0.00077194493,0.00031710995,0.0018792837,0.9961906,6.422518e-05,0.0
ERR308270,0.00011086055,0.0005294001,0.00013653388,0.000771945,0.00031705044,0.0018792839,0.9961907,6.422599e-05,0.0
ERR308927,0.00011640939,0.0005075556,0.00013239804,0.0007845314,0.00033528332,0.0020094367,0.9960521,6.238295e-05,0.0
ERR309802,0.00011085947,0.0005294298,0.00013647431,0.0007719747,0.00031710995,0.0018792837,0.9961906,6.422506e-05,0.0
ERR308396,0.00011085971,0.00052940013,0.00013650412,0.00077188556,0.00031705046,0.0018792842,0.9961908,6.422545e-05,0.0
ERR309632,0.00011086117,0.00052948936,0.00013653387,0.0007719747,0.00031710995,0.0018792241,0.9961906,6.422666e-05,0.0
ERR308905,0.00011420011,0.00047436115,0.00012078719,0.00077420217,0.00036098264,0.0023399096,0.99575317,6.23622e-05,0.0
ERR309317,0.00011086181,0.0005294596,0.00013650411,0.000771945,0.00031705044,0.0018792243,0.9961907,6.4227155e-05,0.0
ERR309739,0.00011085884,0.0005294298,0.00013653387,0.00077194493,0.00031710995,0.0018793135,0.99619055,6.4224885e-05,0.0
ERR308406,0.00011096409,0.0005297861,0.00013659317,0.00077200297,0.0003175858,0.0018787441,0.99618995,6.4324064e-05,0.0
