,root:Host-associated:Birds:Digestive_system:Ceca,root:Host-associated:Human:Digestive_system:Large_intestine,root:Host-associated:Human:Digestive_system:Oral,root:Host-associated:Human:Reproductive_system:Female,root:Host-associated:Human:Reproductive_system:Vagina,root:Host-associated:Human:Respiratory_system:Nasopharyngeal,root:Host-associated:Mammals:Digestive_system:Fecal,root:Host-associated:Mammals:Digestive_system:Stomach,Unknown
ERR308962,0.00049987435,0.0028257966,0.00047174096,0.0035957098,0.0018133521,0.00014021993,0.9881799,0.0015973151,0.00087606907
ERR308648,0.0003902614,0.0032217503,0.00024107099,0.003451854,0.002141595,6.956614e-05,0.98566896,0.0021909177,0.0026239753
ERR309433,0.00039604306,0.003378272,0.00023961067,0.0034182072,0.0021016002,6.8221845e-05,0.98646444,0.0021770895,0.0017565489
ERR309477,0.0012363195,0.06967327,0.00022745132,0.00082987547,0.0025214553,0.00010511338,0.85776174,0.0012114942,0.06643331
ERR309563,0.0012900546,0.0027192826,0.0031544697,0.002384562,0.0011415596,0.0007426233,0.98792046,0.00064701,0.0
ERR308877,0.00054190453,0.002986271,0.00051445916,0.003334389,0.001766278,0.00014580911,0.9891719,0.0015389671,0.0
ERR309606,0.0012393399,0.0028235954,0.002823862,0.002396677,0.0011772308,0.00065557956,0.9881781,0.0007057582,0.0
ERR309500,0.0013248435,0.0028172852,0.0033746255,0.0022518998,0.0011015763,0.00074153254,0.9877483,0.00063986727,0.0
ERR309078,0.0012408904,0.0026429615,0.0029150501,0.0025155623,0.0011851699,0.0007232704,0.9881103,0.0006668098,0.0
ERR308761,0.0012802173,0.0025135444,0.0030315577,0.0026032398,0.0012158912,0.0008097455,0.9879198,0.00062597345,0.0
ERR308328,0.0010755251,0.0025530085,0.0024234,0.0027458204,0.0012362906,0.00061175675,0.98859626,0.0007579072,0.0
ERR309089,0.0007550765,0.0019676858,0.00195022,0.0043094433,0.0013341261,0.0005554842,0.98812795,0.0010000144,0.0
ERR308324,0.00038686395,0.0033845007,0.00023472309,0.0034880638,0.0020355284,6.7080684e-05,0.9863634,0.0021920204,0.0018478036
ERR309284,0.0012884471,0.0026603616,0.0030344557,0.0024669955,0.0011838464,0.0007555875,0.98796767,0.00064269925,0.0
