,root:Engineered,root:Environmental,root:Host-associated,Unknown
ERR308851,0.007868864,0.006796386,0.98533475,0.0
ERR308648,0.007862796,0.0067842333,0.985353,0.0
ERR309242,0.007863058,0.0067848195,0.9853521,0.0
ERR309755,0.007862913,0.006784291,0.98535275,0.0
ERR308430,0.007862971,0.006784556,0.9853525,0.0
ERR308406,0.007863669,0.0067859325,0.98535043,0.0
ERR309001,0.007866803,0.0067922277,0.98534095,0.0
ERR308287,0.007869618,0.0067977905,0.98533255,0.0
ERR309522,0.007866977,0.0067926086,0.9853404,0.0
ERR309302,0.007862943,0.0067844093,0.98535264,0.0
ERR309666,0.007862535,0.006783765,0.9853537,0.0
ERR308687,0.007862507,0.00678356,0.98535395,0.0
ERR309022,0.007861926,0.006782417,0.9853556,0.0
ERR309425,0.007861868,0.0067823296,0.9853558,0.0
ERR309626,0.007865177,0.006788977,0.98534584,0.0
ERR308365,0.007868978,0.0067966785,0.98533434,0.0
ERR308620,0.007862014,0.006782623,0.9853553,0.0
ERR309670,0.007864596,0.006787835,0.9853476,0.0
ERR308982,0.007866658,0.0067919646,0.9853414,0.0
ERR308464,0.007862101,0.006782799,0.9853551,0.0
ERR308396,0.007869473,0.006797498,0.985333,0.0
ERR309268,0.007863493,0.0067856973,0.9853508,0.0
ERR308296,0.007862303,0.0067832675,0.9853545,0.0
ERR309541,0.007862769,0.0067840577,0.98535323,0.0
ERR309061,0.007862623,0.006783794,0.9853536,0.0
ERR309367,0.007862014,0.006782623,0.9853554,0.0
ERR308857,0.007862999,0.006784554,0.9853524,0.0
ERR309331,0.007865031,0.0067886836,0.9853463,0.0
ERR309817,0.0078655835,0.006789621,0.98534477,0.0
ERR309135,0.007863117,0.006784731,0.98535216,0.0
ERR309029,0.0078621,0.006782798,0.985355,0.0
ERR309795,0.007878964,0.006816561,0.9853045,0.0
ERR309198,0.007864395,0.006787279,0.98534834,0.0
ERR309253,0.007861868,0.0067823296,0.9853558,0.0
ERR308643,0.007861955,0.006782565,0.9853555,0.0
ERR309742,0.007861868,0.006782389,0.9853557,0.0
ERR309323,0.007863494,0.006785669,0.98535085,0.0
ERR309298,0.007862884,0.00678435,0.98535275,0.0
ERR309349,0.007863581,0.0067856973,0.9853508,0.0
ERR309373,0.007862014,0.0067824754,0.98535544,0.0
ERR308496,0.007865177,0.006788977,0.9853459,0.0
ERR1598458,0.007861868,0.0067824475,0.98535573,0.0
ERR1598797,0.007861897,0.0067824475,0.9853557,0.0
ERR1599539,0.007861868,0.006782389,0.98535573,0.0
ERR1598681,0.00786332,0.0067852004,0.9853515,0.0
ERR1598244,0.007861954,0.0067826523,0.9853553,0.0
ERR1599515,0.007865119,0.0067888894,0.985346,0.0
ERR1599036,0.007862275,0.0067832083,0.98535454,0.0
ERR1599289,0.007862362,0.006783355,0.9853543,0.0
ERR1598978,0.007862129,0.0067829457,0.98535496,0.0
ERR1599096,0.007861868,0.006782389,0.9853557,0.0
ERR1598778,0.007863871,0.0067865183,0.98534966,0.0
ERR1599484,0.007861926,0.0067824763,0.98535556,0.0
ERR1598947,0.007862014,0.0067824754,0.98535544,0.0
ERR1598719,0.007861868,0.006782389,0.9853558,0.0
ERR1598408,0.007861868,0.0067823296,0.9853558,0.0
ERR1598854,0.007862129,0.0067828274,0.985355,0.0
ERR1598177,0.007862709,0.006783999,0.9853533,0.0
ERR1599445,0.007861868,0.0067823296,0.9853558,0.0
ERR1598303,0.007862449,0.0067835893,0.98535395,0.0
ERR1598620,0.007861926,0.006782417,0.9853556,0.0
ERR1598463,0.007862362,0.0067833844,0.9853543,0.0
ERR1599217,0.0078618685,0.00678236,0.9853558,0.0
ERR1599131,0.007861955,0.006782565,0.9853555,0.0
ERR1599136,0.007861868,0.006782389,0.9853557,0.0
ERR1599532,0.007870372,0.0067994604,0.9853302,0.0
ERR1598459,0.007861927,0.006782359,0.9853557,0.0
ERR1599400,0.007861927,0.006782359,0.9853557,0.0
ERR1598717,0.007861927,0.006782359,0.98535573,0.0
ERR1598625,0.007861955,0.0067825057,0.9853555,0.0
ERR1598275,0.007861868,0.006782389,0.9853558,0.0
ERR1598651,0.007864278,0.0067871916,0.9853486,0.0
ERR1599373,0.007861868,0.0067823296,0.9853558,0.0
ERR1598771,0.00786239,0.0067834132,0.9853542,0.0
ERR1599372,0.007861868,0.006782389,0.9853558,0.0
ERR1598993,0.007861955,0.0067825057,0.98535556,0.0
ERR1598547,0.007862043,0.0067826523,0.9853553,0.0
ERR1598723,0.007861868,0.006782389,0.9853557,0.0
ERR1598319,0.007861926,0.006782417,0.9853556,0.0
ERR1598097,0.0078627085,0.0067840866,0.9853532,0.0
ERR1598983,0.0078677,0.0067941304,0.9853381,0.0
ERR1598974,0.007861926,0.0067824763,0.98535556,0.0
ERR1599641,0.007862102,0.006782741,0.9853552,0.0
ERR1598416,0.007861926,0.0067824465,0.9853556,0.0
ERR1598441,0.007861955,0.0067825057,0.98535556,0.0
ERR1598379,0.007861868,0.006782389,0.9853558,0.0
ERR1599313,0.007862334,0.0067830915,0.98535466,0.0
ERR1598910,0.0078624785,0.006783384,0.9853542,0.0
ERR1598145,0.0078647705,0.006788216,0.98534703,0.0
ERR1598913,0.007862188,0.0067830333,0.9853548,0.0
ERR1598096,0.007862362,0.006783296,0.9853543,0.0
ERR1599351,0.007862478,0.0067836186,0.9853539,0.0
ERR1598800,0.007861868,0.0067823296,0.9853558,0.0
ERR1598982,0.007861868,0.0067823296,0.9853558,0.0
ERR1598139,0.007861868,0.006782389,0.9853557,0.0
ERR1599119,0.007862333,0.006783179,0.98535454,0.0
ERR1599205,0.007861868,0.0067823296,0.9853558,0.0
ERR1598569,0.007861868,0.0067823296,0.9853558,0.0
ERR1599286,0.007863581,0.0067857564,0.98535067,0.0
ERR1598906,0.007863407,0.0067853755,0.9853512,0.0
ERR1599580,0.007861927,0.006782418,0.9853557,0.0
ERR1599496,0.007861926,0.006782417,0.9853557,0.0
ERR1598549,0.0078620715,0.0067827106,0.9853552,0.0
ERR1599185,0.007861868,0.006782389,0.9853558,0.0
ERR1598091,0.007861926,0.006782417,0.9853557,0.0
ERR1599531,0.007861926,0.006782417,0.9853556,0.0
ERR1598108,0.007861868,0.0067823296,0.9853558,0.0
ERR1598129,0.007861868,0.0067824475,0.9853557,0.0
ERR1598233,0.007861868,0.0067823296,0.9853558,0.0
ERR1598627,0.007863579,0.0067858137,0.98535055,0.0
ERR1599608,0.007861955,0.0067825057,0.98535556,0.0
ERR1598648,0.007861868,0.006782389,0.9853557,0.0
ERR1599095,0.007861868,0.006782389,0.9853557,0.0
ERR1598902,0.007861926,0.006782417,0.9853556,0.0
ERR1599450,0.007864945,0.00678842,0.98534656,0.0
ERR1598968,0.00786303,0.0067846435,0.9853523,0.0
ERR1598284,0.007861868,0.0067823296,0.9853558,0.0
ERR1599246,0.007861868,0.0067823296,0.9853558,0.0
ERR1598210,0.00786242,0.0067834132,0.9853542,0.0
ERR1598979,0.007866918,0.00679252,0.9853405,0.0
ERR1598841,0.007863117,0.0067847017,0.98535216,0.0
ERR1599222,0.007861926,0.0067824763,0.98535556,0.0
ERR1598120,0.007863232,0.0067850826,0.9853517,0.0
ERR1599499,0.007872492,0.0068036187,0.9853239,0.0
ERR1599069,0.007862042,0.00678274,0.9853552,0.0
ERR1599379,0.007861926,0.006782417,0.9853556,0.0
ERR1598352,0.007862797,0.006784175,0.985353,0.0
ERR1598870,0.007861868,0.006782389,0.9853557,0.0
ERR1599110,0.0078623025,0.006783237,0.9853544,0.0
ERR1598777,0.007862798,0.006784146,0.9853531,0.0
ERR1598075,0.007861868,0.0067823296,0.9853558,0.0
ERR1599017,0.007862913,0.006784291,0.9853528,0.0
ERR1598310,0.007861927,0.006782359,0.9853557,0.0
ERR1599350,0.007861868,0.0067823296,0.9853558,0.0
ERR1599188,0.007861955,0.0067825057,0.9853555,0.0
ERR1599494,0.007861926,0.006782417,0.9853556,0.0
ERR1598238,0.007861868,0.0067823296,0.9853558,0.0
ERR1598793,0.007861926,0.0067824763,0.98535556,0.0
ERR1599497,0.007866483,0.0067916126,0.9853419,0.0
ERR1598180,0.007861926,0.0067824763,0.98535556,0.0
ERR1599079,0.0078621,0.0067828572,0.9853551,0.0
