,root:Engineered:Food_production,root:Environmental:Aquatic,root:Environmental:Terrestrial,root:Host-associated:Birds,root:Host-associated:Fish,root:Host-associated:Human,root:Host-associated:Mammals,root:Host-associated:Plants,Unknown
ERR308851,0.002209204,0.012931419,0.0065451968,0.0022051365,0.0105902115,0.015002965,0.948271,0.0022448585,0.0
ERR308648,0.0022060664,0.012915576,0.006544261,0.002204451,0.010572681,0.015000911,0.9483152,0.0022408287,0.0
ERR309242,0.00220637,0.012917399,0.0065443646,0.0022045814,0.010574606,0.015001308,0.94830996,0.0022413053,0.0
ERR309755,0.002205982,0.012915358,0.00654421,0.0022044533,0.010572346,0.015000956,0.94831586,0.0022408024,0.0
ERR308430,0.002206455,0.01291765,0.006544331,0.0022045511,0.0105748875,0.015001154,0.94830966,0.0022413903,0.0
ERR308406,0.0022063165,0.012916904,0.006544348,0.0022044412,0.010574106,0.015001047,0.94831175,0.0022411651,0.0
ERR309001,0.0022092029,0.012931556,0.0065451646,0.0022050778,0.010590438,0.0150029585,0.9482707,0.0022449153,0.0
ERR308287,0.0022093093,0.012933753,0.0065454547,0.002205011,0.010592845,0.015006934,0.94826144,0.0022451368,0.0
ERR309522,0.0022076757,0.012924202,0.0065447926,0.0022047332,0.010582212,0.015003131,0.9482904,0.0022428986,0.0
ERR309302,0.0022064254,0.01291779,0.0065443288,0.0022045504,0.010575027,0.015001149,0.9483095,0.0022413319,0.0
ERR309666,0.0022062056,0.012916382,0.0065443036,0.002204446,0.010573522,0.015001281,0.9483129,0.0022410257,0.0
ERR308687,0.0022067337,0.012918861,0.0065444745,0.0022046277,0.010576166,0.015001289,0.9483061,0.0022416974,0.0
ERR309022,0.0022058706,0.01291489,0.00654425,0.0022043993,0.010571845,0.0150009245,0.9483172,0.002240662,0.0
ERR309425,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR309626,0.0022068145,0.012919895,0.006544545,0.0022046221,0.01057738,0.01500252,0.9483024,0.002241836,0.0
ERR308365,0.0022133407,0.012952542,0.006546421,0.0022058699,0.010613582,0.0150064,0.9482117,0.00225006,0.0
ERR308620,0.0022058706,0.01291489,0.00654425,0.0022043993,0.010571845,0.0150009245,0.9483172,0.0022405754,0.0
ERR309670,0.0022068159,0.012919471,0.006544433,0.0022045944,0.010576867,0.015001114,0.94830495,0.0022417796,0.0
ERR308982,0.0022098436,0.01293425,0.00654527,0.002205228,0.010593299,0.015001909,0.9482645,0.0022456998,0.0
ERR308464,0.0022059258,0.012915164,0.0065442426,0.0022044834,0.010572208,0.015000907,0.94831634,0.0022407747,0.0
ERR308396,0.002209339,0.012932952,0.0065453136,0.0022050985,0.010591985,0.015004345,0.9482658,0.0022451954,0.0
ERR309268,0.0022064282,0.012917373,0.0065443083,0.0022044955,0.01057455,0.015001052,0.94831055,0.0022413058,0.0
ERR308296,0.002206008,0.012915802,0.006544259,0.002204479,0.010572822,0.015001022,0.9483147,0.0022408569,0.0
ERR309541,0.0022059828,0.012915333,0.0065442403,0.002204425,0.010572291,0.01500096,0.94831604,0.002240774,0.0
ERR309061,0.0022060927,0.012915993,0.006544282,0.0022044485,0.010573073,0.015000895,0.9483143,0.0022409128,0.0
ERR309367,0.004087587,0.0002186305,0.0041286703,0.0011776736,0.004615579,0.9792059,0.0047858865,0.0017800626,0.0
