,root:Host-associated:Birds:Digestive_system:Ceca,root:Host-associated:Human:Digestive_system:Large_intestine,root:Host-associated:Human:Digestive_system:Oral,root:Host-associated:Human:Reproductive_system:Female,root:Host-associated:Human:Reproductive_system:Vagina,root:Host-associated:Human:Respiratory_system:Nasopharyngeal,root:Host-associated:Mammals:Digestive_system:Fecal,root:Host-associated:Mammals:Digestive_system:Stomach,Unknown
ERR309477,0.013516102,0.035483196,0.00063048187,0.03195651,0.02803047,0.0077243987,0.83666325,0.04599555,0.0
ERR309611,0.01603615,0.023865657,0.0007699589,0.048502482,0.036351126,0.0081638545,0.8419779,0.024332874,0.0
ERR309166,0.013565113,0.035103947,0.00062106334,0.031890552,0.028572561,0.007483869,0.8364205,0.046342473,0.0
ERR308284,0.013642979,0.034505423,0.00061621726,0.032275688,0.02901049,0.007328688,0.8359613,0.046659194,0.0
ERR308925,0.013581682,0.034333613,0.0006190083,0.032322064,0.029066166,0.007302438,0.83595395,0.046821162,0.0
ERR308348,0.013479819,0.035030268,0.00062486087,0.031830765,0.028530506,0.007490783,0.8365942,0.04641882,0.0
ERR308691,0.013712866,0.034032464,0.0006121934,0.0326109,0.02938007,0.0072029047,0.8355177,0.046930775,0.0
ERR308752,0.013347061,0.033890374,0.00063072785,0.032411434,0.029156918,0.007244864,0.83596504,0.047353555,0.0
ERR308789,0.013341688,0.035878435,0.00063539256,0.03139428,0.027854752,0.007757765,0.83711743,0.046020273,0.0
ERR308673,0.013663693,0.033980012,0.00061532407,0.03264269,0.029359212,0.0072117033,0.8356178,0.046909615,0.0
ERR309115,0.013774318,0.03423936,0.0006099747,0.032552063,0.029272545,0.007252061,0.83558714,0.04671249,0.0
ERR309302,0.013740438,0.03419196,0.00061100407,0.032533694,0.02929657,0.007235676,0.8356009,0.04678974,0.0
ERR308343,0.01369481,0.03423496,0.000613335,0.032475762,0.029226283,0.007255987,0.83570844,0.0467904,0.0
ERR308708,0.013563105,0.035804115,0.00062475546,0.031689886,0.028186068,0.0076654884,0.8363569,0.04610967,0.0
ERR309107,0.01373184,0.034286033,0.00061155,0.03246825,0.029225752,0.007260293,0.83568937,0.046726923,0.0
ERR308758,0.013418036,0.03331116,0.00062653364,0.032831077,0.029614171,0.007089752,0.8353763,0.047732897,0.0
ERR309713,0.013235665,0.03428941,0.0006380816,0.03219396,0.028777925,0.0073705977,0.8364778,0.047016647,0.0
ERR308566,0.013780199,0.03491602,0.00061455433,0.032538988,0.029081983,0.007340037,0.8349209,0.04680737,0.0
ERR309751,0.0028781593,0.022610903,0.0025271773,0.017340094,0.015300363,0.01005137,0.35642904,0.027555734,0.54530716
ERR308669,0.0136985555,0.035788164,0.00062601344,0.032164562,0.027944675,0.007794109,0.835966,0.04601792,0.0
ERR308593,0.013703937,0.03468086,0.00061342906,0.032216627,0.028941093,0.0073614474,0.83600587,0.046476748,0.0
ERR308515,0.013616909,0.034714617,0.000617666,0.032124612,0.02884781,0.007386427,0.83617,0.04652188,0.0
ERR309817,0.013249119,0.03604426,0.000640934,0.03130333,0.027817009,0.007740567,0.83699024,0.04621455,0.0
ERR309080,0.013346769,0.034911983,0.00063275296,0.031896267,0.028475739,0.0075005325,0.83674157,0.04649443,0.0
ERR309486,0.013679365,0.03428656,0.0006141463,0.032431,0.029179,0.007271731,0.83577234,0.046765916,0.0
ERR309129,0.013334486,0.035063438,0.00063426147,0.031919114,0.02835531,0.007528984,0.8368424,0.046322037,0.0
ERR309084,0.013555373,0.034625955,0.00062064984,0.032127243,0.028852409,0.0073778573,0.83620906,0.046631444,0.0
ERR309503,0.014949556,0.027931467,0.00068256445,0.0394008,0.032927677,0.0076978384,0.8423939,0.03401624,0.0
ERR308818,0.01534486,0.025577337,0.0007224284,0.043534234,0.034940604,0.007702678,0.84368455,0.02849324,0.0
ERR308935,0.013761936,0.034174416,0.0006100059,0.032561656,0.029326748,0.0072271153,0.83555335,0.046784706,0.0
ERR309783,0.013508407,0.035120595,0.00062468403,0.031880796,0.028449679,0.0075279535,0.8366255,0.046262316,0.0
ERR308911,0.013606852,0.034584846,0.0006221929,0.032410618,0.028800244,0.007426068,0.8362324,0.04631676,0.0
ERR308908,0.013104749,0.033926617,0.0006443515,0.032256216,0.028912814,0.00730739,0.83635515,0.047492787,0.0
ERR309746,0.013760917,0.03428881,0.0006102422,0.032499366,0.029253626,0.007253069,0.83561975,0.046714213,0.0
ERR309700,0.013698,0.034238726,0.00061311753,0.032471135,0.029228074,0.00725588,0.8357069,0.046788175,0.0
ERR309073,0.01379439,0.034167763,0.00060834223,0.032592118,0.02935922,0.0072188787,0.8354959,0.046763375,0.0
ERR309303,0.012780841,0.03522638,0.00066571403,0.03139858,0.027895639,0.0076762093,0.83740705,0.046949573,0.0
ERR308999,0.0010246634,0.9838885,0.002136141,0.001660794,0.0014580488,0.00020956993,0.0011779964,0.0012830198,0.0071612597
ERR309432,0.0135468235,0.034431297,0.00062092283,0.032242514,0.028969996,0.007333677,0.8360825,0.046772223,0.0
ERR309048,0.013304821,0.03612206,0.0006383091,0.031288873,0.027636953,0.007833023,0.8373735,0.04580252,0.0
ERR308781,0.013748439,0.034200434,0.00061063335,0.03253776,0.02929672,0.0072363922,0.83559704,0.046772506,0.0
