,root:Engineered:Food_production:Dairy_products,root:Environmental:Aquatic:Thermal_springs,root:Environmental:Terrestrial:Deep_subsurface,root:Environmental:Terrestrial:Soil,root:Host-associated:Birds:Digestive_system,root:Host-associated:Human:Digestive_system,root:Host-associated:Human:Reproductive_system,root:Host-associated:Human:Respiratory_system,root:Host-associated:Human:Skin,root:Host-associated:Mammals:Digestive_system,root:Host-associated:Mammals:Gastrointestinal_tract,root:Host-associated:Plants:Root,Unknown
ERR309302,1.24073595e-05,0.00068017247,0.00086264836,2.9918348e-07,8.901255e-05,0.0001794123,0.00039549824,8.876671e-05,8.803595e-05,0.9968231,0.00075402536,2.6563685e-05,0.0
ERR309367,9.815276e-06,2.3581824e-05,1.2096045e-05,2.5324229e-05,7.723016e-05,0.99559176,0.0008335333,0.00071276334,1.6126669e-05,0.0010871384,0.0016025408,8.041245e-06,0.0
ERR309258,9.805163e-06,0.00059248623,0.000692613,2.6656198e-07,6.6128676e-05,0.00030362466,0.00063871004,0.00010446361,5.174782e-05,0.9969068,0.00059903436,3.4276498e-05,0.0
ERR309326,2.4994613e-05,2.1906793e-05,0.00019882625,2.436974e-05,1.617436e-05,0.9825827,0.00040219625,9.9988094e-05,7.0862525e-06,0.002683308,0.013932776,5.6538843e-06,0.0
ERR309522,6.1921305e-06,0.00022807717,0.00029957294,2.3613852e-07,4.5589746e-05,0.0047413707,0.0027523637,0.0002604723,1.0257806e-05,0.9805083,0.00080502033,6.543927e-05,0.010277092
ERR309373,1.2080601e-05,0.0006929785,0.0008717474,3.0146612e-07,9.1078735e-05,0.00016856796,0.00037636337,8.851427e-05,8.871887e-05,0.9967979,0.00078508415,2.658816e-05,0.0
ERR308775,1.204457e-05,0.00068819657,0.00086751016,2.9716074e-07,9.0372276e-05,0.00017077768,0.0003790896,8.7989e-05,8.782568e-05,0.99681777,0.00077200914,2.6201695e-05,0.0
ERR309013,1.6274722e-05,0.00063204893,0.00087068084,3.151491e-07,9.660011e-05,0.00018024548,0.00039166212,9.259851e-05,0.00011953825,0.99679506,0.00077746477,2.759185e-05,0.0
ERR308365,1.3023037e-05,0.000681135,0.0008764545,3.0340112e-07,9.031387e-05,0.0001757192,0.00038528547,8.770031e-05,9.329144e-05,0.99681264,0.0007579898,2.6183563e-05,0.0
ERR308496,1.4238835e-05,0.0007694845,0.0009734245,3.2259257e-07,6.734046e-05,0.00026530356,0.0005764959,6.939656e-05,6.5599415e-05,0.996702,0.00047674292,1.9626987e-05,0.0
ERR308797,1.2492838e-05,0.0006908237,0.0008781541,3.0525555e-07,9.1849615e-05,0.00017115203,0.00038111437,8.937093e-05,9.136849e-05,0.9967773,0.0007891432,2.6956495e-05,0.0
ERR309659,1.568112e-05,0.0004090717,0.00037549587,1.9703054e-07,4.0708113e-05,0.00080513576,0.0010250456,0.00026786266,5.295554e-05,0.9956644,0.0012780849,6.5283195e-05,0.0
ERR309127,1.2070781e-05,0.0005660941,0.00077286357,2.7944554e-07,0.00011046311,0.00023221018,0.0004286843,0.00011694187,8.115459e-05,0.9967367,0.0009157187,2.6841255e-05,0.0
ERR309389,1.2326998e-05,0.0006836904,0.00086763967,3.019811e-07,9.1581795e-05,0.000171339,0.00038083593,8.9264126e-05,9.0002504e-05,0.9968064,0.00077987346,2.6754145e-05,0.0
ERR308841,1.2061542e-05,0.0006929497,0.00087103475,3.0133774e-07,9.105254e-05,0.00016838974,0.00037588802,8.846527e-05,8.8623434e-05,0.9967997,0.00078490673,2.6567564e-05,0.0
ERR308758,1.3035551e-05,0.0006550745,0.00085700426,3.0083856e-07,9.183065e-05,0.00018521381,0.00039321126,9.2894865e-05,9.307709e-05,0.99679255,0.0007988554,2.6918126e-05,0.0
ERR309284,1.223173e-05,0.0006944585,0.0008778134,3.0392363e-07,8.970538e-05,0.00017389716,0.00038434635,8.7612316e-05,8.732761e-05,0.9968026,0.00076336897,2.6369587e-05,0.0
ERR308770,3.5094818e-05,0.0004164296,0.00092475105,5.387025e-07,0.00013087447,0.0004094663,0.00049948343,0.00013203503,0.00020003143,0.9961616,0.0010565183,3.3283497e-05,0.0
