,root:Engineered:Wastewater,root:Environmental:Aquatic,root:Environmental:Terrestrial,root:Host-associated:Human,root:Host-associated:Insecta,root:Host-associated:Mammals,root:Host-associated:Plants,Unknown
SRR4054232,0.0003231214,0.97711325,0.006000742,0.0010946412,0.0047018924,0.0018179298,0.008948432,0.0
ERR658178,0.0003231214,0.97711325,0.006000742,0.0010946412,0.0047018924,0.0018179298,0.008948432,0.0
DRR047896,0.001267608,0.00034304688,0.0011692516,0.9893855,0.001976461,0.0033563534,0.0025017587,0.0
ERR719083,0.0012679345,0.00034292846,0.0011691928,0.98938507,0.0019764616,0.0033560286,0.0025024116,0.0
SRR994658,0.0012672524,0.0003430765,0.0011694888,0.989387,0.0019760164,0.0033568274,0.002500366,0.0
ERR1533677,0.00401005,0.007983009,0.0058133705,0.01287494,0.00042542233,0.9658644,0.0030288307,0.0
SRR649467,0.007993247,0.009561358,0.9260231,0.006057549,0.0027679808,0.002696152,0.044900574,0.0
DRR047632,0.0012715226,0.00034227714,0.0011667057,0.9893736,0.0019798437,0.003351738,0.0025141812,0.0
SRR3742090,0.0003231214,0.97711325,0.006000742,0.0010946412,0.0047018924,0.0018179298,0.008948432,0.0
SRR7453678,0.0012703363,0.00034254362,0.0011674754,0.9893774,0.0019787755,0.0033530986,0.002510327,0.0
ERR1913074,0.0012679368,0.00034304764,0.0011697877,0.9893864,0.0019762283,0.0033549087,0.0025017052,0.0
SRR6414409,0.0012709292,0.00034251407,0.001167209,0.9893757,0.0019791909,0.0033525662,0.0025119279,0.0
ERR1523799,0.0040008277,0.007946938,0.005794012,0.0129175,0.0004243026,0.9658931,0.0030232477,0.0
SRR2761207,0.0012675782,0.0003430172,0.00116937,0.9893858,0.0019763422,0.0033565306,0.0025014621,0.0
ERR1315457,0.0012709182,0.00034373408,0.0011719972,0.9893866,0.0019771452,0.0033435468,0.0025060375,0.0
ERR1310930,0.0012677896,0.000343285,0.0011698776,0.9893874,0.0019764374,0.0033547634,0.0025004626,0.0
ERR2495587,0.0075275004,0.0055120587,0.01606509,0.0010161698,0.0017100573,0.0026287436,0.9615748,0.003965616
SRR5831843,0.0013381514,0.00033134472,0.001128279,0.98915136,0.0020416775,0.0032820643,0.002727067,0.0
SRR6931852,0.001267252,0.0003430468,0.0011695478,0.98938686,0.0019760455,0.0033569154,0.0025003357,0.0
SRR6975897,0.0003231214,0.97711325,0.006000742,0.0010946412,0.0047018924,0.0018179298,0.008948432,0.0
ERR1311253,0.0012673117,0.0003430469,0.0011695481,0.98938686,0.0019760167,0.0033567685,0.0025004551,0.0
ERR365959,0.001275084,0.00034207111,0.0011654363,0.98936427,0.0019824004,0.003346536,0.002524149,0.0
SRR8609374,0.0075262487,0.0055125654,0.01606673,0.0010164082,0.0017099082,0.002627939,0.961573,0.003967166
SRR5902394,0.0003231214,0.97711325,0.006000742,0.0010946412,0.0047018924,0.0018179298,0.008948432,0.0
ERR1736272,0.0039969464,0.007951928,0.0057973852,0.012932845,0.0004242498,0.9658736,0.003023114,0.0
SRR6901943,0.81859064,0.00015484451,0.08618629,0.0113560865,0.01006693,0.042588554,0.031056795,0.0
ERR866643,0.0012978854,0.00033771808,0.0011499781,0.98929095,0.0020030157,0.003322238,0.0025981711,0.0
ERR1103138,0.0003231214,0.97711325,0.006000742,0.0010946412,0.0047018924,0.0018179298,0.008948432,0.0
SRR5179752,0.0003231214,0.97711325,0.006000742,0.0010946412,0.0047018924,0.0018179298,0.008948432,0.0
ERR2739113,0.0012709707,0.00034325809,0.0011704796,0.98938245,0.0019776977,0.0033466404,0.0025084245,0.0
ERR1298098,0.0075275004,0.0055120587,0.01606509,0.0010161698,0.0017100573,0.0026287436,0.9615748,0.003965616
SRR5916451,0.0003231214,0.97711325,0.006000742,0.0010946412,0.0047018924,0.0018179298,0.008948432,0.0
SRR6005050,0.0003231214,0.97711325,0.006000742,0.0010946412,0.0047018924,0.0018179298,0.008948432,0.0
SRR062191,0.0003231214,0.97711325,0.006000742,0.0010946412,0.0047018924,0.0018179298,0.008948432,0.0
SRR2034605,0.007993247,0.009561358,0.92602307,0.006057549,0.0027679808,0.0026961816,0.044900574,0.0
ERR579577,0.0010932088,0.0014178455,0.0017528832,0.9619081,0.00022879243,0.016041517,0.008919209,0.008638382
ERR1522882,0.00400085,0.007946337,0.0057936492,0.012917154,0.00042427244,0.9658946,0.0030231837,0.0
SRR6429180,0.0003231214,0.97711325,0.006000742,0.0010946412,0.0047018924,0.0018179298,0.008948432,0.0
ERR1897429,0.0003231214,0.97711325,0.006000742,0.0010946412,0.0047018924,0.0018179298,0.008948432,0.0
DRR042715,0.001270099,0.00034254353,0.0011677418,0.989378,0.0019786267,0.003353424,0.0025095856,0.0
SRR994452,0.001267252,0.0003430468,0.0011695478,0.98938686,0.0019760455,0.0033569154,0.0025003357,0.0
SRR387957,0.0012710163,0.00034263212,0.0011678593,0.9893755,0.0019790397,0.0033526502,0.0025113611,0.0
ERR1383326,0.0014858863,0.00032926176,0.001106687,0.9886025,0.0021155141,0.0032301734,0.0031299426,0.0
ERR996181,0.0146798985,0.0032088512,0.001955382,0.10226171,0.00091262255,0.876319,0.00066263875,0.0
SRR1778120,0.007993247,0.009561358,0.92602307,0.006057549,0.0027679808,0.0026961816,0.044900574,0.0
SRR4826836,0.0003231214,0.97711325,0.006000742,0.0010946412,0.0047018924,0.0018179298,0.008948432,0.0
SRR6932028,0.0012677266,0.00034301728,0.0011693407,0.98938566,0.0019762537,0.003356413,0.002501611,0.0
ERR1689110,0.0075275004,0.0055120587,0.01606509,0.0010161698,0.0017100573,0.0026287436,0.9615748,0.003965616
SRR980689,0.007993247,0.009561358,0.92602307,0.006057549,0.0027679808,0.0026961816,0.044900574,0.0
ERR658173,0.0003231214,0.97711325,0.006000742,0.0010946412,0.0047018924,0.0018179298,0.008948432,0.0
SRR1286268,0.0003231214,0.97711325,0.006000742,0.0010946412,0.0047018924,0.0018179298,0.008948432,0.0
SRR996557,0.001267252,0.0003430468,0.0011695478,0.98938686,0.0019760455,0.0033569154,0.0025003357,0.0
DRR043940,0.0012685868,0.00034283966,0.0011686895,0.98938286,0.0019771736,0.0033552295,0.0025046647,0.0
ERR1311432,0.0012772452,0.00034144823,0.00116336,0.9893561,0.0019847383,0.003345197,0.0025319385,0.0
SRR6932340,0.001267252,0.0003430468,0.0011695478,0.98938686,0.0019760455,0.0033569154,0.0025003357,0.0
ERR309181,0.003999076,0.007954568,0.005802782,0.013076001,0.0004246676,0.96573246,0.0030104085,0.0
ERR2510954,0.0012687377,0.00034307747,0.0011695217,0.98938423,0.001976822,0.0033536365,0.0025039292,0.0
SRR3503309,0.0012935085,0.00033912738,0.0011572232,0.9892908,0.0020040935,0.003336007,0.0025792527,0.0
ERR500889,0.0012672818,0.00034307648,0.0011696367,0.98938674,0.0019760753,0.0033567084,0.0025004249,0.0
ERR560671,0.0012947259,0.0003475838,0.0011771556,0.98936373,0.0019935092,0.0032802331,0.00254307,0.0
ERR756423,0.0046054134,0.00695278,0.005557989,0.016177282,0.00046297946,0.9635624,0.0026811457,0.0
SRR994791,0.0012671336,0.00034307648,0.0011696367,0.989387,0.0019760162,0.003356916,0.0025002472,0.0
ERR1521915,0.004000975,0.007948027,0.005793249,0.012915121,0.0004243908,0.96589553,0.0030227485,0.0
ERR1201245,0.0039997445,0.007949444,0.005795677,0.012923574,0.00042430617,0.96588403,0.0030232733,0.0
ERR1298086,0.0075275004,0.0055120587,0.01606509,0.0010161698,0.0017100573,0.0026287436,0.9615748,0.003965616
SRR5178938,0.0003231214,0.97711325,0.006000742,0.0010946412,0.0047018924,0.0018179298,0.008948432,0.0
ERR1135470,0.0040006796,0.007946908,0.005793952,0.012918349,0.00042436126,0.96589255,0.003023159,0.0
SRR2163534,0.0012788385,0.0003411204,0.0011628498,0.9893482,0.001987276,0.0033447342,0.0025369625,0.0
SRR8605406,0.0075275004,0.0055120587,0.01606509,0.0010161698,0.0017100573,0.0026287436,0.9615748,0.003965616
ERR2709779,0.0075275004,0.0055120587,0.01606509,0.0010161698,0.0017100573,0.0026287436,0.9615748,0.003965616
ERR1581976,0.007993247,0.009561358,0.92602307,0.006057549,0.0027679808,0.0026961816,0.044900574,0.0
ERR441851,0.0012672523,0.00034307648,0.0011696367,0.98938686,0.0019759568,0.0033568568,0.0025003657,0.0
SRR636593,0.0003231214,0.97711325,0.006000742,0.0010946412,0.0047018924,0.0018179298,0.008948432,0.0
ERR3596494,0.0007507503,0.029049546,0.00067064166,0.8456501,0.00013798475,0.10323554,0.0046183765,0.015887022
