,root:Engineered,root:Environmental,root:Host-associated,Unknown
SRR5313402,0.0074760234,0.9846743,0.0078497175,0.0
SRR2923078,0.0074760234,0.9846743,0.0078497175,0.0
SRR6408981,0.0033613185,0.005283088,0.99135554,0.0
ERR2495254,0.0033614351,0.005284063,0.99135447,0.0
ERR1960760,0.003360448,0.0052928515,0.9913467,0.0
ERR1582700,0.0074760234,0.9846743,0.0078497175,0.0
ERR1678287,0.0033280791,0.005913039,0.9907589,0.0
ERR1594301,0.0074760243,0.9846743,0.007849748,0.0
DRR044034,0.00336126,0.00528303,0.9913557,0.0
SRR6932119,0.00336126,0.00528303,0.9913557,0.0
DRR047816,0.0033613185,0.005283088,0.99135554,0.0
ERR443098,0.0033602973,0.005294537,0.9913451,0.0
SRR5451630,0.0074760234,0.9846743,0.0078497175,0.0
DRR018397,0.0033612894,0.005283059,0.99135566,0.0
SRR996204,0.0033589718,0.0053121974,0.9913289,0.0
ERR443008,0.003357439,0.0053297095,0.99131286,0.0
SRR5273202,0.0074760234,0.9846743,0.0078497175,0.0
DRR018790,0.0033613478,0.0052835615,0.9913551,0.0
ERR2730264,0.00336126,0.00528303,0.9913557,0.0
ERR2233527,0.0033321306,0.0062952754,0.99037254,0.0
ERR664732,0.00336123,0.005283148,0.9913556,0.0
SRR5165866,0.0033616694,0.0052851555,0.9913531,0.0
ERR1311610,0.0033619322,0.0052868975,0.9913511,0.0
DRR043806,0.00336126,0.00528303,0.9913557,0.0
SRR994790,0.0033612594,0.0052831476,0.99135554,0.0
ERR2738657,0.0033613185,0.005283088,0.99135554,0.0
ERR1511968,0.0033943877,0.005544577,0.99106103,0.0
SRR2897071,0.0033583147,0.0053540035,0.9912877,0.0
ERR309582,0.003486912,0.0061488613,0.9903642,0.0
SRR2145521,0.003361289,0.005283088,0.9913556,0.0
SRR3053411,0.003362401,0.0052892896,0.99134827,0.0
SRR8605112,0.0033626042,0.005290943,0.9913464,0.0
ERR1689391,0.00336126,0.00528303,0.9913557,0.0
SRR6444883,0.003362719,0.0052934266,0.9913439,0.0
SRR5869954,0.00336126,0.00528303,0.9913558,0.0
ERR1331834,0.003363541,0.0052959933,0.9913405,0.0
SRR5457578,0.0074760234,0.9846743,0.0078497175,0.0
SRR2153709,0.0074760234,0.9846743,0.0078497175,0.0
SRR5221253,0.007478666,0.9846727,0.00784864,0.0
ERR209223,0.0033621104,0.005286602,0.9913513,0.0
ERR1905886,0.00336126,0.00528303,0.9913557,0.0
ERR1691683,0.00336126,0.00528303,0.9913557,0.0
ERR522368,0.0033654333,0.005312803,0.99132174,0.0
SRR3094767,0.00336205,0.0052872524,0.9913507,0.0
ERR2709811,0.00336126,0.00528303,0.9913557,0.0
SRR4414346,0.0074760234,0.9846743,0.0078497175,0.0
SRR4780275,0.0074760234,0.9846743,0.0078497175,0.0
ERR1678241,0.0033681581,0.005323749,0.99130803,0.0
SRR632541,0.0074760234,0.9846743,0.0078497175,0.0
SRR1258263,0.0074760234,0.9846743,0.0078497175,0.0
ERR1383482,0.0033638629,0.0052980315,0.99133813,0.0
ERR1135392,0.003365231,0.0053092847,0.9913255,0.0
SRR994583,0.0033472613,0.005459886,0.99119294,0.0
ERR1691345,0.00336126,0.00528303,0.9913557,0.0
SRR920970,0.00336126,0.00528303,0.9913557,0.0
SRR1175852,0.0033617564,0.005286249,0.991352,0.0
ERR1522243,0.0033607495,0.005288562,0.9913507,0.0
SRR8605180,0.003361874,0.005286396,0.9913517,0.0
ERR1533560,0.0033595813,0.005448443,0.9911919,0.0
ERR1135391,0.0033761323,0.0053747473,0.99124914,0.0
SRR6265302,0.0033664003,0.0053161345,0.9913175,0.0
ERR1310175,0.0033613194,0.0052830004,0.9913557,0.0
SRR2658295,0.0033613185,0.0052831476,0.9913556,0.0
ERR1523484,0.0034332823,0.0056852377,0.9908815,0.0
ERR1226491,0.003360205,0.0052969623,0.99134284,0.0
ERR444473,0.00336126,0.00528303,0.9913557,0.0
ERR1263382,0.0033871823,0.005694374,0.99091846,0.0
SRR4414701,0.0074760234,0.9846743,0.007849688,0.0
ERR1385258,0.0033742979,0.0053165546,0.9913091,0.0
ERR1897335,0.0074760234,0.9846743,0.0078497175,0.0
SRR5827467,0.007771178,0.98451006,0.007718654,0.0
SRR5177422,0.0074760234,0.9846743,0.0078497175,0.0
SRR995297,0.00336126,0.00528303,0.9913558,0.0
ERR1913310,0.0033613185,0.0052830586,0.9913556,0.0
ERR1298067,0.003361348,0.0052831476,0.9913555,0.0
ERR531881,0.0033687006,0.0053054052,0.99132586,0.0
ERR450737,0.00336126,0.00528303,0.9913557,0.0
ERR3040032,0.00336126,0.00528303,0.9913557,0.0
ERR1855273,0.0074760234,0.9846743,0.0078497175,0.0
SRR3403842,0.00336126,0.00528303,0.9913557,0.0
SRR2668769,0.0074760234,0.9846743,0.0078497175,0.0
ERR498601,0.0033619597,0.0052880505,0.99135,0.0
ERR719922,0.0033639013,0.0052933325,0.9913427,0.0
ERR1383541,0.0033627218,0.005291445,0.9913458,0.0
SRR5210783,0.003358382,0.0054421267,0.9911995,0.0
SRR1371389,0.0074760234,0.9846743,0.0078497175,0.0
ERR1582117,0.0074760234,0.9846743,0.0078497175,0.0
DRR050871,0.003361348,0.005283355,0.99135536,0.0
ERR1398089,0.003362287,0.0052870447,0.99135065,0.0
ERR1310557,0.0033625162,0.005290678,0.9913468,0.0
SRR6367247,0.003362311,0.005289644,0.99134797,0.0
ERR1256414,0.0033617623,0.005283383,0.9913549,0.0
SRR7448594,0.0033613185,0.005283177,0.99135554,0.0
SRR6028447,0.0033642978,0.005302225,0.9913335,0.0
SRR3995675,0.0074760234,0.9846743,0.0078497175,0.0
DRR050827,0.0033613779,0.005283177,0.9913555,0.0
ERR1263423,0.0033628603,0.005297091,0.99134004,0.0
ERR1691762,0.0033613185,0.0052830586,0.9913556,0.0
SRR4300288,0.0074765296,0.98467416,0.00784942,0.0
SRR6004962,0.0074760234,0.9846743,0.0078497175,0.0
SRR8605287,0.0033642994,0.005301249,0.99133444,0.0
SRR5180495,0.0074760234,0.9846743,0.0078497175,0.0
SRR2761279,0.0033617215,0.00528956,0.99134874,0.0
ERR526023,0.0033614652,0.0052837674,0.99135476,0.0
DRR043955,0.00336126,0.00528303,0.9913557,0.0
ERR1897529,0.0074760234,0.9846743,0.0078497175,0.0
ERR878268,0.0033552442,0.0055974177,0.9910473,0.0
ERR1743314,0.0074760234,0.9846743,0.0078497175,0.0
SRR2130165,0.0074760234,0.9846743,0.0078497175,0.0
SRR6931624,0.00336126,0.00528303,0.9913557,0.0
SRR3933914,0.0033705733,0.0053495816,0.9912799,0.0
ERR1654710,0.0033618745,0.0052863075,0.9913519,0.0
ERR441255,0.00336126,0.00528303,0.9913557,0.0
ERR719285,0.0033613767,0.0052837087,0.9913549,0.0
SRR1618215,0.003361377,0.0052835313,0.9913551,0.0
SRR7449096,0.0033612594,0.0052833846,0.99135536,0.0
ERR567269,0.003378666,0.005653542,0.9909678,0.0
SRR6745342,0.0074760234,0.9846743,0.0078497175,0.0
SRR6058700,0.0074760234,0.9846743,0.0078497175,0.0
ERR719851,0.00339729,0.005498074,0.9911047,0.0
ERR695417,0.0033645236,0.0053086686,0.9913268,0.0
ERR2511887,0.003366222,0.005316697,0.99131703,0.0
ERR1263208,0.0033616365,0.005287136,0.99135125,0.0
SRR5915443,0.0074760234,0.9846743,0.0078497175,0.0
ERR500282,0.00336126,0.00528303,0.9913557,0.0
SRR5180575,0.0074760234,0.9846743,0.0078497175,0.0
ERR520786,0.003362282,0.0052898224,0.9913479,0.0
ERR1474566,0.0033620468,0.005289233,0.99134874,0.0
SRR976692,0.00336126,0.00528303,0.9913558,0.0
SRR5868712,0.003361258,0.0052842423,0.9913545,0.0
SRR6028570,0.0033613779,0.0052831476,0.99135554,0.0
ERR531476,0.0033613185,0.005283088,0.99135554,0.0
SRR8610191,0.0033812544,0.00539948,0.9912193,0.0
SRR5983289,0.00336126,0.00528303,0.9913557,0.0
SRR3951194,0.0033907534,0.0060734986,0.99053574,0.0
SRR976657,0.003362166,0.005288108,0.9913497,0.0
ERR1314051,0.0033666391,0.0053000315,0.9913333,0.0
ERR539098,0.0074760234,0.9846743,0.0078497175,0.0
SRR6038506,0.003362283,0.005289024,0.9913487,0.0
ERR1383242,0.0033668117,0.0053179963,0.99131525,0.0
SRR8605537,0.0033613185,0.0052831476,0.99135554,0.0
SRR6411603,0.0033613478,0.0052834433,0.99135524,0.0
SRR2057942,0.0074760234,0.9846743,0.0078497175,0.0
SRR8610269,0.0033613178,0.005283383,0.99135524,0.0
SRR921105,0.0033612305,0.005283119,0.9913557,0.0
ERR1256580,0.00336126,0.00528303,0.9913557,0.0
SRR3581160,0.0033758099,0.0053640716,0.9912602,0.0
SRR8608271,0.003361377,0.005283561,0.991355,0.0
ERR1582498,0.0074760234,0.9846743,0.0078497175,0.0
SRR5180735,0.0074760234,0.9846743,0.0078497175,0.0
ERR539397,0.0074760234,0.9846743,0.0078497175,0.0
SRR6148430,0.0033613194,0.0052830004,0.9913557,0.0
ERR1201392,0.8228557,0.08137644,0.095767885,0.0
ERR1593337,0.007477424,0.9846725,0.007850017,0.0
SRR886323,0.007476113,0.98467416,0.007849658,0.0
SRR1624804,0.0033611392,0.005284864,0.99135405,0.0
ERR1368507,0.0034126686,0.005648904,0.99093837,0.0
SRR5156203,0.0074760234,0.9846743,0.0078497175,0.0
DRR024027,0.003361348,0.0052831476,0.99135554,0.0
SRR5467890,0.0033686017,0.0053418386,0.99128956,0.0
SRR3633500,0.0074760234,0.9846743,0.0078497175,0.0
ERR2442797,0.00336126,0.00528303,0.9913557,0.0
ERR923714,0.00336126,0.00528303,0.9913557,0.0
DRR047774,0.003361377,0.00528362,0.991355,0.0
SRR6145503,0.0074766767,0.9846739,0.007849389,0.0
ERR1548967,0.003361318,0.005283384,0.9913553,0.0
SRR5349110,0.0074760234,0.9846743,0.007849688,0.0
ERR1624622,0.00336126,0.00528303,0.9913557,0.0
ERR1690962,0.00336126,0.00528303,0.9913558,0.0
SRR5181118,0.0074760234,0.9846743,0.0078497175,0.0
SRR3063279,0.0074760234,0.9846743,0.0078497175,0.0
SRR7449204,0.0033612945,0.005298166,0.99134046,0.0
ERR275284,0.0034455063,0.0058259023,0.9907286,0.0
SRR882207,0.0074760234,0.9846743,0.0078497175,0.0
ERR1913107,0.0033868859,0.0053564715,0.9912566,0.0
ERR2729956,0.8228557,0.081376374,0.09576793,0.0
SRR1747670,0.0074760234,0.9846743,0.0078497175,0.0
SRR2924474,0.0033652396,0.0053408574,0.99129385,0.0
