,root:Engineered,root:Environmental,root:Host-associated,Unknown
SRR4054232,0.0068887724,0.986918,0.006193338,0.0
ERR658178,0.0068887724,0.986918,0.006193338,0.0
DRR047896,0.0028854772,0.0042229267,0.99289167,0.0
ERR719083,0.0028854772,0.0042228377,0.99289167,0.0
SRR994658,0.0028855088,0.0042219213,0.9928926,0.0
ERR1533677,0.002889313,0.00433655,0.9927742,0.0
SRR649467,0.006806771,0.98684055,0.006352673,0.0
DRR047632,0.002885315,0.0042300853,0.9928846,0.0
SRR3742090,0.0068887724,0.986918,0.006193338,0.0
SRR7453678,0.0028855084,0.0042220685,0.9928924,0.0
ERR1913074,0.0028854182,0.0042227493,0.99289185,0.0
SRR6414409,0.002885408,0.0042279847,0.9928866,0.0
ERR1523799,0.002885507,0.004222808,0.99289167,0.0
SRR2761207,0.0028855084,0.0042221574,0.9928924,0.0
ERR1315457,0.0028854413,0.004226032,0.9928885,0.0
ERR1310930,0.0028855084,0.0042220983,0.99289244,0.0
ERR2495587,0.0028855088,0.0042219507,0.9928926,0.0
SRR5831843,0.0028855577,0.00430658,0.9928078,0.0
SRR6931852,0.0028855088,0.0042219213,0.9928926,0.0
SRR6975897,0.0068887724,0.986918,0.006193338,0.0
ERR1311253,0.002885508,0.0042223944,0.99289215,0.0
ERR365959,0.0028852723,0.004237214,0.99287754,0.0
SRR8609374,0.002872133,0.0051937317,0.9919342,0.0
SRR5902394,0.0068887724,0.986918,0.006193338,0.0
ERR1736272,0.00288766,0.004331579,0.9927808,0.0
SRR6901943,0.8503648,0.078580774,0.07105432,0.0
ERR866643,0.0028855086,0.004222039,0.9928925,0.0
ERR1103138,0.006888713,0.986918,0.006193308,0.0
SRR5179752,0.0068888636,0.9869175,0.0061936965,0.0
ERR2739113,0.002885441,0.0042261505,0.9928884,0.0
ERR1298098,0.0028855088,0.0042219213,0.9928926,0.0
SRR5916451,0.0068887724,0.986918,0.0061932486,0.0
SRR6005050,0.0068887733,0.9869179,0.0061933384,0.0
SRR062191,0.0068887724,0.986918,0.006193338,0.0
SRR2034605,0.0068887146,0.9869181,0.0061932798,0.0
ERR579577,0.0028855088,0.0042219213,0.9928926,0.0
ERR1522882,0.0028855365,0.0042229267,0.9928916,0.0
SRR6429180,0.006886656,0.98691636,0.006196961,0.0
ERR1897429,0.0068887724,0.986918,0.006193338,0.0
DRR042715,0.0028854087,0.004227689,0.99288696,0.0
SRR994452,0.0028855088,0.0042219213,0.9928926,0.0
SRR387957,0.0028858653,0.004306537,0.99280757,0.0
ERR1383326,0.002888655,0.004521796,0.9925896,0.0
ERR996181,0.0028855088,0.0042219213,0.9928926,0.0
SRR1778120,0.006888655,0.98691803,0.006193399,0.0
SRR4826836,0.006894716,0.9868398,0.0062655215,0.0
SRR6932028,0.0028855088,0.0042219213,0.9928926,0.0
ERR1689110,0.0028855088,0.0042219213,0.9928926,0.0
SRR980689,0.00688869,0.9869172,0.0061941473,0.0
ERR658173,0.006888743,0.986918,0.0061932188,0.0
SRR1286268,0.0068887724,0.986918,0.006193338,0.0
SRR996557,0.0028855088,0.0042219213,0.9928926,0.0
DRR043940,0.0028854765,0.0042231036,0.9928914,0.0
ERR1311432,0.0028854972,0.0042276885,0.99288684,0.0
SRR6932340,0.0028855088,0.0042219213,0.9928926,0.0
ERR309181,0.002933638,0.0048396247,0.9922267,0.0
ERR2510954,0.0028854117,0.004226062,0.99288845,0.0
SRR3503309,0.0028854327,0.004265146,0.9928494,0.0
ERR500889,0.002885538,0.0042221574,0.9928924,0.0
ERR560671,0.0028852776,0.004298329,0.9928164,0.0
ERR756423,0.0028854464,0.0042235185,0.9928911,0.0
SRR994791,0.0028855088,0.0042219213,0.9928926,0.0
ERR1521915,0.0028855084,0.0042220983,0.9928924,0.0
ERR1201245,0.00289061,0.004645639,0.99246377,0.0
ERR1298086,0.0028855088,0.0042219213,0.9928926,0.0
SRR5178938,0.0068887724,0.986918,0.006193338,0.0
ERR1135470,0.002885187,0.0044725114,0.99264234,0.0
SRR2163534,0.0028852855,0.004246415,0.99286824,0.0
SRR8605406,0.0028855086,0.004221921,0.9928926,0.0
ERR2709779,0.0028855088,0.0042219213,0.9928926,0.0
ERR1581976,0.006888097,0.98691744,0.0061944765,0.0
ERR441851,0.0028855088,0.0042219213,0.9928926,0.0
SRR636593,0.0068887724,0.986918,0.0061932486,0.0
ERR3596494,0.002885204,0.004241176,0.9928736,0.0
SRR5915438,0.0068887724,0.986918,0.006193308,0.0
ERR1583204,0.0068887724,0.986918,0.006193338,0.0
ERR924323,0.0028855088,0.0042219213,0.9928926,0.0
SRR1704183,0.0028855088,0.0042219213,0.9928926,0.0
SRR5486587,0.0068868836,0.9869135,0.006199597,0.0
SRR6931207,0.0028855088,0.0042219213,0.9928926,0.0
SRR7015928,0.0068887724,0.986918,0.0061932486,0.0
SRR4384481,0.0068887724,0.986918,0.006193338,0.0
SRR5097536,0.006905532,0.98684824,0.0062462445,0.0
SRR3144706,0.006886731,0.98691416,0.006199028,0.0
SRR2922952,0.0028855375,0.004222305,0.9928922,0.0
SRR6409058,0.0028855088,0.0042219507,0.9928926,0.0
SRR6745996,0.0068887724,0.986918,0.006193338,0.0
SRR1747467,0.0068887724,0.986918,0.006193338,0.0
SRR4415158,0.006888713,0.9869179,0.0061933678,0.0
SRR2145358,0.002885477,0.004223104,0.99289143,0.0
ERR1897209,0.0068887137,0.98691803,0.0061933086,0.0
ERR2738770,0.0028854779,0.0042225122,0.992892,0.0
SRR7741841,0.0068887724,0.986918,0.006193338,0.0
SRR3589563,0.006895889,0.98687446,0.0062296777,0.0
SRR4415129,0.006887774,0.986917,0.006195224,0.0
ERR514688,0.002888668,0.004330214,0.9927811,0.0
SRR1200783,0.0068887724,0.986918,0.006193338,0.0
SRR2006413,0.002885383,0.0042256187,0.992889,0.0
SRR7448820,0.0028855086,0.00422198,0.9928925,0.0
ERR1315199,0.00288547,0.004226654,0.99288785,0.0
ERR1298364,0.0028855088,0.0042219213,0.9928926,0.0
ERR365919,0.0028850946,0.0042838906,0.99283093,0.0
SRR5431379,0.002885223,0.0042478936,0.9928669,0.0
ERR719594,0.0028853628,0.0042361193,0.99287856,0.0
SRR6932093,0.0028855084,0.0042219497,0.9928925,0.0
SRR6745334,0.0068887724,0.986918,0.006193338,0.0
ERR521417,0.0028852874,0.0042447867,0.9928699,0.0
ERR365944,0.0028852937,0.0042413846,0.9928734,0.0
SRR5406972,0.0068887724,0.986918,0.006193338,0.0
ERR2286298,0.0028855088,0.0042219213,0.9928926,0.0
ERR451262,0.0028855088,0.0042219213,0.9928926,0.0
ERR1905649,0.0028855088,0.0042219213,0.9928926,0.0
SRR2168057,0.0068887724,0.986918,0.006193338,0.0
SRR924060,0.0028855375,0.004222216,0.99289227,0.0
ERR1428590,0.0028855088,0.0042219213,0.9928926,0.0
SRR942601,0.0031875968,0.9167292,0.06584194,0.014241219
SRR3884211,0.006887746,0.98691684,0.0061953743,0.0
SRR1279337,0.0068887724,0.986918,0.006193338,0.0
SRR3737407,0.0068887724,0.986918,0.006193338,0.0
SRR6411800,0.0028854182,0.004222838,0.9928918,0.0
SRR3938024,0.0029474034,0.0045954,0.99245715,0.0
ERR1677219,0.0028855088,0.0042219213,0.9928926,0.0
SRR7453700,0.0028854087,0.0042275405,0.9928871,0.0
ERR1535952,0.0068887724,0.986918,0.006193338,0.0
SRR2549688,0.0068888348,0.98691744,0.006193727,0.0
ERR1593539,0.006888596,0.98691773,0.0061936965,0.0
DRR060084,0.0068887724,0.986918,0.006193338,0.0
SRR3362187,0.0028852068,0.0042559975,0.9928588,0.0
SRR2897300,0.002887363,0.004256844,0.99285585,0.0
SRR1067972,0.0068882434,0.9869176,0.0061941766,0.0
ERR338519,0.0028854068,0.0042287544,0.9928859,0.0
ERR765631,0.0028857589,0.0042302017,0.99288404,0.0
SRR803215,0.0068887724,0.986918,0.006193338,0.0
ERR1313354,0.0028852988,0.0042389003,0.9928758,0.0
SRR3098339,0.006888508,0.98691785,0.006193668,0.0
ERR981225,0.0028854485,0.0042224536,0.99289215,0.0
ERR525937,0.0028855088,0.0042219213,0.9928926,0.0
SRR1948900,0.0028855086,0.00422195,0.99289256,0.0
SRR5527143,0.006778948,0.9865705,0.00665057,0.0
SRR5176080,0.006888659,0.9869172,0.0061941165,0.0
SRR8611351,0.0028855088,0.0042219213,0.9928926,0.0
SRR6264107,0.0028853705,0.004232185,0.99288243,0.0
SRR8611332,0.0028855088,0.0042219213,0.9928926,0.0
SRR6054494,0.002885416,0.004224021,0.9928906,0.0
ERR1523098,0.002885375,0.0042296704,0.99288493,0.0
SRR1948956,0.0028854779,0.004222483,0.992892,0.0
ERR1677023,0.0028855088,0.0042219213,0.9928926,0.0
SRR5915457,0.0068878313,0.9869173,0.0061948053,0.0
SRR4341460,0.0068886257,0.98691773,0.0061936667,0.0
SRR5002166,0.0068887724,0.986918,0.006193338,0.0
ERR1385368,0.0028853463,0.0042291973,0.9928854,0.0
DRR048057,0.0028855088,0.0042219213,0.9928926,0.0
SRR6457093,0.006888713,0.98691785,0.0061933976,0.0
SRR1922853,0.0028854446,0.004224524,0.99289,0.0
SRR1246243,0.0067942445,0.98678285,0.006422899,0.0
SRR2074943,0.0068887724,0.986918,0.006193338,0.0
ERR499475,0.0028854152,0.004224465,0.9928901,0.0
SRR995568,0.0028855088,0.0042219213,0.9928926,0.0
ERR2187952,0.0028855088,0.0042219213,0.9928926,0.0
ERR1383774,0.0028851035,0.004263481,0.9928514,0.0
ERR1256204,0.0028855086,0.00422198,0.9928925,0.0
SRR6932287,0.0028852765,0.0042512966,0.9928634,0.0
SRR6028221,0.002885378,0.004228251,0.99288636,0.0
ERR1513395,0.0025048554,0.5477257,0.39166206,0.058107436
SRR6413939,0.0028855088,0.0042219507,0.9928926,0.0
ERR1762122,0.00288521,0.004253095,0.9928617,0.0
SRR6058699,0.006888832,0.9869179,0.0061932784,0.0
ERR883618,0.0028852753,0.004235498,0.9928793,0.0
ERR1896850,0.0027613332,0.017561179,0.97967744,0.0
SRR920208,0.0028855088,0.0042219213,0.9928926,0.0
ERR1689694,0.0028855088,0.0042219213,0.9928926,0.0
ERR1428764,0.0028855088,0.0042219213,0.9928926,0.0
SRR6394175,0.0028854285,0.004233251,0.99288124,0.0
SRR3732496,0.0028855088,0.0042219213,0.9928926,0.0
ERR1256035,0.002885507,0.004222808,0.99289167,0.0
ERR501003,0.0028851714,0.0042591332,0.99285567,0.0
ERR2043333,0.0068873065,0.9869165,0.0061962134,0.0
SRR6975972,0.0068887724,0.986918,0.006193338,0.0
ERR500867,0.0028855088,0.0042219213,0.9928926,0.0
ERR2595811,0.0029003697,0.0047195577,0.9923801,0.0
SRR3633332,0.0068818764,0.9869116,0.006206575,0.0
SRR5514604,0.006888508,0.9869176,0.0061938763,0.0
ERR499970,0.0028855088,0.0042219213,0.9928926,0.0
ERR531481,0.0028854704,0.0042264466,0.9928881,0.0
SRR6264956,0.0028854215,0.004237275,0.99287736,0.0
ERR520700,0.0028850907,0.004301727,0.9928131,0.0
SRR995545,0.0028855088,0.0042219213,0.9928926,0.0
ERR2002287,0.002885477,0.004222956,0.99289155,0.0
SRR7902268,0.0028854138,0.004224997,0.9928895,0.0
ERR1523266,0.0028308693,0.009504173,0.98766494,0.0
ERR923711,0.0028855088,0.0042219213,0.9928926,0.0
SRR1258265,0.0068887724,0.986918,0.006193338,0.0
SRR6408889,0.0028854462,0.004223666,0.99289095,0.0
SRR6444934,0.0028852667,0.0042400537,0.9928746,0.0
SRR5915212,0.0068878615,0.9869172,0.0061949845,0.0
ERR459281,0.8503649,0.078580536,0.071054526,0.0
ERR1523837,0.0028855375,0.004222216,0.99289227,0.0
SRR2154904,0.002905871,0.0049658446,0.9921283,0.0
ERR1256319,0.0028855088,0.0042219213,0.9928926,0.0
SRR835395,0.0068853414,0.9869105,0.0062041203,0.0
SRR6414173,0.002885438,0.004227896,0.9928867,0.0
SRR1460646,0.0068887724,0.986918,0.006193338,0.0
SRR3741950,0.0068887724,0.986918,0.006193338,0.0
SRR1922965,0.0028855088,0.0042219507,0.9928926,0.0
SRR7449081,0.002885538,0.0042221574,0.9928924,0.0
ERR500273,0.0028855088,0.0042219213,0.9928926,0.0
ERR2261979,0.0057246983,0.98495257,0.008862555,0.00046020746
ERR2003090,0.0028855088,0.0042219213,0.9928926,0.0
ERR3605937,0.0029152648,0.0046174447,0.99246734,0.0
SRR996136,0.0028855088,0.0042219213,0.9928926,0.0
SRR6028250,0.0028853694,0.0042328956,0.9928817,0.0
SRR3633391,0.0068887724,0.986918,0.006193338,0.0
SRR5566482,0.0032773013,0.0041583595,0.9925643,0.0
SRR7584586,0.0029944887,0.0050723664,0.9919331,0.0
SRR2086941,0.0028855375,0.004222127,0.9928923,0.0
SRR6436904,0.0028864043,0.0043907063,0.9927228,0.0
SRR5178876,0.0068887724,0.986918,0.006193338,0.0
SRR2053288,0.0068887724,0.986918,0.006193338,0.0
