,root:Engineered,root:Environmental,root:Host-associated
SRR6408703,0.0016174371,0.003654472,0.99472815
SRR7081317,0.003582235,0.9759754,0.020442363
SRR5915497,0.0035743231,0.9760317,0.020393936
ERR1384959,0.0017013308,0.0036106764,0.99468803
ERR2511521,0.0017404658,0.0035613459,0.99469817
SRR7081366,0.0035745802,0.9760307,0.020394804
SRR3037325,0.0017152915,0.0035797814,0.9947049
SRR3053341,0.001694906,0.003585484,0.9947196
SRR1715587,0.0016094026,0.0036626952,0.9947279
SRR1949112,0.0016315546,0.0036564488,0.994712
ERR1512344,0.0035743346,0.9760316,0.020394038
ERR1522741,0.013656505,0.8479829,0.13836057
ERR1428364,0.0016153002,0.0036611932,0.99472356
ERR499268,0.0016711073,0.003600093,0.99472886
SRR7901903,0.013567024,0.8476298,0.13880315
SRR6931950,0.0016100343,0.0036625431,0.99472743
ERR522403,0.0016788853,0.003603484,0.99471766
ERR209454,0.0018469504,0.0034485047,0.99470454
ERR866688,0.001678865,0.003601307,0.99471986
ERR2729837,0.82857454,0.055690788,0.11573466
ERR2188011,0.0016088876,0.0036638388,0.9947273
ERR2198087,0.001710811,0.0035653643,0.9947238
SRR5275486,0.0035741879,0.976033,0.020392869
SRR5415590,0.0016733117,0.0036042663,0.9947225
SRR1632812,0.0019263353,0.0037060366,0.99436766
ERR209784,0.0017482868,0.0035355606,0.9947161
SRR7449494,0.0016895218,0.0036258467,0.99468464
ERR1462868,0.01150043,0.043332256,0.94516736
ERR2709765,0.0017376915,0.003603768,0.9946585
SRR5525173,0.0016126992,0.0036616286,0.99472564
ERR906562,0.0016684203,0.0036486022,0.99468297
ERR1533555,0.0018037669,0.0036879226,0.9945083
SRR1027970,0.0035743236,0.9760324,0.020393234
SRR5177353,0.0035741879,0.976033,0.020392869
ERR1298307,0.0016170914,0.003660256,0.9947227
SRR632419,0.0035742011,0.97603285,0.020392958
SRR2005638,0.0021222008,0.004041419,0.99383634
ERR441558,0.0016214747,0.0036511533,0.99472743
SRR6663506,0.0035741879,0.976033,0.020392869
SRR505229,0.0016901026,0.003592571,0.9947173
SRR1299257,0.0016735801,0.00360563,0.9947208
SRR7448628,0.0020172105,0.00478245,0.99320036
ERR2511830,0.0017023371,0.0036333306,0.9946643
SRR3214680,0.0016128708,0.0036584807,0.9947286
SRR6746177,0.0035883544,0.97590536,0.020506388
SRR6408622,0.0016093663,0.0036624344,0.99472827
SRR6746486,0.0035741879,0.976033,0.020392869
SRR935504,0.0016087911,0.0036628456,0.9947284
SRR6058701,0.0035741879,0.976033,0.020392869
SRR2053282,0.0035743346,0.9760316,0.020394038
SRR5902483,0.0035741914,0.976033,0.02039287
ERR1385106,0.0017590963,0.0035334902,0.99470735
ERR499881,0.001610509,0.0036624195,0.9947271
ERR308555,0.0017031428,0.003614377,0.9946825
ERR1382812,0.0017026288,0.0035736465,0.9947238
ERR1690108,0.0016685432,0.003604569,0.99472684
SRR1811555,0.0035767518,0.97601056,0.020412765
SRR7449429,0.0016432474,0.0036409348,0.99471587
ERR107002,0.0017303717,0.0035573284,0.99471235
SRR835401,0.0035742258,0.9760331,0.02039274
ERR1582159,0.0035742274,0.9760326,0.02039317
DRR070531,0.0035741928,0.97603285,0.020392898
SRR5568781,0.003574392,0.976031,0.020394502
SRR6394176,0.0016925859,0.0036488536,0.9946585
SRR7448974,0.0016519405,0.003646302,0.9947017
SRR7454157,0.0016284396,0.0036574851,0.9947141
SRR5822904,0.0017583171,0.0035955152,0.99464613
SRR5165872,0.0016241585,0.0036544038,0.9947214
SRR5179949,0.0035741944,0.97603285,0.02039289
ERR2739131,0.0016093123,0.003662226,0.9947285
SRR7449132,0.0022509478,0.0054420102,0.992307
ERR765673,0.001637896,0.0036541228,0.99470794
SRR6745840,0.0035741879,0.976033,0.020392869
SRR2086746,0.0016124506,0.0036615932,0.994726
SRR959955,0.003574161,0.9760331,0.020392768
SRR5176207,0.0035743664,0.9760324,0.02039324
SRR3995663,0.0035742028,0.97603285,0.020392979
ERR500879,0.0016103786,0.0036624304,0.9947272
SRR3053434,0.0016877053,0.0035896706,0.9947226
SRR6411892,0.0016131116,0.0036586986,0.99472815
ERR1263429,0.0016263879,0.0036566658,0.99471694
SRR7901969,0.013567024,0.8476298,0.13880315
SRR5467872,0.0016231629,0.003650675,0.9947261
SRR8610925,0.008524371,0.026211327,0.96526426
SRR2658718,0.0016721762,0.003612796,0.99471503
SRR2297155,0.003578635,0.9760356,0.020385766
ERR1690871,0.0016889604,0.0035841973,0.99472684
ERR1677175,0.0016306407,0.0036397078,0.99472964
SRR5467998,0.001624613,0.0036494213,0.994726
SRR5902532,0.003574422,0.9760308,0.020394748
SRR8609703,0.0074528162,0.023427745,0.9691195
ERR2739234,0.001608844,0.0036627355,0.9947284
ERR1314451,0.001630944,0.003647575,0.99472153
SRR3053276,0.0016917207,0.0035849605,0.9947233
ERR522590,0.0017431738,0.0035403767,0.99471647
DRR030527,0.00160873,0.0036628197,0.9947285
SRR1119091,0.0035741879,0.976033,0.020392869
ERR499236,0.0016277541,0.0036511163,0.9947212
SRR1631716,0.0016085812,0.003662907,0.9947285
ERR1522825,0.013563201,0.84768796,0.13874885
ERR1256392,0.0016230155,0.0036567196,0.9947202
DRR042885,0.0016337299,0.0036399127,0.99472636
SRR5196416,0.0016127403,0.0036618547,0.9947254
SRR7454175,0.001634047,0.0036555778,0.9947103
ERR1522592,0.0023984031,0.0040749605,0.9935267
SRR5181069,0.0035742242,0.9760326,0.020393163
SRR1950784,0.001608641,0.0036628947,0.9947285
SRR6414413,0.0016089584,0.0036627145,0.9947284
ERR2729955,0.8281097,0.05840192,0.1134884
SRR5570779,0.003581699,0.97596526,0.020453101
SRR1805152,0.0035741879,0.976033,0.020392869
SRR1346085,0.00358734,0.9759142,0.02049858
SRR5176161,0.0035742028,0.97603285,0.02039289
ERR380976,0.00319343,0.008304677,0.9885019
SRR6028391,0.0016185043,0.003657049,0.99472445
ERR1548988,0.0019190236,0.0034341502,0.99464685
ERR1913047,0.0016263082,0.0036448895,0.99472886
SRR6414003,0.0016158889,0.0036680102,0.9947161
ERR1529646,0.001623675,0.0036560362,0.9947202
ERR1689941,0.0016258886,0.0036476625,0.9947265
DRR047754,0.0016138505,0.0036583901,0.9947278
ERR1533874,0.0017661303,0.003645518,0.9945884
