,root:Engineered:Wastewater,root:Environmental:Aquatic,root:Environmental:Terrestrial,root:Host-associated:Human,root:Host-associated:Insecta,root:Host-associated:Mammals,root:Host-associated:Plants,Unknown
ERR1398136,0.0008284749,0.0006870736,0.0013508576,0.9908406,0.0013509764,0.0037085458,0.0012333995,0.0
SRR5831876,0.00088663044,0.00071349175,0.0013957117,0.9904872,0.0014296563,0.0037395877,0.0013477198,0.0
SRR5699389,0.0008241657,0.000669022,0.0013666191,0.99095327,0.0013488859,0.0036422089,0.0011959106,0.0
ERR1533779,0.003349294,0.0065978304,0.0005009111,0.01975731,0.0007123821,0.9624792,0.006602999,0.0
SRR2658716,0.0005485118,0.026046874,0.00012279161,0.66828567,0.0005997718,0.17460047,0.0016524793,0.12814344
ERR2762977,0.0033858262,0.006698425,0.0005558648,0.015018325,0.0006546455,0.9663185,0.007368414,0.0
SRR3191020,0.00082389975,0.0006695578,0.0013661165,0.99095076,0.0013481455,0.0036448585,0.0011966849,0.0
ERR2001848,0.00082419533,0.0006690219,0.001366619,0.99095315,0.0013488857,0.0036422678,0.0011959105,0.0
ERR107022,0.0008242852,0.00066914136,0.0013664421,0.9909519,0.0013490058,0.003642598,0.0011966542,0.0
SRR6932118,0.00082419533,0.00066899223,0.0013666487,0.990953,0.0013489155,0.0036422084,0.0011960292,0.0
SRR6028646,0.0008295139,0.00067540957,0.0013655226,0.9909218,0.0013627898,0.0036397201,0.0012052992,0.0
SRR2053275,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
ERR1328373,0.00082027866,0.0007451055,0.0013020702,0.99050903,0.0013111326,0.0039888415,0.0013235228,0.0
SRR2006392,0.0009425596,0.00080439623,0.0016208325,0.98987734,0.0014761746,0.0038374963,0.0014412408,0.0
SRR7448718,0.00082422514,0.0006689626,0.0013666191,0.99095315,0.0013488266,0.0036422089,0.0011960294,0.0
SRR2145365,0.00082389935,0.00066949805,0.0013662643,0.99095124,0.0013482935,0.0036442627,0.0011965358,0.0
ERR1582947,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
SRR6056095,0.005044937,0.80649424,0.0003232658,0.11250156,0.0049272776,0.0070352554,0.00019800663,0.06347543
SRR1949206,0.000829217,0.0006797922,0.0013818006,0.9908941,0.0013511494,0.0036569424,0.0012070411,0.0
SRR4826711,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
SRR5181372,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
ERR1594028,0.010847506,0.0131909195,0.943774,0.012658906,0.003145153,6.756567e-05,0.016315967,0.0
ERR466743,0.0033758152,0.006439961,0.00049967016,0.022636421,0.00074406824,0.9599649,0.0063392157,0.0
ERR1760111,0.0008244352,0.0006693505,0.0013661772,0.9909495,0.0013489488,0.0036436738,0.0011978742,0.0
SRR1067950,0.0009322294,0.9879796,0.0030023612,0.0009216271,0.002806427,0.0018047761,0.0025529838,0.0
SRR2054539,0.010847398,0.013193083,0.9437744,0.012655585,0.0031447094,6.757212e-05,0.01631722,0.0
ERR2001932,0.00082419533,0.0006690219,0.001366619,0.99095315,0.0013488857,0.0036422678,0.0011959105,0.0
ERR1811130,0.0008263681,0.00070628687,0.0013339357,0.990734,0.0013396991,0.003796938,0.0012628435,0.0
ERR443460,0.00082419533,0.0006690219,0.001366619,0.99095315,0.0013488857,0.0036422678,0.0011959105,0.0
SRR7902341,0.02689474,0.0064469413,0.84073323,0.004478557,0.00713285,3.489339e-05,0.1142788,0.0
SRR5165786,0.00082419533,0.0006690219,0.001366619,0.99095315,0.0013488857,0.0036422678,0.0011959105,0.0
ERR500122,0.0008243746,0.0006691119,0.0013664425,0.9909521,0.0013492439,0.0036420648,0.001196714,0.0
SRR6663517,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
SRR873454,0.00052544475,0.005605638,0.00044682622,0.92096543,0.0004171133,0.026127607,0.02076748,0.025144458
SRR6398193,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
ERR1676992,0.00055737305,0.0039713425,0.008243902,0.00457767,0.0005748207,0.001849211,0.9802257,0.0
SRR3884248,0.0009322594,0.9879795,0.0030023917,0.00092159753,0.0028065466,0.0018047468,0.0025529845,0.0
SRR896571,0.0009332263,0.98797476,0.0030050573,0.00092405337,0.0028114726,0.0018016167,0.0025497763,0.0
SRR2761378,0.0008129353,0.00069206144,0.001346723,0.990849,0.0013184726,0.0037549613,0.0012258788,0.0
SRR504942,0.0008210908,0.00067479635,0.0013615933,0.99092716,0.0013405328,0.0036708184,0.001203922,0.0
SRR4414513,0.010847254,0.013193172,0.9437744,0.0126556745,0.0031446805,6.757097e-05,0.01631725,0.0
ERR3005996,0.000837983,0.00068174483,0.0013691629,0.9908618,0.0013795292,0.0036491407,0.0012206179,0.0
SRR5586694,0.000557373,0.003971312,0.008243871,0.004577699,0.0005748206,0.0018492703,0.98022556,0.0
DRR048235,0.00083812035,0.00067743455,0.0013799968,0.99086213,0.0013649083,0.003646676,0.0012307757,0.0
SRR994974,0.00082419533,0.0006690219,0.001366619,0.99095315,0.0013488857,0.0036422678,0.0011959105,0.0
SRR2097579,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
ERR2738802,0.0008241956,0.00066899246,0.0013665601,0.9909533,0.0013488863,0.00364218,0.0011959405,0.0
SRR5178881,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
SRR1426923,0.003389157,0.006696021,0.00055624393,0.01501401,0.00065490685,0.9663185,0.007371171,0.0
SRR944563,0.010847254,0.013193172,0.9437744,0.0126556745,0.0031446805,6.757097e-05,0.01631725,0.0
ERR1726014,0.84341913,0.0038432188,0.0930581,0.0065410286,0.015423616,0.034422204,0.0032926905,0.0
SRR3289539,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
SRR6451785,0.0008315647,0.00067437656,0.0013705847,0.99090636,0.0013658917,0.0036428927,0.001208347,0.0
ERR923613,0.00055737305,0.0039713425,0.008243902,0.00457767,0.0005748207,0.001849211,0.9802257,0.0
SRR994866,0.0008241068,0.0006692303,0.0013663823,0.9909522,0.0013486193,0.0036432506,0.0011962381,0.0
SRR6932256,0.00082419533,0.0006690219,0.001366619,0.99095315,0.0013488857,0.0036422678,0.0011959105,0.0
ERR1548877,0.00090932846,0.0031431913,0.0005363822,0.865843,0.0006251931,0.015537083,0.079705805,0.03369999
ERR1533539,0.0034114595,0.0066864346,0.0005606355,0.014987767,0.0006558694,0.96634424,0.007353541,0.0
ERR719663,0.0008523004,0.00072428747,0.0013340793,0.99057335,0.0013847318,0.003831237,0.001300004,0.0
SRR6265264,0.00082458626,0.00067000603,0.0013655577,0.990946,0.0013491907,0.0036453782,0.0011993037,0.0
SRR1145327,0.0008466009,0.0006964703,0.0013556605,0.9907268,0.001377078,0.0037282226,0.0012691885,0.0
DRR060273,0.0008241661,0.0006691411,0.0013664713,0.99095255,0.0013487381,0.0036427155,0.0011962082,0.0
ERR1913247,0.0008241658,0.00066908146,0.0013665599,0.990953,0.0013489455,0.0036421795,0.0011960593,0.0
ERR500008,0.00082419533,0.0006690219,0.0013665596,0.990953,0.0013489452,0.0036422084,0.0011960292,0.0
ERR567235,0.003386269,0.006698372,0.0005559533,0.015017752,0.00065467536,0.9663188,0.007368127,0.0
SRR2549656,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
SRR3098327,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
