,root:Host-associated:Human:Digestive_system:Large_intestine:Fecal,root:Host-associated:Human:Digestive_system:Oral:Periodontal_pockets,root:Host-associated:Human:Digestive_system:Oral:Saliva,root:Host-associated:Human:Digestive_system:Oral:Subgingival_plaque,root:Host-associated:Human:Digestive_system:Oral:Supragingival_plaque,root:Host-associated:Human:Digestive_system:Oral:Throat,root:Host-associated:Human:Digestive_system:Oral:buccal_mucosa,root:Host-associated:Human:Digestive_system:Oral:tongue_dorsum,root:Host-associated:Human:Reproductive_system:Vagina:posterior_fornix,root:Host-associated:Human:Respiratory_system:Nasopharyngeal:Nasal_cavity,root:Host-associated:Human:Respiratory_system:Nasopharyngeal:Pharynx,root:Host-associated:Human:Respiratory_system:Pulmonary_system:Sputum,Unknown
ERR2003118,0.99763966,5.8187245e-05,0.00026541948,0.00035971403,0.00016438961,2.3571352e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129374,8.2474624e-05,6.133186e-05,0.0009418726
SRR6028414,0.99763906,5.8175425e-05,0.00026541948,0.00035962462,0.00016444921,2.357052e-05,0.00010344764,0.00015541911,3.638439e-05,0.000108106586,8.246527e-05,6.1332445e-05,0.00094252825
ERR531824,0.9976405,5.8254762e-05,0.00026535988,0.00035971403,0.00016459823,2.3590557e-05,0.00010353587,0.00015547872,3.640584e-05,0.000108184664,8.246849e-05,6.141615e-05,0.0009404421
ERR1310275,0.99763966,5.8187634e-05,0.00026538968,0.00035971403,0.00016447902,2.357142e-05,0.00010347191,0.00015547872,3.6390844e-05,0.00010812989,8.2474624e-05,6.133233e-05,0.0009417534
SRR6394209,0.00014224648,0.0001514256,0.002697587,0.0009929538,0.0034622848,0.0003644824,0.0003489554,0.00011699771,9.554012e-05,0.0005380511,0.0011411905,0.000536263,0.989412
SRR994946,0.00027552247,1.7391003e-05,0.0003696978,9.324109e-05,0.0006802976,3.761228e-05,0.00015303493,4.856453e-05,2.9400699e-05,0.00013157725,0.00022730231,7.121925e-05,0.99786514
SRR6239875,0.011040032,4.995836e-05,0.0026555657,0.0037039518,0.00029566884,5.2413934e-06,0.00019749999,5.094443e-05,4.9018645e-06,2.3613697e-05,5.2250267e-05,0.0001146815,0.9818057
SRR346841,0.00049319863,0.00039196014,0.9363088,0.0027929842,0.00013062358,0.0006121099,0.0036563277,0.0004759431,0.00028839707,0.00029462576,0.00029364228,0.000117551215,0.054143846
ERR1971288,0.99763966,5.8187245e-05,0.00026541948,0.00035971403,0.00016438961,2.3571352e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129374,8.2474624e-05,6.133186e-05,0.0009418726
SRR3931535,0.00015419722,6.704698e-05,0.004401922,0.0002180636,0.0034463704,5.3149062e-05,0.00035747886,9.685826e-05,2.4850884e-05,0.00011706479,8.379122e-05,0.00011311099,0.9908661
DRR044018,0.00070959853,0.0002934401,0.9951725,0.0014766998,0.0005501034,0.00026515024,0.00038432493,0.00052017573,0.000119623415,0.0002720887,7.7726574e-05,0.00015854223,0.0
ERR498467,0.997643,5.833782e-05,0.00026541948,0.00035980344,0.00016453862,2.3602866e-05,0.00010357103,0.00015568733,3.64461e-05,0.0001083135,8.247093e-05,6.15226e-05,0.00093734264
SRR1617951,0.9976397,5.8188798e-05,0.00026541948,0.00035971403,0.00016447902,2.3571802e-05,0.00010347319,0.00015538931,3.6390986e-05,0.00010813071,8.2474464e-05,6.133385e-05,0.0009417534
SRR1743129,0.00068306923,0.005486965,0.33372164,0.022883862,0.00067538023,0.10103083,0.0052676797,0.0012252629,0.005446762,0.005749941,0.0020945966,0.1817548,0.33397925
ERR1255787,0.0007121513,0.00029285336,0.9951681,0.001477221,0.0005509241,0.000266141,0.00038424722,0.00052197825,0.0001195399,0.00027117378,7.7379606e-05,0.00015824923,0.0
ERR866498,0.99763966,5.8187245e-05,0.00026541948,0.00035971403,0.00016438961,2.3571352e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129374,8.2474624e-05,6.133186e-05,0.0009418726
SRR6038411,0.95324767,2.8666109e-05,0.00025179982,0.00042766333,5.294493e-05,3.4444172e-05,6.8786685e-05,0.0032808185,2.9595509e-05,7.089965e-05,0.00012388825,0.00012490153,0.042257905
SRR2010438,0.0004270598,0.0011561863,0.0058931937,0.0033483398,0.030934637,0.0019143621,0.9455428,0.00018780793,0.006633662,0.0012378369,0.0018290658,0.0008950896,0.0
ERR1384795,0.99763966,5.8188132e-05,0.00026538968,0.00035977364,0.00016447902,2.3571622e-05,0.0001034725,0.00015547872,3.639088e-05,0.0001081301,8.2474544e-05,6.133303e-05,0.0009416938
ERR2003145,0.99763966,5.8187245e-05,0.00026541948,0.00035971403,0.00016438961,2.3571352e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129476,8.2474624e-05,6.133186e-05,0.0009418726
ERR561605,0.99268866,2.4628469e-05,0.00014272332,0.00014266372,5.2489944e-05,2.0365522e-05,3.884721e-05,7.483884e-05,1.748198e-05,4.4351415e-05,5.1265168e-05,6.3779546e-05,0.0066378713
SRR6931188,0.0026846528,2.2103866e-05,0.0002488196,0.00035715103,0.0002695918,2.2301334e-05,8.739214e-05,4.5901896e-05,1.81279e-05,9.800149e-05,0.0002425313,0.00025188923,0.99565154
ERR1311514,0.99768674,6.066897e-05,0.00026845932,0.00035849214,0.00016403198,2.4523702e-05,0.00010500437,0.00016415119,3.7531838e-05,0.00011143428,8.2270846e-05,6.482088e-05,0.00087183714
ERR499479,0.99763966,5.818963e-05,0.00026541948,0.00035971403,0.00016438961,2.3571847e-05,0.000103473285,0.00015538931,3.6391575e-05,0.00010813226,8.2474544e-05,6.1334904e-05,0.0009418726
SRR6148439,0.00036606193,7.817034e-05,0.0018104613,0.00031152368,0.000472337,0.00039315224,0.0335176,2.6423775e-05,0.00033941865,0.0004695952,0.0013855994,0.00027784705,0.9605518
SRR6414359,0.00027543306,1.743649e-05,0.00037005544,9.339835e-05,0.0006814599,3.7815742e-05,0.00015318394,4.8930207e-05,2.948353e-05,0.0001320839,0.00022828579,7.148927e-05,0.99786097
SRR2154918,0.0077305883,0.026242958,0.008254618,0.92616034,0.013609963,0.00046757693,0.006575217,0.0004859284,0.0013221899,0.0005892731,0.0067049614,0.0018564371,0.0
SRR5178146,0.0008963364,0.025067177,0.016982503,0.53023064,0.0023790628,0.0015601105,0.40852553,0.00056104874,0.00971805,0.00065641396,0.0028452121,0.00057791185,0.0
ERR719606,0.99763966,5.8187245e-05,0.00026541948,0.00035971403,0.00016438961,2.3571352e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129374,8.2474624e-05,6.133186e-05,0.0009418726
SRR5869641,0.01899305,4.020435e-05,0.0012409687,0.0026825368,0.00017762184,6.2066447e-06,0.000117716016,0.000111044305,5.7272214e-06,2.2129534e-05,6.6044224e-05,0.00010591133,0.97643083
ERR499054,0.99763966,5.8187245e-05,0.00026541948,0.00035971403,0.00016447902,2.3571352e-05,0.00010347171,0.00015544891,3.6390673e-05,0.000108129476,8.2474624e-05,6.133192e-05,0.0009416938
ERR1311293,0.99745584,5.5533565e-05,0.0002579093,0.00034236908,0.00015518069,2.3429688e-05,9.824385e-05,0.00014781952,3.4812056e-05,0.000102462545,7.98822e-05,6.185777e-05,0.0011846423
ERR560673,0.99763805,5.816017e-05,0.00026530027,0.00035953522,0.00016438961,2.3569733e-05,0.000103416955,0.0001553595,3.637558e-05,0.000108075044,8.2451734e-05,6.133514e-05,0.00094395876
DRR030526,6.255625e-05,0.0004478693,0.0007391572,0.0092767775,0.9620821,0.0001938045,0.012194306,0.0010086596,0.00020906329,0.00037756562,0.00023850799,0.0005132556,0.01265645
ERR1960791,0.019435883,2.2535549e-05,0.00050354004,0.0011941195,3.084289e-05,4.4128246e-06,4.8904083e-05,0.00022396445,4.81293e-06,2.2314951e-05,9.7411845e-05,6.553058e-05,0.97834575
SRR6264187,0.99763966,5.8187354e-05,0.00026541948,0.00035971403,0.00016447902,2.3571374e-05,0.00010347171,0.00015538931,3.6390706e-05,0.000108129476,8.2474624e-05,6.133198e-05,0.0009417534
SRR7448846,0.00031027198,3.205973e-05,0.00038942695,0.0001514554,0.0004569888,0.00011155581,0.0006518066,8.1305465e-05,8.779997e-05,0.00030767918,0.0010323226,0.0001033926,0.99628395
SRR5467646,0.0001448691,4.8946593e-05,0.0015497805,0.00046578053,0.013052733,5.4649456e-05,0.0005854071,1.9383e-05,3.5670382e-05,0.00016051532,0.00013643505,0.00015479328,0.9835911
ERR1960774,0.0026875138,2.210277e-05,0.0002489984,0.00035724044,0.00026917458,2.2275444e-05,8.736139e-05,4.5955334e-05,1.8110655e-05,9.7893324e-05,0.00024226308,0.000251621,0.9956495
ERR2739291,0.9976396,5.8185356e-05,0.0002654791,0.00035965443,0.00016441941,2.3571218e-05,0.00010346786,0.00015541911,3.63897e-05,0.000108125765,8.2473125e-05,6.133198e-05,0.0009418726
