,root:Host-associated,Unknown
ERR2003118,0.9999758,2.4199486e-05
SRR6028414,0.9999758,2.4199486e-05
ERR531824,0.9999758,2.4199486e-05
ERR1310275,0.9999758,2.4199486e-05
SRR6394209,0.9999758,2.4199486e-05
SRR994946,0.9999758,2.4199486e-05
SRR6239875,0.9999758,2.4199486e-05
SRR346841,0.9999758,2.4199486e-05
ERR1971288,0.9999758,2.4199486e-05
SRR3931535,0.9999758,2.4199486e-05
DRR044018,0.9999758,2.4199486e-05
ERR498467,0.9999758,2.4199486e-05
SRR1617951,0.9999758,2.4199486e-05
SRR1743129,0.9999758,2.4199486e-05
ERR1255787,0.9999758,2.4199486e-05
ERR866498,0.9999758,2.4199486e-05
SRR6038411,0.9999758,2.4199486e-05
SRR2010438,0.9999758,2.4199486e-05
ERR1384795,0.9999758,2.4199486e-05
ERR2003145,0.9999758,2.4199486e-05
ERR561605,0.9999758,2.4199486e-05
SRR6931188,0.9999758,2.4199486e-05
ERR1311514,0.9999758,2.4199486e-05
ERR499479,0.9999758,2.4199486e-05
SRR6148439,0.9999758,2.4199486e-05
SRR6414359,0.9999758,2.4199486e-05
SRR2154918,0.9999758,2.4199486e-05
SRR5178146,0.9999758,2.4199486e-05
ERR719606,0.9999759,2.4080276e-05
SRR5869641,0.9999758,2.4199486e-05
ERR499054,0.9999758,2.4199486e-05
ERR1311293,0.9999758,2.4199486e-05
ERR560673,0.9999758,2.4199486e-05
DRR030526,0.9999758,2.4199486e-05
ERR1960791,0.9999758,2.4199486e-05
SRR6264187,0.9999758,2.4199486e-05
SRR7448846,0.9999758,2.4199486e-05
SRR5467646,0.9999758,2.4199486e-05
ERR1960774,0.9999758,2.4199486e-05
ERR2739291,0.9999758,2.4199486e-05
SRR1950725,0.9999758,2.4199486e-05
SRR3095146,0.9999758,2.4199486e-05
SRR7453416,0.9999758,2.4199486e-05
SRR5467650,0.9999758,2.4199486e-05
ERR1314225,0.9999758,2.4199486e-05
ERR531657,0.99997574,2.425909e-05
ERR2531901,0.9999758,2.4199486e-05
ERR1328379,0.9999759,2.4080276e-05
SRR3030578,0.9999759,2.4080276e-05
ERR451075,0.9999758,2.4199486e-05
DRR018392,0.9999758,2.4199486e-05
SRR6394064,0.9999758,2.4199486e-05
ERR2198023,0.9999758,2.4199486e-05
DRR060277,0.9999758,2.4199486e-05
ERR525729,0.9999757,2.4318695e-05
SRR2980297,0.9999758,2.4199486e-05
SRR6028658,0.9999758,2.4199486e-05
SRR1461279,0.9999758,2.4199486e-05
SRR7453331,0.9999758,2.4199486e-05
SRR1949352,0.9999758,2.4199486e-05
SRR5724719,0.9999758,2.4199486e-05
ERR2784739,0.9999758,2.4199486e-05
ERR2261911,0.9999758,2.4199486e-05
SRR6932347,0.9999758,2.4199486e-05
ERR2739282,0.9999758,2.4199486e-05
SRR6931668,0.9999758,2.4199486e-05
ERR2738957,0.9999758,2.4199486e-05
ERR441671,0.9999758,2.4199486e-05
ERR1309986,0.9999758,2.4199486e-05
SRR6932526,0.9999758,2.4199486e-05
SRR995149,0.9999758,2.4199486e-05
ERR981214,0.99997574,2.425909e-05
ERR365898,0.9999758,2.4199486e-05
ERR1382899,0.9999758,2.4199486e-05
SRR1633177,0.9999758,2.4199486e-05
DRR047923,0.9999758,2.4199486e-05
ERR441185,0.9999758,2.4199486e-05
ERR1384654,0.9999758,2.4199486e-05
ERR441989,0.9999758,2.4199486e-05
ERR1111195,0.9999758,2.4199486e-05
ERR1109478,0.9999758,2.4199486e-05
SRR3053338,0.9999758,2.4199486e-05
DRR030554,0.9999758,2.4199486e-05
SRR6416487,0.9999758,2.4199486e-05
SRR7704492,0.9999758,2.4199486e-05
SRR3094757,0.9999758,2.4199486e-05
ERR1971248,0.9999758,2.4199486e-05
DRR030591,0.9999758,2.4199486e-05
ERR1311651,0.99997574,2.425909e-05
ERR525869,0.99997574,2.425909e-05
SRR7453265,0.9999758,2.4199486e-05
SRR3581190,0.9999758,2.4199486e-05
SRR996914,0.9999758,2.4199486e-05
ERR1398108,0.9999758,2.4199486e-05
ERR365858,0.99997574,2.425909e-05
ERR1383429,0.9999758,2.4199486e-05
SRR6264466,0.9999758,2.4199486e-05
SRR6264450,0.9999758,2.4199486e-05
SRR1744103,0.9999758,2.4199486e-05
ERR1310904,0.9999758,2.4199486e-05
SRR7448664,0.9999758,2.4199486e-05
SRR6054589,0.9999758,2.4199486e-05
SRR2145340,0.9999758,2.4199486e-05
SRR5467874,0.9999758,2.4199486e-05
ERR500898,0.9999758,2.4199486e-05
SRR2923791,0.9999758,2.4199486e-05
ERR209190,0.9999758,2.4199486e-05
ERR1398240,0.9999758,2.4199486e-05
SRR5467521,0.9999758,2.4199486e-05
ERR365876,0.9999758,2.4199486e-05
SRR1618048,0.9999758,2.4199486e-05
SRR1632984,0.9999758,2.4199486e-05
ERR365853,0.9999759,2.4080276e-05
SRR5155910,0.9999758,2.4199486e-05
ERR719509,0.9999759,2.4080276e-05
SRR6436906,0.9999758,2.4199486e-05
SRR6028202,0.9999758,2.4199486e-05
ERR1314116,0.9999758,2.4199486e-05
ERR1811219,0.9999758,2.4199486e-05
ERR561187,0.9999758,2.4199486e-05
SRR7448892,0.9999758,2.4199486e-05
SRR5467537,0.9999758,2.4199486e-05
SRR6931904,0.9999758,2.4199486e-05
ERR1328375,0.9999759,2.4080276e-05
ERR2511553,0.99997574,2.425909e-05
SRR7449247,0.9999758,2.4199486e-05
ERR2198037,0.9999758,2.4199486e-05
ERR1384753,0.99997574,2.425909e-05
SRR7449258,0.9999758,2.4199486e-05
SRR5467539,0.9999758,2.4199486e-05
SRR3094877,0.9999758,2.4199486e-05
DRR042031,0.9999758,2.4199486e-05
SRR6411648,0.9999758,2.4199486e-05
SRR5983413,0.9999758,2.4199486e-05
ERR2511122,0.9999758,2.4199486e-05
SRR6931284,0.9999758,2.4199486e-05
SRR3191041,0.9999758,2.4199486e-05
DRR044017,0.9999758,2.4199486e-05
SRR5688114,0.9999758,2.4199486e-05
DRR043727,0.9999758,2.4199486e-05
ERR498615,0.9999758,2.4199486e-05
SRR2761319,0.9999758,2.4199486e-05
ERR500996,0.9999758,2.4199486e-05
DRR047945,0.9999758,2.4199486e-05
SRR6264557,0.9999758,2.4199486e-05
ERR531941,0.9999758,2.4199486e-05
SRR3951195,0.9999758,2.4199486e-05
SRR920178,0.9999758,2.4199486e-05
ERR499743,0.9999758,2.4199486e-05
SRR3190996,0.9999758,2.4199486e-05
SRR1949110,0.9999758,2.4199486e-05
SRR6264660,0.9999758,2.4199486e-05
SRR1950748,0.9999758,2.4199486e-05
ERR1384827,0.9999758,2.4199486e-05
ERR2738621,0.99997574,2.425909e-05
SRR6413833,0.9999758,2.4199486e-05
