,root:Host-associated:Human:Digestive_system:Large_intestine:Fecal,root:Host-associated:Human:Digestive_system:Oral:Periodontal_pockets,root:Host-associated:Human:Digestive_system:Oral:Saliva,root:Host-associated:Human:Digestive_system:Oral:Subgingival_plaque,root:Host-associated:Human:Digestive_system:Oral:Supragingival_plaque,root:Host-associated:Human:Digestive_system:Oral:Throat,root:Host-associated:Human:Digestive_system:Oral:buccal_mucosa,root:Host-associated:Human:Digestive_system:Oral:tongue_dorsum,root:Host-associated:Human:Reproductive_system:Vagina:posterior_fornix,root:Host-associated:Human:Respiratory_system:Nasopharyngeal:Nasal_cavity,root:Host-associated:Human:Respiratory_system:Nasopharyngeal:Pharynx,root:Host-associated:Human:Respiratory_system:Pulmonary_system:Sputum,Unknown
ERR2003118,0.9988362,6.48317e-05,0.00027563397,0.0003674623,5.024135e-05,1.1122908e-05,9.607792e-05,0.00011983495,5.834121e-05,7.086558e-05,2.5425845e-05,2.3918421e-05,0.0
SRR6028414,0.990177,4.2806005e-05,0.0005660653,0.00012728572,0.00011077332,1.5516116e-05,0.0002989471,0.00026392937,8.7746484e-05,0.00018537045,3.064282e-05,1.6777722e-05,0.008077145
ERR531824,0.99883634,6.48317e-05,0.00027563397,0.00036740268,5.024159e-05,1.112293e-05,9.6078744e-05,0.000119835175,5.8341488e-05,7.086578e-05,2.5425892e-05,2.391849e-05,0.0
ERR1310275,0.99883634,6.483164e-05,0.000275634,0.00036734316,5.0241735e-05,1.1122952e-05,9.6079486e-05,0.00011983542,5.8341775e-05,7.086599e-05,2.5425943e-05,2.391854e-05,0.0
SRR6394209,0.0002782941,7.252578e-05,0.008464694,0.0006181598,2.1424967e-05,0.00038298965,0.00019034743,0.0004106164,0.00050646067,0.000456661,0.00038003922,0.0011217892,0.987096
SRR994946,0.000618279,3.3760378e-05,0.00035440922,0.00053584576,0.00020378828,2.908154e-05,0.00011574796,0.00024667382,8.505606e-05,0.00019618869,0.00030240417,6.606255e-05,0.9972127
SRR6239875,0.013753355,0.0017807782,0.016844898,0.31131548,0.0014649332,0.0001398623,0.0030229986,1.9659623e-05,0.0019734204,0.00092092156,0.00016582012,0.00077298284,0.6478249
SRR346841,0.00023582578,0.00012041521,0.9441043,0.0054828823,0.00028678775,0.0010254979,0.0032059252,1.9456375e-05,0.00064104795,0.0007947087,7.5804615e-05,0.0015632212,0.04244417
ERR1971288,0.9988362,6.48317e-05,0.00027563397,0.0003674623,5.0241397e-05,1.1122908e-05,9.60781e-05,0.00011983495,5.8341266e-05,7.086558e-05,2.5425845e-05,2.3918421e-05,0.0
SRR3931535,0.00021237135,2.8999923e-05,0.060774893,0.00014448166,4.3341286e-05,0.00064098835,0.00017666817,0.001313597,0.0001270473,0.00039991736,0.00014346838,0.0016686916,0.9343255
DRR044018,0.00027627096,0.00021599582,0.99659526,0.0017541137,0.00015101543,0.00023002231,0.00012210477,0.00021233286,5.3173528e-05,0.00012564269,2.8354778e-05,0.00023568055,0.0
ERR498467,0.99883604,6.479043e-05,0.00027608176,0.00036677817,5.030278e-05,1.1128653e-05,9.62466e-05,0.00011998125,5.8378075e-05,7.097098e-05,2.543325e-05,2.390541e-05,0.0
SRR1617951,0.9988362,6.48317e-05,0.00027563397,0.0003674623,5.024135e-05,1.1122908e-05,9.607801e-05,0.00011983495,5.834121e-05,7.0865644e-05,2.5425845e-05,2.3918421e-05,0.0
SRR1743129,3.351334e-05,0.0009729862,0.23274952,0.00585413,0.0029338896,0.050646394,0.0008200407,0.00011629588,0.0008650124,0.0047500134,0.00275293,0.28564692,0.41185832
ERR1255787,0.00027932398,0.00021371456,0.9966007,0.0017552827,0.00014789667,0.00023051153,0.00012219459,0.00020492892,5.32628e-05,0.00012627504,2.8543447e-05,0.00023733158,0.0
