,root:Host-associated:Human:Circulatory_system:Blood,root:Host-associated:Human:Digestive_system:Intestine,root:Host-associated:Human:Digestive_system:Large_intestine,root:Host-associated:Human:Digestive_system:Oral,root:Host-associated:Human:Lympathic_system:Lymph_nodes,root:Host-associated:Human:Reproductive_system:Female,root:Host-associated:Human:Reproductive_system:Vagina,root:Host-associated:Human:Respiratory_system:Nasopharyngeal,root:Host-associated:Human:Respiratory_system:Pulmonary_system,Unknown
SRR6866469,0.00080636144,0.0012657344,0.9943881,0.0010885,0.000459522,0.00034818053,0.0003719926,0.00066152215,0.0003914535,0.00021862984
ERR2198027,0.00080642104,0.0012656152,0.9943878,0.0010885298,0.0004594326,0.00034812093,0.0003719628,0.00066152215,0.0003913939,0.00021910667
ERR1314668,0.00080642104,0.0012656152,0.9943878,0.0010885298,0.0004594326,0.00034812093,0.0003719628,0.00066152215,0.0003913939,0.00021910667
ERR719442,0.00080642104,0.0012656152,0.9943878,0.0010885298,0.0004594326,0.00034812093,0.0003719628,0.00066152215,0.0003913939,0.00021910667
ERR1385224,0.00080642104,0.0012656152,0.9943878,0.0010885298,0.0004594326,0.00034812093,0.0003719628,0.00066152215,0.0003913939,0.00021910667
SRR7448602,0.00026252866,0.002373904,0.0055357814,0.005314201,0.0008660257,0.0018578172,0.0011834502,0.9553443,0.0012767911,0.025985181
SRR1618345,0.00080642104,0.0012656152,0.9943878,0.0010885298,0.0004594326,0.00034812093,0.0003719628,0.00066152215,0.0003913939,0.00021910667
SRR6394203,0.001072973,0.0018219352,0.0023718476,0.9878846,0.0010798872,0.0005634725,0.0005250871,0.0016227365,0.0029887557,6.8724155e-05
SRR2144020,0.00080642104,0.0012656152,0.9943878,0.0010885298,0.0004594326,0.00034812093,0.0003719628,0.00066152215,0.0003913939,0.00021910667
ERR1987733,0.0010757744,0.0018097758,0.0023900867,0.98780435,0.0010813475,0.00056505203,0.0005270839,0.0016221404,0.0030034482,0.00012087822
ERR1109583,0.0010739267,0.0018179417,0.0023795664,0.9878468,0.0010803342,0.00056406856,0.00052565336,0.0016246438,0.002991587,9.548664e-05
SRR6264285,0.00080642104,0.0012656152,0.9943878,0.0010885298,0.0004594326,0.00034812093,0.0003719628,0.00066152215,0.0003913939,0.00021910667
ERR441386,0.001072973,0.0018219352,0.0023718476,0.9878846,0.0010798872,0.0005634725,0.0005250871,0.0016227365,0.0029887557,6.8724155e-05
ERR1384587,0.00080642104,0.0012656152,0.9943878,0.0010885298,0.0004594326,0.00034812093,0.0003719628,0.00066152215,0.0003913939,0.00021910667
SRR5688083,0.00080642104,0.0012656152,0.9943878,0.0010885298,0.0004594326,0.00034812093,0.0003719628,0.00066152215,0.0003913939,0.00021910667
ERR1310720,0.00080642104,0.0012656152,0.9943878,0.0010885298,0.0004594326,0.00034812093,0.0003719628,0.00066152215,0.0003913939,0.00021910667
ERR2739102,0.00080642104,0.0012656152,0.9943878,0.0010885298,0.0004594326,0.00034812093,0.0003719628,0.00066152215,0.0003913939,0.00021910667
ERR107002,0.0010733008,0.0018194914,0.0023785532,0.9878379,0.001080811,0.0005645752,0.00052538514,0.0016277432,0.0029883683,0.00010383129
