,root:Host-associated:Human:Circulatory_system,root:Host-associated:Human:Digestive_system,root:Host-associated:Human:Lympathic_system,root:Host-associated:Human:Reproductive_system,root:Host-associated:Human:Respiratory_system,root:Host-associated:Human:Skin,Unknown
SRR6866469,0.0001915649,0.99866444,6.264549e-05,7.803782e-05,0.0005313631,0.00047193866,0.0
ERR2198027,0.0001915649,0.99866444,6.264549e-05,7.803782e-05,0.0005313631,0.00047193866,0.0
ERR1314668,0.0001915649,0.99866444,6.264549e-05,7.803782e-05,0.0005313631,0.00047193866,0.0
ERR719442,0.0001915649,0.99866444,6.264549e-05,7.803782e-05,0.0005313631,0.00047193866,0.0
ERR1385224,0.0001915649,0.99866444,6.264549e-05,7.803782e-05,0.0005313631,0.00047193866,0.0
SRR7448602,0.0017078322,0.004374899,0.00039236151,0.0007486571,0.9912673,0.0015088612,0.0
SRR1618345,0.0001915649,0.99866444,6.264549e-05,7.803782e-05,0.0005313631,0.00047193866,0.0
SRR6394203,0.0001915649,0.99866444,6.264549e-05,7.803782e-05,0.0005313631,0.00047193866,0.0
SRR2144020,0.0001915649,0.99866444,6.264549e-05,7.803782e-05,0.0005313631,0.00047193866,0.0
ERR1987733,0.0001915351,0.99866444,6.264562e-05,7.803826e-05,0.0005313929,0.00047193866,0.0
ERR1109583,0.0001915649,0.99866444,6.264549e-05,7.803782e-05,0.0005313631,0.00047193866,0.0
SRR6264285,0.0001915649,0.99866444,6.264549e-05,7.803782e-05,0.0005313631,0.00047193866,0.0
ERR441386,0.0001915649,0.99866444,6.264549e-05,7.803782e-05,0.0005313631,0.00047193866,0.0
ERR1384587,0.0001915649,0.99866444,6.264549e-05,7.803782e-05,0.0005313631,0.00047193866,0.0
SRR5688083,0.0001915649,0.99866444,6.264549e-05,7.803782e-05,0.0005313631,0.00047193866,0.0
ERR1310720,0.0001915649,0.99866444,6.264549e-05,7.803782e-05,0.0005313631,0.00047193866,0.0
ERR2739102,0.0001915649,0.99866444,6.264549e-05,7.803782e-05,0.0005313631,0.00047193866,0.0
ERR107002,0.0001915649,0.99866444,6.264549e-05,7.803782e-05,0.0005313631,0.00047193866,0.0
ERR498473,0.00019230838,0.9986616,6.298417e-05,7.83672e-05,0.000532223,0.00047256067,0.0
ERR1913230,0.0001915649,0.99866444,6.264549e-05,7.803782e-05,0.0005313631,0.00047193866,0.0
SRR1617820,0.0001915649,0.99866444,6.264549e-05,7.803782e-05,0.0005313631,0.00047193866,0.0
