,root:Host-associated:Human:Circulatory_system:Blood,root:Host-associated:Human:Digestive_system:Intestine,root:Host-associated:Human:Digestive_system:Large_intestine,root:Host-associated:Human:Digestive_system:Oral,root:Host-associated:Human:Lympathic_system:Lymph_nodes,root:Host-associated:Human:Reproductive_system:Female,root:Host-associated:Human:Reproductive_system:Vagina,root:Host-associated:Human:Respiratory_system:Nasopharyngeal,root:Host-associated:Human:Respiratory_system:Pulmonary_system,Unknown
SRR6866469,4.3065647e-05,0.00014552474,0.9770641,0.00065112114,1.995787e-05,1.3274068e-05,1.0217006e-05,0.00027135015,7.791621e-06,0.021773636
ERR2198027,0.00054266996,0.0013919254,0.99736756,0.0002943542,0.000103627426,6.0028568e-05,7.950476e-05,0.00010923204,5.1082196e-05,0.0
ERR1314668,8.642863e-05,0.00023126602,0.99737227,0.00016027689,3.426947e-05,3.44582e-05,2.1971084e-05,5.6490728e-05,6.7377377e-06,0.001995802
ERR719442,8.4890504e-05,0.0002272129,0.99735165,0.00015938282,3.3901466e-05,3.426852e-05,2.169371e-05,5.6144738e-05,6.60692e-06,0.0020242333
ERR1385224,8.4890504e-05,0.0002272129,0.99735165,0.00015938282,3.3901466e-05,3.426852e-05,2.169371e-05,5.6144738e-05,6.60692e-06,0.0020242333
SRR7448602,7.080677e-05,0.0008609853,0.001652292,0.0007750028,0.00036079923,0.0003940319,0.0005242552,0.99476707,0.0005946776,0.0
SRR1618345,8.4890504e-05,0.0002272129,0.99735165,0.00015938282,3.3901466e-05,3.426852e-05,2.169371e-05,5.6144738e-05,6.60692e-06,0.0020242333
SRR6394203,2.8429387e-05,0.00020670891,0.0005618632,0.99550843,9.030111e-05,0.00010368359,6.880197e-05,0.0007453561,0.00012090183,0.0025655031
SRR2144020,0.00010063236,0.00026881695,0.9975402,0.00016832352,3.7552534e-05,3.6108097e-05,2.44685e-05,5.9509595e-05,7.9555475e-06,0.0017564893
ERR1987733,9.6311494e-05,0.0006860353,0.001049786,0.9959951,0.00018966508,0.00015156525,0.00016511914,0.0011892868,0.00047715649,0.0
ERR1109583,2.8461885e-05,0.00020685792,0.00056272745,0.9955046,9.027907e-05,0.00010363248,6.882488e-05,0.00074490905,0.00012080006,0.002568841
SRR6264285,8.489058e-05,0.0002271533,0.99735177,0.00015938282,3.39015e-05,3.4268553e-05,2.169371e-05,5.6144738e-05,6.6069265e-06,0.0020241737
ERR441386,2.8459253e-05,0.0002066195,0.0005630255,0.9955064,9.0259186e-05,0.00010366639,6.882396e-05,0.00074496865,0.00012081815,0.0025669932
ERR1384587,8.4890504e-05,0.0002272129,0.99735165,0.00015938282,3.3901466e-05,3.426852e-05,2.169371e-05,5.6144738e-05,6.60692e-06,0.0020242333
SRR5688083,0.0005449301,0.0014278824,0.99733746,0.00028814757,0.00010366931,6.0637994e-05,8.085278e-05,0.000105990905,5.0361545e-05,0.0
ERR1310720,8.4890504e-05,0.0002272129,0.99735165,0.00015938282,3.3901466e-05,3.426852e-05,2.169371e-05,5.6144738e-05,6.60692e-06,0.0020242333
ERR2739102,8.489285e-05,0.0002271533,0.99735177,0.00015938282,3.3902015e-05,3.4268814e-05,2.1694123e-05,5.6145273e-05,6.607115e-06,0.0020241737
ERR107002,2.8559361e-05,0.00020638108,0.0005669892,0.9954997,9.011529e-05,0.000103607774,6.8896785e-05,0.00074356794,0.0001205309,0.002571702
ERR498473,0.00053754123,0.0014081182,0.99736893,0.00028699814,0.000102811806,6.0399267e-05,8.007221e-05,0.000105484156,4.9609884e-05,0.0
ERR1913230,0.00054398057,0.0014253006,0.9973415,0.0002880895,0.000103558064,6.060465e-05,8.0751e-05,0.00010592717,5.0263483e-05,0.0
SRR1617820,8.4890504e-05,0.0002272129,0.99735165,0.00015938282,3.3901466e-05,3.426852e-05,2.169371e-05,5.6144738e-05,6.60692e-06,0.0020242333
ERR2511886,8.4890504e-05,0.0002272129,0.99735165,0.00015938282,3.3901466e-05,3.426852e-05,2.169371e-05,5.6144738e-05,6.60692e-06,0.0020242333
DRR044305,2.9431136e-05,0.00021380186,0.0005712211,0.99555194,9.2139504e-05,0.00010476391,7.048719e-05,0.00075399876,0.00012546778,0.0024867058
SRR7449004,7.080677e-05,0.0008609853,0.001652292,0.0007750028,0.00036079923,0.0003940319,0.0005242552,0.99476707,0.0005946776,0.0
DRR041937,2.8543323e-05,0.00020638108,0.00056636333,0.99549973,9.012947e-05,0.00010359839,6.8879905e-05,0.00074368715,0.00012053849,0.0025721192
ERR1331807,8.4890504e-05,0.0002272129,0.99735165,0.00015938282,3.3901466e-05,3.426852e-05,2.169371e-05,5.6144738e-05,6.60692e-06,0.0020242333
SRR6264412,8.5425854e-05,0.00022861362,0.9973589,0.00015962124,3.402987e-05,3.433483e-05,2.1790416e-05,5.626566e-05,6.65243e-06,0.0020142794
ERR1913060,0.0035810713,0.38381404,0.6085302,0.00018433917,0.0012836886,0.000828612,0.00073041394,0.00072104274,0.0003266506,0.0
SRR6411976,2.852928e-05,0.00020644069,0.0005657673,0.99550176,9.01575e-05,0.00010362507,6.887472e-05,0.0007439852,0.0001206153,0.002570212
SRR6414056,3.23027e-05,0.00019678473,0.00072306395,0.9952564,8.524014e-05,0.00010158638,7.150849e-05,0.00069636106,0.00011094237,0.00272578
SRR2658740,8.4890504e-05,0.0002272129,0.99735177,0.00015938282,3.3901466e-05,3.4268487e-05,2.169371e-05,5.6144738e-05,6.6069265e-06,0.0020241141
SRR6265647,8.4890504e-05,0.0002272129,0.99735177,0.00015938282,3.3901466e-05,3.4268487e-05,2.169371e-05,5.6144738e-05,6.6069265e-06,0.0020241141
SRR2143696,0.0005450194,0.0014278229,0.99733746,0.00028814757,0.0001036695,6.0637994e-05,8.085285e-05,0.00010599111,5.0361592e-05,0.0
ERR501236,8.4890504e-05,0.0002272129,0.99735165,0.00015938282,3.3901466e-05,3.426852e-05,2.169371e-05,5.6144738e-05,6.60692e-06,0.0020242333
SRR388066,0.006923009,7.974774e-05,0.84089047,0.14641796,0.00018725653,0.00041351537,0.00034869145,0.0034685354,0.0012707992,0.0
DRR030610,2.8429387e-05,0.00020670891,0.000561893,0.99550843,9.030111e-05,0.00010368359,6.8801906e-05,0.0007453561,0.00012090183,0.0025655031
ERR2511832,8.4890504e-05,0.0002272129,0.99735165,0.00015938282,3.3901466e-05,3.426852e-05,2.169371e-05,5.6144738e-05,6.60692e-06,0.0020242333
SRR2924477,8.592852e-05,0.00022995472,0.9973656,0.00016003847,3.4150093e-05,3.4396806e-05,2.1881044e-05,5.6378674e-05,6.6951807e-06,0.002004981
ERR209821,8.489422e-05,0.0002272129,0.9973517,0.00015944242,3.3902405e-05,3.426875e-05,2.1694123e-05,5.614709e-05,6.607342e-06,0.0020241141
ERR1313747,8.4893254e-05,0.0002271533,0.99735177,0.00015935302,3.3902114e-05,3.426888e-05,2.1694186e-05,5.6145378e-05,6.607147e-06,0.0020242333
SRR995596,6.7288056e-06,0.00013524294,0.0037215054,0.0014823973,9.4620584e-05,6.432527e-05,2.8084887e-05,0.003430307,4.1743602e-05,0.99099505
SRR6038325,8.4890504e-05,0.0002272129,0.99735165,0.00015938282,3.3901466e-05,3.426852e-05,2.169371e-05,5.6144738e-05,6.60692e-06,0.0020242333
DRR043906,2.8436789e-05,0.00020673871,0.000562191,0.99550796,9.0290436e-05,0.00010367924,6.8807356e-05,0.0007452369,0.000120880504,0.0025658011
SRR6414045,2.8439448e-05,0.00020673871,0.0005622804,0.9955077,9.028596e-05,0.00010367637,6.880893e-05,0.0007452667,0.00012087013,0.0025658607
ERR2002381,8.488937e-05,0.0002272129,0.9973516,0.00015935302,3.39014e-05,3.4267476e-05,2.1692593e-05,5.6149875e-05,6.6072034e-06,0.0020243526
ERR1701245,6.7288056e-06,0.00013524294,0.0037215054,0.0014823973,9.4620584e-05,6.432527e-05,2.8084887e-05,0.003430307,4.1743602e-05,0.99099505
ERR2002243,8.4890504e-05,0.0002272129,0.99735165,0.00015938282,3.3901466e-05,3.426852e-05,2.169371e-05,5.6144738e-05,6.60692e-06,0.0020242333
ERR1960823,4.3076696e-05,0.0008472204,0.008307487,0.0026782155,0.0002888739,0.00011382192,0.00010446779,0.006455004,0.0003169179,0.9808449
DRR030599,2.8429387e-05,0.00020670891,0.000561893,0.99550843,9.030111e-05,0.00010368359,6.8801906e-05,0.0007453561,0.00012090183,0.0025655031
SRR996975,0.00027385354,0.0013352334,0.0512861,0.020034105,0.00023880601,0.000125736,0.0003888607,0.0025758743,0.0003312528,0.9234102
ERR532081,8.4890504e-05,0.0002272129,0.99735165,0.00015938282,3.3901466e-05,3.426852e-05,2.169371e-05,5.6144738e-05,6.60692e-06,0.0020242333
ERR1384923,8.4890504e-05,0.0002272129,0.99735165,0.00015938282,3.3901466e-05,3.426852e-05,2.169371e-05,5.6144738e-05,6.60692e-06,0.0020242333
ERR441446,2.8429902e-05,0.00020670891,0.000561893,0.99550843,9.03012e-05,0.00010368369,6.880257e-05,0.0007453859,0.00012090218,0.0025654435
SRR3094817,8.4890504e-05,0.0002272129,0.99735165,0.00015938282,3.3901466e-05,3.426852e-05,2.169371e-05,5.6144738e-05,6.60692e-06,0.0020242333
DRR047731,2.8488825e-05,0.0002065301,0.000564307,0.9955013,9.01906e-05,0.00010359296,6.883e-05,0.000744164,0.00012061887,0.002572
SRR920607,1.22739775e-05,0.00034362078,0.002046436,0.018918335,0.00013718009,8.666774e-05,7.16418e-05,0.002648592,0.00010070638,0.9756346
ERR1109652,9.236908e-05,0.00065202534,0.001038874,0.9957498,0.00020265774,0.0001517848,0.00019264994,0.0013122417,0.0006075562,0.0
ERR1611389,2.8429387e-05,0.00020670891,0.000561893,0.99550843,9.030111e-05,0.00010368359,6.8801906e-05,0.0007453561,0.00012090183,0.0025655031
SRR2658011,8.4890504e-05,0.0002272129,0.99735165,0.00015938282,3.3901466e-05,3.426852e-05,2.169371e-05,5.6144738e-05,6.60692e-06,0.0020242333
SRR823317,2.9053072e-05,0.00020503998,0.0005865693,0.99546635,8.94175e-05,0.00010332055,6.925317e-05,0.0007368326,0.00011913929,0.002595067
SRR6931490,4.9761362e-05,8.7801236e-05,0.004231811,0.0026543143,0.0006367565,0.000235945,0.00021481515,0.0029377344,4.9068018e-05,0.98890203
DRR024059,0.00019869208,0.0043646693,0.984767,0.00094237924,3.7501748e-05,2.0272431e-05,6.8139394e-05,0.00023463368,2.304373e-05,0.009343624
SRR7448670,7.080691e-05,0.0008609556,0.001652322,0.0007750029,0.00036079925,0.00039403196,0.0005242255,0.9947672,0.0005947074,0.0
ERR139112,6.3992666e-05,4.3013806e-05,0.9883729,0.0006198585,3.2894204e-05,1.7687764e-05,7.233537e-06,0.00039714575,1.6596352e-05,0.010428727
ERR1383816,8.4890504e-05,0.0002272129,0.99735165,0.00015938282,3.3901466e-05,3.426852e-05,2.169371e-05,5.6144738e-05,6.60692e-06,0.0020242333
SRR6417493,8.7232685e-05,0.00014159083,0.0049622655,0.99267375,5.6548186e-05,8.740098e-05,9.722854e-05,0.00046804547,6.423822e-05,0.0013617277
ERR1885249,0.0029330254,0.0076957643,0.6986762,0.009398967,0.0011193454,0.00023499131,0.00040197372,0.0012297332,6.287306e-05,0.27824706
ERR1020510,0.020186616,0.00432508,0.044697683,0.020724975,0.008083286,0.05253794,0.8258739,0.014514366,0.009056138,0.0
ERR499930,8.72069e-05,0.00023299456,0.9973793,0.00016096234,3.4458957e-05,3.453545e-05,2.2093076e-05,5.676886e-05,6.811532e-06,0.0019848943
SRR2155019,2.8689903e-05,0.00020599365,0.0005721152,0.9954909,8.992813e-05,0.00010353152,6.899127e-05,0.00074175,0.000120158016,0.0025779605
SRR1145277,2.8827419e-05,0.00020554662,0.0005775392,0.9954811,8.972998e-05,0.00010344102,6.9088055e-05,0.00073978305,0.00011975065,0.0025852323
ERR1811120,0.0003906936,0.0010278416,0.99798894,0.0002593505,8.489402e-05,5.4772405e-05,6.39025e-05,9.463398e-05,3.5012006e-05,0.0
