,root:Host-associated:Human:Circulatory_system,root:Host-associated:Human:Digestive_system,root:Host-associated:Human:Lympathic_system,root:Host-associated:Human:Reproductive_system,root:Host-associated:Human:Respiratory_system,root:Host-associated:Human:Skin,Unknown
ERR1384230,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR6411577,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
ERR494400,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR1461231,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR920622,0.009152166,0.0262017,0.008892988,0.0059920345,0.015232883,0.9345282,0.0
ERR500258,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
ERR1310760,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
ERR1109583,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
DRR047361,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR8356215,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR6367328,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR6054622,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR3037215,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR996932,0.009152166,0.0262017,0.008892988,0.0059920345,0.0152328545,0.9345282,0.0
SRR7453742,0.005171741,0.05574146,0.008767168,0.011917606,0.87857926,0.03982274,0.0
SRR1461485,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
ERR1310288,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
DRR048250,0.001538576,0.9902808,0.0018018398,0.0011563298,0.0032073883,0.0020150105,0.0
ERR1309914,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR505154,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR388004,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
ERR2011912,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR1461057,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR1949296,0.005171741,0.05574146,0.008767168,0.011917606,0.87857926,0.03982274,0.0
ERR561465,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR2658802,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
ERR1987753,0.001538576,0.99028105,0.0018018101,0.0011563298,0.0032072696,0.0020150105,0.0
ERR1328339,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR995640,0.009152166,0.0262017,0.008892988,0.0059920345,0.015232883,0.9345282,0.0
ERR2002215,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
ERR2738824,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
DRR047923,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
ERR1310905,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
ERR522540,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
DRR044049,0.0015385166,0.99028045,0.001801929,0.0011563298,0.0032077446,0.0020150105,0.0
SRR1949299,0.005171741,0.05574146,0.008767168,0.011917606,0.87857926,0.03982274,0.0
SRR2143942,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR6414039,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
ERR500918,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
ERR531974,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR7453269,0.005171741,0.05574146,0.008767168,0.011917606,0.87857926,0.03982274,0.0
SRR5983390,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR3201957,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR3034973,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
ERR866499,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
ERR2286300,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR7448972,0.005171741,0.05574146,0.008767168,0.011917606,0.87857926,0.03982274,0.0
SRR2143832,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
ERR2738984,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
ERR500695,0.0015447302,0.989981,0.0018702523,0.001186454,0.0034043812,0.0020132659,0.0
ERR1310042,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
DRR047468,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR3037268,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
ERR441622,0.0033991176,0.8798169,0.0060784915,0.0008380364,0.028113209,0.08175426,0.0
ERR532054,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
ERR1331853,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
ERR500172,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR6394192,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
DRR029190,0.0015385165,0.9902809,0.0018018397,0.0011563296,0.0032074472,0.0020150102,0.0
SRR6414298,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
ERR2042071,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR1949004,0.005171741,0.05574146,0.008767168,0.011917606,0.87857926,0.03982274,0.0
SRR6444836,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR5141877,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
ERR867419,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
SRR2010309,0.0015385759,0.9902814,0.0018017208,0.0011563,0.0032070316,0.0020149508,0.0
