,root:Host-associated:Human:Circulatory_system,root:Host-associated:Human:Digestive_system,root:Host-associated:Human:Lympathic_system,root:Host-associated:Human:Reproductive_system,root:Host-associated:Human:Respiratory_system,root:Host-associated:Human:Skin,Unknown
ERR1384230,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
SRR6411577,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
ERR494400,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
SRR1461231,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
SRR920622,0.0004891195,0.0074082017,0.00047177923,0.0004038732,0.0029308272,0.98829615,0.0
ERR500258,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
ERR1310760,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
ERR1109583,0.00034389604,0.9982912,0.00014463223,0.00021397116,0.0006269977,0.00037935446,0.0
DRR047361,0.00034395565,0.9982912,0.0001446025,0.0002139712,0.00062678946,0.00037956293,0.0
SRR8356215,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
SRR6367328,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
SRR6054622,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
SRR3037215,0.00034395553,0.99829113,0.00014460244,0.00021397113,0.0006269976,0.00037929486,0.0
SRR996932,0.00013102793,0.0012905333,0.00076141855,0.0006980361,0.00864361,0.9884753,0.0
SRR7453742,0.00033588317,0.0017164557,0.00039523005,0.0010858579,0.9936361,0.0028305019,0.0
SRR1461485,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
ERR1310288,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
DRR048250,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
ERR1309914,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
SRR505154,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
SRR388004,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
ERR2011912,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
SRR1461057,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
SRR1949296,0.00033567546,0.0017171695,0.00039502236,0.0010848783,0.99363697,0.0028301768,0.0
ERR561465,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
SRR2658802,0.00034407486,0.9982893,0.00014469186,0.00021429877,0.000629618,0.00037798515,0.0
ERR1987753,0.00024011757,0.99658746,0.00013239961,0.00028313926,0.00020144272,0.002555518,0.0
ERR1328339,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
SRR995640,0.0004891195,0.0074082017,0.00047177923,0.0004038732,0.0029308272,0.98829615,0.0
ERR2002215,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
ERR2738824,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
DRR047923,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
ERR1310905,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
ERR522540,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
DRR044049,0.00034395553,0.99829113,0.00014460244,0.00021397113,0.00062696787,0.00037929486,0.0
SRR1949299,0.00033600198,0.0017163368,0.00039523005,0.0010860955,0.99363583,0.0028304425,0.0
SRR2143942,0.00034404497,0.9982909,0.00014469182,0.00021406052,0.0006265513,0.00037974157,0.0
SRR6414039,0.0010942519,0.9269065,0.00035494566,0.0017330348,0.0021111965,0.043027878,0.024772167
ERR500918,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
ERR531974,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
SRR7453269,0.0003356752,0.001716901,0.0003950815,0.0010850261,0.9936367,0.0028305906,0.0
SRR5983390,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
SRR3201957,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
SRR3034973,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
ERR866499,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
ERR2286300,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
SRR7448972,0.00064482016,0.004087308,0.00031116235,0.00082615076,0.99191624,0.002214361,0.0
SRR2143832,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
ERR2738984,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
ERR500695,0.00021490455,0.9944631,0.0001320839,0.00013017654,0.0012253821,0.003445208,0.00038915873
ERR1310042,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
DRR047468,0.0003439556,0.9982912,0.00014463223,0.00021397116,0.0006269381,0.00037938423,0.0
SRR3037268,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
ERR441622,0.0010936856,0.9269817,0.00035485625,0.0017319918,0.0021094382,0.042991698,0.024736702
ERR532054,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
ERR1331853,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
ERR500172,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
SRR6394192,0.00034276774,0.9982917,0.00014451443,0.00021456851,0.0006201557,0.00038644363,0.0
DRR029190,0.00034395553,0.99829113,0.00014460244,0.00021397113,0.0006269976,0.00037929486,0.0
SRR6414298,0.0003439555,0.9982909,0.00014457265,0.00021400087,0.00062711665,0.00037935434,0.0
ERR2042071,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
SRR1949004,0.00052402564,0.0031054923,0.00033568073,0.0009007453,0.99274033,0.0023936864,0.0
SRR6444836,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
SRR5141877,0.0003337264,0.67693084,0.00022172928,0.00015851855,0.026500314,0.14205614,0.1537987
ERR867419,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
SRR2010309,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
ERR2003307,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
DRR043133,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
SRR3503277,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
ERR500674,0.00034395553,0.9982911,0.00014460244,0.00021397113,0.00062705716,0.00037929486,0.0
SRR6393974,0.00022952099,0.99592817,0.00013087846,0.00029315942,0.00017478243,0.0032435951,0.0
