,root:Host-associated:Human,Unknown
ERR2538420,0.99294615,0.007053852
SRR6408832,0.9929395,0.007060528
ERR719915,0.99294615,0.007053852
ERR1309914,0.99294615,0.007053852
SRR7449340,0.99294615,0.007053852
SRR6932116,0.99294615,0.007053852
SRR921014,0.99294615,0.007053852
SRR3095112,0.99294615,0.007053852
SRR1618035,0.99294615,0.007053852
SRR5525175,0.99294615,0.007053852
SRR6265266,0.992946,0.0070539713
SRR6394200,0.9928558,0.0071442127
ERR1960706,0.99294615,0.007053852
ERR209604,0.9929457,0.007054329
ERR1328435,0.99294615,0.007053852
SRR6028651,0.99294615,0.007053852
SRR1922852,0.9929337,0.0070663095
SRR1949287,0.99294615,0.007053852
ERR3006024,0.992946,0.0070539713
ERR525885,0.99294615,0.007053852
ERR1109431,0.9929459,0.0070540905
SRR6265018,0.99294615,0.007053852
SRR6931499,0.99294615,0.007053852
SRR6932075,0.99294615,0.007053852
ERR2247317,0.99294615,0.007053852
SRR3053242,0.99294615,0.007053852
DRR030516,0.99294615,0.007053852
ERR441985,0.99294615,0.007053852
ERR2738588,0.99294615,0.007053852
ERR579512,0.99294615,0.007053852
SRR5467622,0.9929237,0.007076323
ERR1315391,0.99294615,0.007053852
ERR1384583,0.99294615,0.007053852
ERR867490,0.9929452,0.0070548058
SRR6054463,0.99294615,0.007053852
SRR2761288,0.99294615,0.007053852
ERR498900,0.99294615,0.007053852
ERR3040029,0.99294615,0.007053852
SRR2658806,0.99294615,0.007053852
ERR1760006,0.99294615,0.007053852
SRR921129,0.99294615,0.007053852
ERR1313771,0.99294615,0.007053852
SRR994919,0.99294615,0.007053852
ERR719898,0.99294615,0.007053852
DRR043174,0.99294615,0.007053852
ERR1255782,0.99290633,0.007093668
ERR1398118,0.99294615,0.007053852
ERR106963,0.992911,0.007089019
SRR5156133,0.99294615,0.007053852
SRR5196357,0.99293846,0.007061541
SRR3503172,0.9929376,0.0070623755
ERR1971163,0.992946,0.0070539713
ERR1315463,0.99294615,0.007053852
ERR579701,0.99294615,0.007053852
SRR3419454,0.99294615,0.007053852
ERR443377,0.99294615,0.007053852
SRR5644020,0.99294615,0.007053852
ERR209756,0.99294615,0.007053852
ERR443171,0.99294615,0.007053852
ERR525877,0.99294615,0.007053852
SRR7449304,0.99294615,0.007053852
ERR1315067,0.99294615,0.007053852
ERR1384684,0.99294615,0.007053852
ERR1328419,0.99294615,0.007053852
SRR3095221,0.99294615,0.007053852
SRR6411993,0.99294615,0.007053852
ERR883478,0.99294615,0.007053852
SRR7448878,0.99294615,0.007053852
SRR5165686,0.99294615,0.007053852
ERR2511288,0.99294615,0.007053852
SRR5687872,0.99294615,0.007053852
SRR3732549,0.99294615,0.007053852
ERR499583,0.99294615,0.007053852
ERR441074,0.9929433,0.007056713
ERR444013,0.992946,0.0070539713
ERR1309789,0.99294615,0.007053852
SRR1658899,0.99294174,0.007058263
ERR499867,0.99294615,0.007053852
ERR500603,0.99294615,0.007053852
ERR1310399,0.9929446,0.007055402
ERR499752,0.99294615,0.007053852
ERR2511921,0.99294615,0.007053852
SRR3094943,0.99294615,0.007053852
SRR6265622,0.99294615,0.007053852
DRR043808,0.9929451,0.007054925
ERR209170,0.99294615,0.007053852
ERR2002146,0.99294615,0.007053852
SRR2658763,0.99294615,0.007053852
ERR500783,0.99294543,0.0070545673
ERR1331828,0.99294615,0.007053852
SRR3037306,0.99294573,0.0070542693
ERR1313498,0.99294615,0.007053852
SRR1622894,0.99294615,0.007053852
ERR1701281,0.99294615,0.007053852
ERR500502,0.99294597,0.007054031
ERR1384659,0.99294615,0.007053852
ERR2511196,0.99294615,0.007053852
ERR2730224,0.99294615,0.007053852
ERR441991,0.99294615,0.007053852
ERR2003219,0.99294615,0.007053852
SRR3419366,0.99294615,0.007053852
SRR2145450,0.99294615,0.007053852
SRR995069,0.99294615,0.007053852
ERR1383045,0.99294615,0.007053852
SRR2658693,0.9928708,0.0071291924
ERR501348,0.99294615,0.007053852
SRR2658751,0.99294615,0.007053852
ERR1311303,0.99294615,0.007053852
ERR1314271,0.99294615,0.007053852
ERR107007,0.99292874,0.0070712566
SRR5525240,0.9929449,0.007055104
ERR2002376,0.99294615,0.007053852
SRR1950790,0.99294615,0.007053852
SRR994712,0.99294615,0.007053852
ERR1313365,0.99294174,0.007058263
SRR7454122,0.99294615,0.007053852
ERR209322,0.99294615,0.007053852
SRR3647845,0.99294615,0.007053852
DRR014351,0.99294615,0.007053852
SRR935517,0.99294615,0.007053852
SRR5155894,0.99294615,0.007053852
SRR2658226,0.99294615,0.007053852
SRR7448805,0.99294615,0.007053852
ERR522386,0.99294615,0.007053852
ERR2531906,0.9928467,0.0071532726
ERR720173,0.99294615,0.007053852
