,root:Host-associated:Human:Digestive_system:Large_intestine:Fecal,root:Host-associated:Human:Digestive_system:Oral:Periodontal_pockets,root:Host-associated:Human:Digestive_system:Oral:Saliva,root:Host-associated:Human:Digestive_system:Oral:Subgingival_plaque,root:Host-associated:Human:Digestive_system:Oral:Supragingival_plaque,root:Host-associated:Human:Digestive_system:Oral:Throat,root:Host-associated:Human:Digestive_system:Oral:buccal_mucosa,root:Host-associated:Human:Digestive_system:Oral:tongue_dorsum,root:Host-associated:Human:Reproductive_system:Vagina:posterior_fornix,root:Host-associated:Human:Respiratory_system:Nasopharyngeal:Nasal_cavity,root:Host-associated:Human:Respiratory_system:Nasopharyngeal:Pharynx,root:Host-associated:Human:Respiratory_system:Pulmonary_system:Sputum,Unknown
ERR2538420,0.005175203,0.0010603368,0.0019884408,0.0022379756,0.00190112,0.00047054887,0.0013871193,0.00089994073,0.0012774467,0.00092056394,0.0010665953,0.0006047487,0.98100996
SRR6408832,0.0051635206,0.0010609031,0.001991123,0.0022385716,0.001907587,0.00047075748,0.0013883114,0.0009020567,0.0012785196,0.00092181563,0.0010689795,0.0006056428,0.9810022
ERR719915,0.994174,0.00059339404,0.00052139163,0.0009933114,0.00026342273,0.000312984,0.0001553595,0.00075244904,0.0010156035,0.00036233664,0.00023940206,0.00015243888,0.00046384335
ERR1309914,0.9941739,0.00059336424,0.00052142143,0.0009933114,0.00026354194,0.00031292439,0.0001553595,0.00075238943,0.0010156035,0.00036233664,0.00023943186,0.00015234947,0.00046408176
SRR7449340,0.0051752925,0.0010603368,0.0019883811,0.0022379756,0.0019011796,0.00047051907,0.0013871193,0.00089994073,0.0012774467,0.00092056394,0.0010665953,0.0006047785,0.98100984
SRR6932116,0.005175203,0.0010603368,0.0019884408,0.0022379756,0.00190112,0.00047054887,0.0013871193,0.00089994073,0.0012774467,0.00092056394,0.0010665953,0.0006047487,0.98100996
SRR921014,0.005175203,0.0010603368,0.0019884408,0.0022379756,0.00190112,0.00047054887,0.0013871193,0.00089994073,0.0012774467,0.00092056394,0.0010665953,0.0006047487,0.98100996
SRR3095112,0.9941738,0.00059336424,0.00052139163,0.0009933114,0.00026354194,0.00031286478,0.0001553595,0.00075238943,0.0010156035,0.00036233664,0.00023943186,0.00015234947,0.00046426058
SRR1618035,0.99417394,0.00059342384,0.00052139163,0.0009933114,0.00026354194,0.00031292439,0.0001553297,0.00075241923,0.0010155439,0.00036233664,0.00023940206,0.00015231967,0.00046414137
SRR5525175,0.0051752627,0.0010603964,0.0019884408,0.0022380054,0.00190112,0.00047051907,0.0013870299,0.00090008974,0.0012774467,0.00092053413,0.0010665655,0.00060480833,0.9810098
SRR6265266,0.99417394,0.00059336424,0.00052148104,0.0009933412,0.00026357174,0.00031286478,0.0001553297,0.00075247884,0.0010156035,0.00036233664,0.00023940206,0.00015234947,0.00046396255
SRR6394200,0.0052016973,0.0010593832,0.0019933283,0.0022408664,0.0019053221,0.00047004223,0.0013856292,0.0009048879,0.0012791753,0.0009203851,0.0010693073,0.0006067157,0.98096323
ERR1960706,0.005175203,0.0010603368,0.0019884408,0.0022379756,0.00190112,0.00047054887,0.0013871193,0.00089994073,0.0012774467,0.00092056394,0.0010665953,0.0006047487,0.98100996
ERR209604,0.99417835,0.0005931258,0.0005225241,0.0009933114,0.00026351213,0.00031355023,0.00015538931,0.00075376034,0.0010169744,0.00036236644,0.00023970008,0.00015246868,0.00045496225
ERR1328435,0.99417394,0.00059342384,0.00052139163,0.0009933114,0.00026354194,0.00031292439,0.0001553297,0.00075241923,0.0010155439,0.00036233664,0.00023940206,0.00015231967,0.00046414137
SRR6028651,0.99417394,0.00059342384,0.00052139163,0.0009933114,0.00026354194,0.00031292439,0.0001553297,0.00075241923,0.0010155439,0.00036233664,0.00023940206,0.00015231967,0.00046414137
SRR1922852,0.005211711,0.0010576248,0.0019827783,0.002235651,0.0018967688,0.00047019124,0.0013846457,0.0009019971,0.0012781024,0.00091838837,0.0010642707,0.0006053746,0.9809925
SRR1949287,0.004972309,0.0010452569,0.0020944774,0.0022396445,0.0019687712,0.0004735589,0.0014180243,0.0009377301,0.0012682676,0.00091671944,0.0011179447,0.0006175041,0.9809298
ERR3006024,0.994174,0.00059330463,0.0005213618,0.0009933114,0.00026348233,0.00031286478,0.0001553297,0.00075238943,0.0010155439,0.00036239624,0.00023943186,0.00015237927,0.00046420097
ERR525885,0.99417394,0.00059342384,0.00052139163,0.0009933114,0.00026354194,0.00031292439,0.0001553297,0.00075241923,0.0010155439,0.00036233664,0.00023940206,0.00015231967,0.00046414137
ERR1109431,0.0051780343,0.0010604262,0.0019898713,0.0022384226,0.0019000769,0.00047042966,0.0013867915,0.0008998215,0.0012772083,0.0009203255,0.0010666251,0.0006047189,0.9810072
SRR6265018,0.9941788,0.0005931258,0.0005226433,0.0009933114,0.00026348233,0.00031358004,0.00015538931,0.00075384974,0.0010170937,0.00036236644,0.00023970008,0.00015246868,0.000454247
SRR6931499,0.005175203,0.0010603368,0.0019884408,0.0022379756,0.00190112,0.00047054887,0.0013871193,0.00089994073,0.0012774467,0.00092056394,0.0010665953,0.0006047487,0.98100996
SRR6932075,0.005175203,0.0010603368,0.0019884408,0.0022379756,0.00190112,0.00047054887,0.0013871193,0.00089994073,0.0012774467,0.00092056394,0.0010665953,0.0006047487,0.98100996
ERR2247317,0.99417394,0.00059342384,0.00052139163,0.0009933114,0.00026354194,0.00031292439,0.0001553297,0.00075241923,0.0010155439,0.00036233664,0.00023940206,0.00015231967,0.00046414137
SRR3053242,0.99417394,0.00059336424,0.00052139163,0.0009933114,0.00026354194,0.00031286478,0.0001553595,0.00075247884,0.0010156035,0.00036233664,0.00023940206,0.00015243888,0.00046396255
DRR030516,0.0010570884,0.0021967292,0.013090074,0.04078707,0.7718383,0.003180325,0.043257654,0.018056512,0.0055558383,0.010095447,0.012376428,0.0112966,0.067211986
ERR441985,0.005175203,0.0010603368,0.0019884408,0.0022379756,0.00190112,0.00047054887,0.0013871193,0.00089994073,0.0012774467,0.00092056394,0.0010665953,0.0006047487,0.98100996
ERR2738588,0.99417394,0.00059342384,0.00052139163,0.0009933114,0.00026354194,0.00031292439,0.0001553297,0.00075241923,0.0010155439,0.00036233664,0.00023940206,0.00015231967,0.00046414137
ERR579512,0.99417394,0.00059342384,0.00052139163,0.0009933114,0.00026354194,0.00031292439,0.0001553297,0.00075241923,0.0010155439,0.00036233664,0.00023940206,0.00015231967,0.00046414137
