,root:baby_birth:cesarean_section,root:baby_birth:vaginal_delivery,root:baby_fourthmonth:cesarean_section,root:baby_fourthmonth:vaginal_delivery,Unknown
ERR525725,0.3523149,0.14775181,0.19120285,0.15514392,0.15358657
ERR525746,0.35216704,0.14779899,0.19138893,0.15514037,0.15350461
ERR525763,0.35231492,0.14775181,0.19120285,0.15514392,0.15358645
ERR525815,0.26702434,0.17932937,0.3322321,0.15294263,0.06847155
ERR525895,0.27910176,0.17421713,0.30766633,0.15327492,0.08573985
ERR525903,0.35231492,0.14775181,0.19120285,0.15514392,0.15358645
ERR525948,0.2917837,0.22683725,0.14645281,0.26225907,0.07266718
ERR526003,0.35226342,0.1477688,0.19126794,0.15514311,0.1535567
ERR526039,0.35231447,0.14775196,0.19120339,0.15514389,0.15358639
ERR525721,0.18800478,0.12874152,0.18113002,0.5021237,0.0
ERR525769,0.29850012,0.22258615,0.14642969,0.2702271,0.062256932
ERR525882,0.30935144,0.21848592,0.12810272,0.26294115,0.0811187
ERR525887,0.18800479,0.1287415,0.18112999,0.5021237,0.0
ERR525926,0.35479474,0.16365595,0.13523291,0.34631634,0.0
ERR525989,0.32444853,0.41464373,0.17539878,0.08550894,0.0
ERR526041,0.2891031,0.23413539,0.15529358,0.2696542,0.05181372
ERR526053,0.18800479,0.1287415,0.18112999,0.5021237,0.0
ERR525921,0.2917837,0.22683725,0.14645281,0.26225907,0.07266718
ERR526029,0.18800479,0.1287415,0.18112999,0.5021237,0.0
ERR525724,0.2917837,0.22683722,0.14645293,0.26225895,0.07266718
ERR525749,0.2180341,0.21956083,0.392247,0.17015813,0.0
ERR525774,0.31844777,0.40760347,0.17820418,0.09444764,0.0012969971
ERR525782,0.35230654,0.14775446,0.19121334,0.15514374,0.15358186
ERR525846,0.38841972,0.09414564,0.10971163,0.40772298,0.0
ERR525850,0.20555276,0.22158104,0.4054548,0.16741134,0.0
ERR525888,0.34627357,0.14969459,0.19894901,0.15499714,0.15008569
ERR525954,0.32603353,0.41644955,0.17451058,0.08300631,0.0
ERR525938,0.29178303,0.22683516,0.14645746,0.26225418,0.07267016
ERR525970,0.31844988,0.4076061,0.1782045,0.09444663,0.0012928247
