,root:baby_birth,root:baby_fourthmonth,root:mother,Unknown
ERR525692,0.1518651,0.17811663,0.6700183,0.0
ERR525767,0.11055124,0.17798172,0.711467,0.0
ERR525804,0.05385807,0.67744863,0.10828927,0.16040409
ERR525823,0.10168911,0.17327796,0.7250329,0.0
ERR525931,0.58857787,0.40109748,0.010324646,0.0
ERR526011,0.7463366,0.1755742,0.07808931,0.0
ERR526015,0.10149271,0.17321342,0.7252938,0.0
ERR526027,0.36220938,0.33860937,0.29918125,0.0
ERR526067,0.1018968,0.17334735,0.7247559,0.0
ERR525773,0.05543068,0.6893918,0.11730033,0.13787717
ERR525797,0.3699159,0.54417765,0.023640722,0.062265754
ERR525833,0.20770368,0.2827825,0.50951385,0.0
ERR525853,0.12596294,0.7413908,0.07891336,0.053732872
ERR525861,0.7463366,0.1755742,0.07808931,0.0
ERR525891,0.7463365,0.1755742,0.07808931,0.0
ERR525905,0.09514617,0.421464,0.48338982,0.0
ERR526065,0.080706775,0.70543814,0.09439564,0.11945945
ERR525946,0.10157951,0.17324257,0.72517794,0.0
ERR526021,0.23315287,0.35630143,0.35862,0.05192572
ERR525762,0.10149271,0.17321342,0.7252938,0.0
ERR525770,0.7462958,0.17560475,0.078099445,0.0
ERR525782,0.07903385,0.2932221,0.627744,0.0
ERR525786,0.12669045,0.74186105,0.07875389,0.05269462
ERR525838,0.689274,0.26264462,0.048081324,0.0
ERR525862,0.10149271,0.17321342,0.7252938,0.0
ERR525874,0.72911364,0.19062598,0.080260344,0.0
ERR525998,0.1018912,0.17334642,0.7247624,0.0
ERR525814,0.43897048,0.5388002,0.022229258,0.0
ERR526062,0.7463304,0.17558613,0.078083515,0.0
