,root:baby_birth:cesarean_section,root:baby_birth:vaginal_delivery,root:baby_fourthmonth:cesarean_section,root:baby_fourthmonth:vaginal_delivery,Unknown
ERR525692,0.09394482,0.1258725,0.07969931,0.0953224,0.60516095
ERR525767,0.09388614,0.124144554,0.0784803,0.09565893,0.60783005
ERR525804,0.09380159,0.122807264,0.07756421,0.09594765,0.60987926
ERR525823,0.09380159,0.122807264,0.07756421,0.09594765,0.60987926
ERR525931,0.0938026,0.12280825,0.07756451,0.09594682,0.6098778
ERR526011,0.11398414,0.22093377,0.18206522,0.17528164,0.3077352
ERR526015,0.09390673,0.12483138,0.07894784,0.09552854,0.60678554
ERR526027,0.09380242,0.12281883,0.07757217,0.09594506,0.6098615
ERR526067,0.093829304,0.12304753,0.077723384,0.0958873,0.60951245
ERR525773,0.074851304,0.28741628,0.07717627,0.4826789,0.07787728
ERR525797,0.09715065,0.2112929,0.1422756,0.082435906,0.46684492
ERR525833,0.17827259,0.05344323,0.053223852,0.71506035,0.0
ERR525853,0.17015956,0.059444405,0.052925445,0.71747065,0.0
ERR525861,0.14391454,0.08150961,0.07510755,0.69946826,0.0
ERR525891,0.06703463,0.36712068,0.06697875,0.38015032,0.118715644
ERR525905,0.07426703,0.15548515,0.04729414,0.48815256,0.23480111
ERR526065,0.07437846,0.15595749,0.047064036,0.48560306,0.23699695
ERR525946,0.09380159,0.122807264,0.07756421,0.09594765,0.60987926
ERR526021,0.08807686,0.22851893,0.027456254,0.21935329,0.43659467
ERR525762,0.15471058,0.07166195,0.061247837,0.71237963,0.0
ERR525770,0.08220697,0.5782165,0.09030238,0.24927413,0.0
ERR525782,0.07782736,0.5866069,0.09421287,0.2413529,0.0
ERR525786,0.09482089,0.14605868,0.093960464,0.0916062,0.5735538
ERR525838,0.07798998,0.58418983,0.09356912,0.24425104,0.0
ERR525862,0.16863765,0.2889344,0.09280152,0.4496264,0.0
ERR525874,0.07797616,0.58431226,0.09340038,0.24431117,0.0
ERR525998,0.07905727,0.5810203,0.0931464,0.24677604,0.0
ERR525814,0.07827029,0.34682375,0.15119278,0.22683463,0.19687855
ERR526062,0.0779193,0.58645236,0.09408139,0.24154696,0.0
