,root:baby_birth,root:baby_fourthmonth,root:mother,Unknown
ERR525716,0.15415746,0.30617738,0.5396651,0.0
ERR525733,0.22150503,0.23545942,0.54303557,0.0
ERR525779,0.37404412,0.470532,0.15542397,0.0
ERR525815,0.32436526,0.40349862,0.05632907,0.21580702
ERR525851,0.12689736,0.31168053,0.5614221,0.0
ERR525907,0.18157311,0.29844254,0.5199843,0.0
ERR526003,0.14637795,0.3078168,0.5458053,0.0
ERR526067,0.17385122,0.30177397,0.5243748,0.0
ERR526083,0.12981378,0.31112975,0.5590564,0.0
ERR525714,0.4460248,0.44719842,0.05137825,0.055398524
ERR525721,0.16952482,0.57055765,0.12375489,0.13616264
ERR525727,0.20969716,0.509349,0.09513441,0.1858195
ERR525739,0.512882,0.3983149,0.043697655,0.045105457
ERR525869,0.22884405,0.51037675,0.08955565,0.17122352
ERR525941,0.29120415,0.41971,0.062891245,0.22619462
ERR526041,0.53224945,0.38109082,0.044324577,0.042335153
ERR526045,0.19769222,0.5641092,0.11298537,0.1252132
ERR525690,0.536482,0.33463123,0.12888683,0.0
ERR526029,0.14037973,0.5716417,0.13511014,0.15286845
ERR525715,0.5164076,0.37162185,0.11197055,0.0
ERR525874,0.47970545,0.42391452,0.09637999,0.0
ERR525878,0.3073392,0.51499707,0.17766373,0.0
ERR525888,0.13985881,0.30928725,0.5508539,0.0
ERR525906,0.5356932,0.33621958,0.12808716,0.0
ERR525998,0.19743377,0.5342692,0.10469061,0.1636064
ERR526006,0.5140843,0.40150008,0.04003197,0.044383705
ERR526066,0.5474192,0.38668367,0.036220968,0.02967614
ERR525958,0.5532781,0.38345572,0.03552085,0.027745306
ERR526030,0.4678587,0.36842543,0.16371584,0.0
