,root:baby_birth,root:baby_fourthmonth,root:mother,Unknown
ERR525753,0.14725856,0.17302717,0.6797143,0.0
ERR525804,0.11061573,0.1797468,0.70963746,0.0
ERR525879,0.11627886,0.24010608,0.6436151,0.0
ERR525928,0.10731364,0.18034217,0.71234417,0.0
ERR525948,0.14729565,0.17302027,0.67968404,0.0
ERR525963,0.11919686,0.4436716,0.3196224,0.11750913
ERR526027,0.13036768,0.17614727,0.693485,0.0
ERR526035,0.13451983,0.17538346,0.69009674,0.0
ERR526051,0.11237163,0.17943238,0.708196,0.0
ERR525735,0.109335154,0.54187953,0.15487057,0.19391471
ERR525744,0.13274062,0.60214144,0.11898595,0.14613199
ERR525773,0.5830202,0.3925433,0.024436576,0.0
ERR525797,0.1033341,0.46981892,0.33157635,0.09527063
ERR525807,0.48256233,0.4269841,0.03402832,0.056425214
ERR525845,0.09380156,0.59701604,0.11634478,0.1928376
ERR525853,0.13305151,0.60216296,0.11903268,0.14575285
ERR525913,0.525038,0.40682608,0.023550421,0.044585466
ERR525921,0.13313612,0.602186,0.119012296,0.14566559
ERR525946,0.14390606,0.17902948,0.6770645,0.0
ERR525724,0.35839164,0.40840423,0.084602624,0.14860153
ERR525878,0.5896786,0.38678426,0.023537222,0.0
ERR525883,0.60262513,0.3756809,0.021693958,0.0
ERR525892,0.6092398,0.31503338,0.060095966,0.015630841
ERR525894,0.53419536,0.3605309,0.10527371,0.0
ERR525966,0.60711807,0.30940366,0.063706696,0.019771576
ERR526046,0.61420345,0.2593789,0.1145896,0.011828065
ERR526074,0.60256505,0.37573412,0.021700805,0.0
ERR526030,0.1655795,0.589662,0.103848934,0.14090955
ERR526034,0.14640106,0.17458941,0.6790095,0.0
