,root:baby_birth:cesarean_section,root:baby_birth:vaginal_delivery,root:baby_fourthmonth:cesarean_section,root:baby_fourthmonth:vaginal_delivery,Unknown
ERR525712,0.07754865,0.2110118,0.14994767,0.5614919,0.0
ERR525831,0.3264674,0.10933865,0.107309796,0.45688418,0.0
ERR525835,0.1661494,0.118539445,0.15059216,0.56471896,0.0
ERR525859,0.15152645,0.25984055,0.151438,0.080424845,0.35677016
ERR525875,0.115543485,0.16138813,0.17358235,0.34907982,0.2004062
ERR525895,0.09803232,0.07590063,0.23820418,0.5878629,0.0
ERR525901,0.15228543,0.24604893,0.143462,0.08048236,0.3777213
ERR525919,0.0769284,0.17907685,0.3378664,0.40612838,0.0
ERR526063,0.16189402,0.3199787,0.053886145,0.1562025,0.30803865
ERR525704,0.036688197,0.1482701,0.24023005,0.5748117,0.0
ERR525777,0.08274203,0.0634508,0.21013294,0.64367425,0.0
ERR525793,0.24571452,0.21425983,0.058520347,0.26392406,0.21758121
ERR525802,0.18420452,0.31617177,0.19184962,0.26969147,0.0380826
ERR525857,0.15621364,0.15805389,0.18818796,0.49754453,0.0
ERR525933,0.115397245,0.11712071,0.17919908,0.588283,0.0
ERR526037,0.13290177,0.114933096,0.17346995,0.5786951,0.0
ERR526065,0.14944217,0.10842103,0.16855706,0.5735797,0.0
ERR525805,0.1485657,0.095907316,0.12775615,0.62777084,0.0
ERR525917,0.0945515,0.16812825,0.1425985,0.59472173,0.0
ERR525749,0.13058633,0.13508217,0.14867947,0.58565205,0.0
ERR525774,0.238769,0.5659566,0.049459785,0.13171938,0.014095306
ERR525818,0.21489465,0.38217628,0.053593695,0.16193736,0.18739802
ERR525822,0.24099496,0.56797147,0.050165713,0.12948209,0.011385798
ERR525914,0.29255688,0.19804947,0.09831826,0.4110754,0.0
ERR525966,0.21583092,0.39386433,0.14481208,0.06498128,0.18051142
ERR526042,0.16186592,0.31957236,0.05396363,0.15645197,0.30814612
ERR526066,0.23734808,0.5568283,0.05493459,0.12307498,0.02781403
ERR525814,0.26328555,0.21616799,0.051329732,0.2574498,0.2117669
ERR525938,0.16189402,0.3199787,0.053886145,0.1562025,0.30803865
