,root:baby_birth:cesarean_section,root:baby_birth:vaginal_delivery,root:baby_fourthmonth:cesarean_section,root:baby_fourthmonth:vaginal_delivery,Unknown
ERR525688,0.14998955,0.23098135,0.111306936,0.055603325,0.45211887
ERR525689,0.12665224,0.18528813,0.11207515,0.060619354,0.5153651
ERR525694,0.19739518,0.3974071,0.113478094,0.048522174,0.2431975
ERR525700,0.12666175,0.18533048,0.11201814,0.06064257,0.51534706
ERR525701,0.15596437,0.37774375,0.03982842,0.11858529,0.3078782
ERR525703,0.1267595,0.18580061,0.11138666,0.060908258,0.51514494
ERR525709,0.12687436,0.18575326,0.11178073,0.060517758,0.5150739
ERR525713,0.12665012,0.18528521,0.11207768,0.06062022,0.5153668
ERR525717,0.12811938,0.18855876,0.111385465,0.05992049,0.51201594
ERR525722,0.13138318,0.19256905,0.1073125,0.058626324,0.51010895
ERR525726,0.15780741,0.51828146,0.05710581,0.09852967,0.1682756
ERR525730,0.12751946,0.18781272,0.111469656,0.0600667,0.5131315
ERR525734,0.1274193,0.18784225,0.111239105,0.06008497,0.5134144
ERR525738,0.19892615,0.18298817,0.20207012,0.12476641,0.29124916
ERR525742,0.12799168,0.18839845,0.10986662,0.06044525,0.51329803
ERR525743,0.12667865,0.18532673,0.11208129,0.060606956,0.51530635
ERR525747,0.12832442,0.19729802,0.11138567,0.05861926,0.5043726
ERR525754,0.17869088,0.29111212,0.066991,0.041687608,0.4215184
ERR525760,0.19740146,0.39741614,0.11347285,0.048520833,0.24318874
ERR525764,0.1290783,0.19964746,0.10818979,0.058636516,0.50444794
ERR525768,0.13657944,0.14794277,0.12438365,0.5910942,0.0
ERR525772,0.12665012,0.18528521,0.11207768,0.06062022,0.5153668
ERR525776,0.1619842,0.60317564,0.04760614,0.07522002,0.112014055
ERR525780,0.13406238,0.14567679,0.12398481,0.596276,0.0
ERR525784,0.13406238,0.14567679,0.12398481,0.596276,0.0
ERR525788,0.19867727,0.27485982,0.058398068,0.04105726,0.42700756
ERR525792,0.18338758,0.27972233,0.06334981,0.044012934,0.4295274
ERR525796,0.16957209,0.38801074,0.049809426,0.102445304,0.29016238
ERR525800,0.12665012,0.18528521,0.11207768,0.06062022,0.5153668
ERR525801,0.19892615,0.18298817,0.20207012,0.12476641,0.29124916
ERR525806,0.12890494,0.18994886,0.11196476,0.059491485,0.5096899
ERR525810,0.13718966,0.23832852,0.07248306,0.23198837,0.32001042
ERR525816,0.13287416,0.2012324,0.108374566,0.05783224,0.4996866
ERR525820,0.15330419,0.41274184,0.05029282,0.085656404,0.29800475
ERR525824,0.13406238,0.14567679,0.12398481,0.596276,0.0
ERR525828,0.1367909,0.20262972,0.10614693,0.056437552,0.4979949
ERR525832,0.17112282,0.40483117,0.048956662,0.10034248,0.2747469
ERR525836,0.16925839,0.39935446,0.048289955,0.10146591,0.28163135
ERR525844,0.13181242,0.19565052,0.107678324,0.058989376,0.5058694
ERR525848,0.1372033,0.23831981,0.07247639,0.23198712,0.3200134
ERR525852,0.13406238,0.14567679,0.12398481,0.596276,0.0
ERR525856,0.12797794,0.1884802,0.11129111,0.06007123,0.5121795
ERR525860,0.1269741,0.18594187,0.11174458,0.060467392,0.5148721
ERR525864,0.16024518,0.62974,0.05831164,0.077233076,0.0744701
ERR525868,0.15306053,0.58750594,0.053396672,0.07868105,0.12735575
ERR525872,0.13601395,0.21279511,0.10373807,0.055782497,0.49167037
ERR525876,0.14791182,0.5023487,0.059020758,0.08598551,0.20473313
ERR525880,0.13506106,0.20820823,0.11353046,0.05662781,0.48657244
ERR525881,0.15233389,0.30142045,0.08555552,0.050921887,0.40976822
ERR525886,0.13406238,0.14567679,0.12398481,0.596276,0.0
ERR525890,0.12665012,0.18528521,0.11207768,0.06062022,0.5153668
ERR525896,0.22010705,0.5272075,0.04031989,0.10697457,0.10539091
ERR525898,0.12707886,0.18793938,0.11186737,0.060120463,0.51299393
ERR525904,0.14060682,0.20369264,0.09893057,0.05554813,0.50122184
ERR525908,0.20025212,0.290357,0.04964778,0.04764238,0.4121008
ERR525912,0.12680092,0.18561551,0.1118651,0.060565323,0.51515317
ERR525916,0.12092611,0.24706298,0.32686532,0.13087416,0.17427146
ERR525920,0.22148913,0.39056846,0.019951344,0.09138325,0.27660787
ERR525924,0.12864959,0.1933991,0.10921121,0.059708834,0.5090313
ERR525925,0.13221592,0.20297372,0.10956153,0.057219118,0.4980297
ERR525932,0.160568,0.4860067,0.051750094,0.09431347,0.2073617
ERR525936,0.19001076,0.39745647,0.11659339,0.051300377,0.24463904
ERR525940,0.08735708,0.2035223,0.11829999,0.5908207,0.0
ERR525944,0.13098034,0.2039353,0.10619345,0.05908659,0.49980432
ERR525945,0.1268276,0.18598706,0.11118272,0.060952395,0.51505023
ERR525950,0.12974542,0.19301513,0.111730605,0.05894816,0.5065607
ERR525956,0.16391185,0.33971286,0.0900203,0.18610433,0.22025073
ERR525960,0.22146851,0.27487677,0.076879054,0.25089544,0.17588025
ERR525964,0.14632702,0.28539458,0.056421697,0.09566739,0.4161893
ERR525968,0.14664522,0.48296893,0.054330558,0.09024346,0.22581184
ERR525972,0.2206977,0.45050788,0.027662098,0.09762868,0.20350361
ERR525980,0.13069008,0.15121242,0.12533525,0.5927623,0.0
ERR525984,0.14530009,0.25488988,0.09390977,0.06859788,0.43730235
ERR525988,0.1281808,0.18856603,0.11161417,0.05986178,0.5117772
ERR525992,0.1426231,0.2774693,0.039888352,0.13139439,0.4086249
ERR525996,0.13081986,0.21077788,0.11057332,0.056937993,0.49089098
ERR526000,0.17693326,0.21321814,0.113564536,0.49628407,0.0
ERR526004,0.13462958,0.24528313,0.07166532,0.08170259,0.4667194
ERR526008,0.16880643,0.32154858,0.109202,0.051309615,0.34913337
ERR526012,0.12893894,0.19353911,0.10934016,0.05902627,0.5091555
ERR526016,0.12751603,0.18745062,0.11208394,0.06009254,0.51285684
ERR526020,0.13059738,0.19366911,0.111809075,0.058570027,0.5053544
ERR526024,0.13265038,0.21114352,0.1060915,0.057139903,0.4929747
ERR526028,0.13406238,0.14567679,0.12398481,0.596276,0.0
ERR526032,0.12871277,0.18841171,0.10963446,0.059779674,0.51346135
ERR526036,0.14621735,0.5184462,0.054864764,0.08071664,0.19975507
ERR526040,0.13718653,0.23865971,0.07264364,0.23209095,0.31941915
ERR526044,0.12711301,0.18653303,0.11190361,0.06032762,0.5141227
ERR526048,0.19867727,0.27485982,0.058398068,0.04105726,0.42700756
ERR526052,0.14552522,0.23397541,0.11107439,0.057393372,0.4520316
ERR526056,0.19326344,0.3345856,0.087840825,0.046144783,0.33816534
ERR526060,0.1277081,0.18721321,0.112004906,0.060083836,0.51298994
ERR526064,0.19740146,0.39741614,0.11347285,0.048520833,0.24318874
ERR526068,0.19740146,0.39741614,0.11347285,0.048520833,0.24318874
ERR526070,0.12786487,0.18794632,0.11226985,0.059935153,0.5119838
ERR526076,0.12665012,0.18528521,0.11207768,0.06062022,0.5153668
ERR526080,0.19892615,0.18298817,0.20207012,0.12476641,0.29124916
ERR526084,0.22148913,0.39056846,0.019951344,0.09138325,0.27660787
