,root:baby_birth:cesarean_section,root:baby_birth:vaginal_delivery,root:baby_fourthmonth:cesarean_section,root:baby_fourthmonth:vaginal_delivery,Unknown
ERR525688,0.115882605,0.18274733,0.11385742,0.0873771,0.50013554
ERR525689,0.115217716,0.18597424,0.106254786,0.09076029,0.50179297
ERR525694,0.11430293,0.5187794,0.034644723,0.10494131,0.22733164
ERR525700,0.11040503,0.2616362,0.035470635,0.15653878,0.43594933
ERR525701,0.10862774,0.25903368,0.035953194,0.15769896,0.43868643
ERR525703,0.11584675,0.18355647,0.11437988,0.08750707,0.4987098
ERR525709,0.11573526,0.18202949,0.11352855,0.08738896,0.50131774
ERR525713,0.18903092,0.18731287,0.03651759,0.26075888,0.32637978
ERR525717,0.11574152,0.18206877,0.11354932,0.08738959,0.5012508
ERR525722,0.115736544,0.18203917,0.11353356,0.08738935,0.5013014
ERR525726,0.11574921,0.18217319,0.11358991,0.08739892,0.50108874
ERR525730,0.11530414,0.1852493,0.107542485,0.09014982,0.5017543
ERR525734,0.1142247,0.19994229,0.0877327,0.10085288,0.49724746
ERR525738,0.10831988,0.1778601,0.11189945,0.6019206,0.0
ERR525742,0.116087586,0.10098103,0.07194659,0.3548711,0.35611367
ERR525743,0.11574322,0.18215767,0.11342618,0.08743405,0.5012389
ERR525747,0.11573747,0.18206504,0.11354914,0.08739212,0.5012562
ERR525754,0.11573449,0.18201703,0.11352128,0.08738786,0.5013393
ERR525760,0.10730502,0.2547826,0.036564022,0.15943924,0.44190913
ERR525764,0.11668965,0.3506114,0.049485117,0.12922284,0.35399103
ERR525768,0.07316896,0.3131129,0.060534418,0.16760942,0.38557428
ERR525772,0.10730502,0.2547826,0.036564022,0.15943924,0.44190913
ERR525776,0.11418986,0.5156406,0.034283936,0.104747176,0.23113841
ERR525780,0.10730502,0.2547826,0.036564022,0.15943924,0.44190913
ERR525784,0.10730502,0.2547826,0.036564022,0.15943924,0.44190913
ERR525788,0.10730502,0.2547826,0.036564022,0.15943924,0.44190913
ERR525792,0.11573449,0.18201703,0.11352128,0.08738786,0.5013393
ERR525796,0.11573449,0.18201703,0.11352128,0.08738786,0.5013393
ERR525800,0.10730502,0.2547826,0.036564022,0.15943924,0.44190913
ERR525801,0.10831988,0.1778601,0.11189945,0.6019206,0.0
ERR525806,0.11543733,0.18468547,0.10881826,0.089524865,0.5015341
ERR525810,0.11675781,0.09773785,0.07262331,0.36115682,0.3517242
ERR525816,0.115737736,0.18206412,0.11354789,0.087391734,0.5012585
ERR525820,0.1073173,0.25487912,0.03655857,0.15940645,0.44183856
ERR525824,0.11573449,0.18201703,0.11352128,0.08738786,0.5013393
ERR525828,0.11574775,0.18215695,0.113598794,0.08739659,0.50109994
ERR525832,0.10994178,0.22969446,0.05295825,0.13234279,0.47506273
ERR525836,0.074120015,0.13688335,0.13168806,0.35966492,0.29764366
ERR525844,0.11575547,0.18230188,0.113679975,0.08740994,0.5008527
ERR525848,0.14317289,0.32106197,0.08182824,0.18220541,0.2717315
ERR525852,0.30672315,0.18772256,0.079470195,0.4260842,0.0
ERR525856,0.11578283,0.18260142,0.11341491,0.08750987,0.50069094
ERR525860,0.098905385,0.27157605,0.12947872,0.09455049,0.40548933
ERR525864,0.10730502,0.2547826,0.036564022,0.15943924,0.44190913
ERR525868,0.07903737,0.13104099,0.12189528,0.35886112,0.30916524
ERR525872,0.11576468,0.1823808,0.11342397,0.08746806,0.5009625
ERR525876,0.08099377,0.28443104,0.058036238,0.17129648,0.40524244
ERR525880,0.11573964,0.18205756,0.11354348,0.08738947,0.5012698
ERR525881,0.1073204,0.25463217,0.036643475,0.15926915,0.4421348
ERR525886,0.10730502,0.2547826,0.036564022,0.15943924,0.44190913
