,Env,SampleID
0,root:baby_fourthmonth:cesarean_section,ERR525690
1,root:baby_birth:cesarean_section,ERR525691
2,root:mother,ERR525692
3,root:baby_fourthmonth:vaginal_delivery,ERR525693
4,root:baby_fourthmonth:vaginal_delivery,ERR525695
5,root:baby_birth:vaginal_delivery,ERR525696
6,root:mother,ERR525697
7,root:baby_birth:vaginal_delivery,ERR525698
8,root:mother,ERR525699
9,root:baby_fourthmonth:vaginal_delivery,ERR525702
10,root:baby_fourthmonth:vaginal_delivery,ERR525704
11,root:baby_birth:vaginal_delivery,ERR525705
12,root:mother,ERR525706
13,root:baby_birth:vaginal_delivery,ERR525707
14,root:mother,ERR525708
15,root:baby_fourthmonth:vaginal_delivery,ERR525710
16,root:baby_birth:vaginal_delivery,ERR525711
17,root:mother,ERR525712
18,root:baby_fourthmonth:vaginal_delivery,ERR525714
19,root:baby_birth:vaginal_delivery,ERR525715
20,root:mother,ERR525716
21,root:baby_fourthmonth:vaginal_delivery,ERR525718
22,root:baby_birth:vaginal_delivery,ERR525719
23,root:mother,ERR525720
24,root:baby_fourthmonth:vaginal_delivery,ERR525721
25,root:baby_fourthmonth:vaginal_delivery,ERR525723
26,root:baby_birth:vaginal_delivery,ERR525724
27,root:mother,ERR525725
28,root:baby_fourthmonth:vaginal_delivery,ERR525727
29,root:baby_birth:vaginal_delivery,ERR525728
30,root:mother,ERR525729
31,root:baby_fourthmonth:vaginal_delivery,ERR525731
32,root:baby_birth:vaginal_delivery,ERR525732
33,root:mother,ERR525733
34,root:baby_fourthmonth:vaginal_delivery,ERR525735
35,root:baby_birth:vaginal_delivery,ERR525736
36,root:mother,ERR525737
37,root:baby_fourthmonth:vaginal_delivery,ERR525739
38,root:baby_birth:vaginal_delivery,ERR525740
39,root:mother,ERR525741
40,root:baby_fourthmonth:vaginal_delivery,ERR525744
41,root:baby_birth:vaginal_delivery,ERR525745
42,root:mother,ERR525746
43,root:baby_fourthmonth:vaginal_delivery,ERR525748
44,root:baby_birth:vaginal_delivery,ERR525749
45,root:baby_fourthmonth:vaginal_delivery,ERR525750
46,root:mother,ERR525751
47,root:baby_birth:vaginal_delivery,ERR525752
48,root:mother,ERR525753
49,root:baby_fourthmonth:vaginal_delivery,ERR525755
50,root:baby_birth:vaginal_delivery,ERR525756
51,root:mother,ERR525757
52,root:baby_birth:vaginal_delivery,ERR525758
53,root:mother,ERR525759
54,root:baby_fourthmonth:vaginal_delivery,ERR525761
55,root:baby_birth:vaginal_delivery,ERR525762
56,root:mother,ERR525763
57,root:baby_fourthmonth:vaginal_delivery,ERR525765
58,root:baby_birth:vaginal_delivery,ERR525766
59,root:mother,ERR525767
